old_path,new_path,sha256_before,sha256_after,classification,reason,references_updated,canonical_replacement,content_changed,integrity_status,commit_sha
HCC.gephi,artifacts/network_projects/HCC.gephi,eeb2fabbccabdee0a1e920647cba11013196572b19d6d502db96d1d8f45a17a3,eeb2fabbccabdee0a1e920647cba11013196572b19d6d502db96d1d8f45a17a3,NETWORK_PROJECT_ARTIFACT,Network project file moved out of repository root; CSV remains canonical data source.,updated_in_static_refactor_and_final_docs,artifacts/network_projects/HCC.gephi,False,PASS,e65d432
Type Actor.gephi,artifacts/network_projects/Type Actor.gephi,df573eb6e5e7c5abd6f5435354a01a8a204796ea8b6b1a6fa0fc96adef02ece0,df573eb6e5e7c5abd6f5435354a01a8a204796ea8b6b1a6fa0fc96adef02ece0,NETWORK_PROJECT_ARTIFACT,Network project file moved out of repository root; CSV remains canonical data source.,updated_in_static_refactor_and_final_docs,artifacts/network_projects/Type Actor.gephi,False,PASS,e65d432
HCC_Visone.graphmlz,artifacts/network_projects/HCC_Visone.graphmlz,9ef73bd4c37f690e0a87edefe87264dddafad262acfd83bd8b70a52a7fca329d,9ef73bd4c37f690e0a87edefe87264dddafad262acfd83bd8b70a52a7fca329d,NETWORK_PROJECT_ARTIFACT,Network project file moved out of repository root; CSV remains canonical data source.,updated_in_static_refactor_and_final_docs,artifacts/network_projects/HCC_Visone.graphmlz,False,PASS,e65d432
02_rm2_sentiment_goals.ipynb,notebooks/legacy/02_rm2_sentiment_goals.ipynb,5a137f1fc01020974af58af4523e990a6560c8af21b990f3eb5284c6c91f68a7,5a137f1fc01020974af58af4523e990a6560c8af21b990f3eb5284c6c91f68a7,LEGACY_SENTIMENT_V1,Superseded by Sentiment final; retained as legacy notebook.,updated_in_static_refactor_and_final_docs,output/rm2_sentiment/final/,False,PASS,e65d432
tiktok_coordination_analysis.ipynb,notebooks/rm1/tiktok_coordination_analysis.ipynb,03dc690216652644198872d93c56bc7a104d6c49890f92dd4a5e2a244af10bb3,03dc690216652644198872d93c56bc7a104d6c49890f92dd4a5e2a244af10bb3,CANONICAL_NOTEBOOK,Notebook moved to module-specific notebook directory.,updated_in_static_refactor_and_final_docs,notebooks/rm1/tiktok_coordination_analysis.ipynb,False,PASS,e65d432
03_rm2_actor_type_typology.ipynb,notebooks/rm2/03_rm2_actor_type_typology.ipynb,12d3fc6d31650c1d486f71f001e47c9db89bbd7bfe28a122fd60ba58e8faa2eb,12d3fc6d31650c1d486f71f001e47c9db89bbd7bfe28a122fd60ba58e8faa2eb,CANONICAL_NOTEBOOK,Notebook moved to module-specific notebook directory.,updated_in_static_refactor_and_final_docs,notebooks/rm2/03_rm2_actor_type_typology.ipynb,False,PASS,e65d432
output/rm2_sentiment/final_v2/,output/rm2_sentiment/final/,,,RM2_SENTIMENT_DIRECTORY,Canonicalized final sentiment output folder.,updated_in_sentiment_canonicalization,output/rm2_sentiment/final/,False,PASS,pending
output/rm2_sentiment/model_v2/,output/rm2_sentiment/model/frozen/,,,RM2_SENTIMENT_DIRECTORY,Canonicalized frozen model folder.,updated_in_sentiment_canonicalization,output/rm2_sentiment/model/frozen/,False,PASS,pending
output/rm2_sentiment/human_validation/,output/rm2_sentiment/validation/human_v1/,,,RM2_SENTIMENT_DIRECTORY,Moved V1 human validation into validation provenance folder.,updated_in_sentiment_canonicalization,output/rm2_sentiment/validation/human_v1/,False,PASS,pending
output/rm2_sentiment/human_validation_v2/,output/rm2_sentiment/validation/human_v2/,,,RM2_SENTIMENT_DIRECTORY,Moved V2 human validation into validation provenance folder.,updated_in_sentiment_canonicalization,output/rm2_sentiment/validation/human_v2/,False,PASS,pending
output/rm2_sentiment/tables/,output/rm2_sentiment/legacy/v1/tables/,,,RM2_SENTIMENT_DIRECTORY,Archived legacy V1/provisional tables.,updated_in_sentiment_canonicalization,output/rm2_sentiment/legacy/v1/tables/,False,PASS,pending
output/rm2_sentiment/gephi/,output/rm2_sentiment/legacy/v1/gephi/,,,RM2_SENTIMENT_DIRECTORY,Archived legacy V1 Gephi exports.,updated_in_sentiment_canonicalization,output/rm2_sentiment/legacy/v1/gephi/,False,PASS,pending
output/rm2_sentiment/visualisasi/,output/rm2_sentiment/legacy/v1/visualisasi/,,,RM2_SENTIMENT_DIRECTORY,Archived legacy V1/provisional PNG visualizations.,updated_in_sentiment_canonicalization,output/rm2_sentiment/legacy/v1/visualisasi/,False,PASS,pending
output/rm2_sentiment/visualisasi_exploratory/,output/rm2_sentiment/legacy/exploratory/visualisasi/,,,RM2_SENTIMENT_DIRECTORY,Archived exploratory visualizations separately from final visuals.,updated_in_sentiment_canonicalization,output/rm2_sentiment/legacy/exploratory/visualisasi/,False,PASS,pending
