notebook,cell_index,producer_section,operation,output_path,artifact_type,canonical_module,overwrite_behavior,directory_contract_valid,duplicate_output_path,intended_duplicate,frozen_target,notes
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/co_conv_edges.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/co_reply_edges.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/co_temporal_edges.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/focal_structures.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/gephi/gephi_lcn_nodes.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/gephi/gephi_lcn_edges.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/gephi/gephi_hcc_nodes.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/gephi/gephi_hcc_edges.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/hcc_hashtag_profile.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/hcc_mention_profile.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/hcc_brand_profile_auto.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/hcc_cosimilarity_summary.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/hcc_cosimilarity_pairs.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm1/tiktok_coordination_analysis.ipynb,93,RM1,reference,output/tables/hcc_copypasta_candidates.csv,csv,RM1,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
notebooks/rm2/03_rm2_actor_type_typology.ipynb,19,RM2_ACTOR_TYPE,reference,output/gephi/gephi_hcc_nodes.csv brand_label_auto,csv brand_label_auto,RM2_ACTOR_TYPE,would_overwrite_if_notebook_is_rerun,True,False,False,False,Static reference only; notebook was not executed.
