path,tracked_status,ignored_status,file_type,extension,size_bytes,sha256,lfs_tracked,referenced_by_count,referenced_by,producer,consumer,classification,proposed_action,justification,risk_level,immutable,content_may_change,notes
.gitattributes,tracked,not_ignored,unknown,.gitattributes,99,151f0e7f1deac03f331c3d0cccda2c0e0853059523d87f95d070736aa6fce3a0,False,0,,repository metadata/documentation/test scaffold,repository users,CANONICAL_SOURCE,Keep,Classified from path pattern as CANONICAL_SOURCE.,MEDIUM,False,True,
.gitignore,tracked,not_ignored,unknown,.gitignore,120,0e1d9d032b7dbf370e3ec2c1bf7fbe08b1ea68c559192370c79eb4267838602f,False,0,,repository metadata/documentation/test scaffold,repository users,CANONICAL_SOURCE,Keep,Classified from path pattern as CANONICAL_SOURCE.,MEDIUM,False,True,
02_rm2_sentiment_goals.ipynb,tracked,not_ignored,unknown,.ipynb,39335,5a137f1fc01020974af58af4523e990a6560c8af21b990f3eb5284c6c91f68a7,False,2,03_rm2_actor_type_typology.ipynb; README.md,legacy V1 sentiment/goals,V1/V2 comparison and provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,"Superseded by Sentiment V2 final, retained for provenance.",MEDIUM,False,False,"Superseded by Sentiment V2 final, retained for provenance."
03_rm2_actor_type_typology.ipynb,tracked,not_ignored,unknown,.ipynb,247422,12d3fc6d31650c1d486f71f001e47c9db89bbd7bfe28a122fd60ba58e8faa2eb,False,1,README.md,research code,RM2 outputs,CANONICAL_SOURCE,Keep,Classified from path pattern as CANONICAL_SOURCE.,MEDIUM,False,True,
HCC.gephi,tracked,not_ignored,unknown,.gephi,21585,eeb2fabbccabdee0a1e920647cba11013196572b19d6d502db96d1d8f45a17a3,False,0,,manual network project,Gephi/Visone visualization,FROZEN_RESEARCH_ARTIFACT,Move to artifacts/network_projects with git mv,CSV exports remain canonical data source.,HIGH,True,False,CSV exports remain canonical data source.
HCC_Visone.graphmlz,tracked,not_ignored,unknown,.graphmlz,27253,9ef73bd4c37f690e0a87edefe87264dddafad262acfd83bd8b70a52a7fca329d,False,0,,manual network project,Gephi/Visone visualization,FROZEN_RESEARCH_ARTIFACT,Move to artifacts/network_projects with git mv,CSV exports remain canonical data source.,HIGH,True,False,CSV exports remain canonical data source.
README.md,tracked,not_ignored,unknown,.md,43929,e87935b93e7487a1478841ce95f082be292f6b2f910691f8bf221cabb40eb5d1,False,0,,repository metadata/documentation/test scaffold,repository users,CANONICAL_SOURCE,Keep,Classified from path pattern as CANONICAL_SOURCE.,MEDIUM,False,True,
Type Actor.gephi,tracked,not_ignored,unknown,.gephi,41614,df573eb6e5e7c5abd6f5435354a01a8a204796ea8b6b1a6fa0fc96adef02ece0,False,0,,manual network project,Gephi/Visone visualization,FROZEN_RESEARCH_ARTIFACT,Move to artifacts/network_projects with git mv,CSV exports remain canonical data source.,HIGH,True,False,CSV exports remain canonical data source.
__pycache__/temporal_pipeline_code.cpython-312.pyc,tracked,not_ignored,application/x-python-code,.pyc,134852,a20cd105922f60d6e285579650f34695b731b77e52990c42c8998e71fdbba3df,False,0,,Python interpreter,none,GENERATED_CACHE,Delete tracked cache,Tracked cache should not remain in Git.,LOW,False,False,Tracked cache should not remain in Git.
config/individual_actor_registry.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,107,debb299c4a4255793d7a31165e9aef319b79d613559d350c9fb24928f5bbd4d7,False,1,README.md,source data / registry,RM1 and RM2 pipelines,CANONICAL_INPUT,Keep,Classified from path pattern as CANONICAL_INPUT.,HIGH,True,False,
dataset.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,10628078,7e0ea9cbc82243445cccea1a14ccb847c61235e932f754f5e1bc42e390df32da,False,14,03_rm2_actor_type_typology.ipynb; README.md; output/rm2_sentiment/final_v2/comment_sentiment_v2_injected_diagnostic.csv; output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; output/rm2_sentiment/tables/sentiment_pipeline_audit_before.csv; scripts/apply_rm2_sentiment_v2_final_inference.py; scripts/build_rm2_comment_similarity_examples.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py; scripts/build_rm2_sentiment_v2_annotation_package.py; scripts/freeze_rm2_sentiment_v2_locked_test.py; scripts/rm2_sentiment_goals_pipeline.py; scripts/train_rm2_sentiment_v2_development_model.py; scripts/validate_rm2_sentiment_v2_annotations_and_readiness.py,source data / registry,RM1 and RM2 pipelines,CANONICAL_INPUT,Keep,Classified from path pattern as CANONICAL_INPUT.,HIGH,True,False,
output/gephi/gephi_hcc_edges.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,31340,5f41376b5f2a262fbf077f54b1914584824055934242f8c92efcae46dd0a2213,False,5,README.md; output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/apply_rm2_sentiment_v2_final_inference.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_sentiment_v2_annotation_package.py,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/gephi/gephi_hcc_nodes.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,24971,a87aedc3eac4d1ad2ea89bcbb5d9b9156c70aa20e26df5ad20946ab18b840bb0,False,10,03_rm2_actor_type_typology.ipynb; README.md; output/rm1_temporal/tables/temporal_method_parameters.csv; output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/apply_rm2_sentiment_v2_final_inference.py; scripts/build_rm2_comment_similarity_examples.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py; scripts/build_rm2_sentiment_v2_annotation_package.py; scripts/train_rm2_sentiment_v2_development_model.py,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/gephi/gephi_lcn_edges.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,103150,6b07f482a142d1151decd043cfd3cc465723491399642fc30882a567b7d2298b,False,4,output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/apply_rm2_sentiment_v2_final_inference.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_sentiment_v2_annotation_package.py,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/gephi/gephi_lcn_nodes.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,52975,4c18fa649771899e334ad53d6044031458f0822032cab54f229e1aa989643cd2,False,5,output/rm1_temporal/tables/temporal_method_parameters.csv; output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/apply_rm2_sentiment_v2_final_inference.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_sentiment_v2_annotation_package.py,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
