id,label,degree,weighted_degree,betweenness,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level
reviewjujur_ip2228,reviewjujur_ip2228,31,19.25,0.0006467228084978822,5,The Originote,The Originote,The Originote,High,Low
skinlover_ip4667,skinlover_ip4667,31,19.125,0.0006624455876533436,5,The Originote,The Originote,The Originote,High,Low
glowhunter_ip9119,glowhunter_ip9119,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low
skincare_ip7443,skincare_ip7443,31,19.0,0.0006624455876533436,5,The Originote,The Originote,The Originote,High,Low
skinbestie_ip1027,skinbestie_ip1027,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low
skinclub_ip8942,skinclub_ip8942,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low
kulitglowing_ip4767,kulitglowing_ip4767,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low
kulitglowing_ip9832,kulitglowing_ip9832,31,19.0,0.0006624455876533436,5,The Originote,The Originote,The Originote,High,Low
skinclub_ip8582,skinclub_ip8582,16,12.625,0.00017728531855955678,52,Azarine,Azarine,Azarine + Daviena,High,Low
racun_ip2774,racun_ip2774,15,11.428571428571429,3.60832468260621e-05,52,Azarine,Azarine,Azarine + Daviena,High,Low
skincare_ip2565,skincare_ip2565,15,11.035714285714286,3.60832468260621e-05,52,Azarine,Azarine,Azarine + Daviena,High,Low
glowhunter_ip7849,glowhunter_ip7849,15,11.035714285714286,8.882029987953747e-05,52,Azarine,Azarine,Azarine + Daviena,High,Low
reviewjujur_ip9284,reviewjujur_ip9284,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low
glowhunter_ip4395,glowhunter_ip4395,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low
skinlover_ip4018,skinlover_ip4018,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low
glowhunter_ip2869,glowhunter_ip2869,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low
beautyvibe_ct78952,beautyvibe_ct78952,5,9.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low
reviewjujur_ct97003,reviewjujur_ct97003,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low
kulitglowing_ip7028,kulitglowing_ip7028,14,8.875,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low
kulitcerah_ct29113,kulitcerah_ct29113,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low
reviewjujur_ct39243,reviewjujur_ct39243,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low
reviewjujur_ct55350,reviewjujur_ct55350,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low
cantik_ip9501,cantik_ip9501,8,8.660714285714286,0.0004357745962839807,150,Maryame,Maryame,Maryame + The Originote,Medium,Low
kulitglowing_ip334,kulitglowing_ip334,8,8.535714285714286,0.00018836565096952908,150,Maryame,Maryame,Maryame + The Originote,Medium,Low
kulitglowing_ip1790,kulitglowing_ip1790,8,8.535714285714286,0.0004357745962839807,150,Maryame,Maryame,Maryame + The Originote,Medium,Low
glowhunter_ip1923,glowhunter_ip1923,7,8.125,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low
glowhunter_ip8756,glowhunter_ip8756,7,8.0,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low
skinbestie_ip9364,skinbestie_ip9364,7,8.0,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low
glowingid_rr53578,glowingid_rr53578,9,6.839285714285714,0.007286040224493308,62,Maryame,Mixed_3plus_Brands,Maryame + Daviena + The Originote,Medium,Low
kulitglowing_ct49929,kulitglowing_ct49929,7,6.375,0.00015265989041795503,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
glowhunter_ct43630,glowhunter_ct43630,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low
kulitcerah_ct92565,kulitcerah_ct92565,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low
bestieku_ct63653,bestieku_ct63653,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low
beautyvibe_ct53672,beautyvibe_ct53672,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low
testireal_ct48546,testireal_ct48546,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low
glowup_ct95907,glowup_ct95907,4,5.571428571428571,0.0,20,Daviena,Daviena,Daviena + Maryame,Medium,Low
glowdiary_r3c03m00x2631,glowdiary_r3c03m00x2631,5,5.178571428571428,0.0,113,Maryame,Maryame,Maryame,High,Medium
