source,target,co_conv_weight,co_reply_weight,co_temporal_weight,norm_co_conv,norm_co_reply,norm_co_temporal,final_weight,n_evidence,co_hashtag
beauty_ct15443,beauty_ct22809,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct15443,beauty_ct94362,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct15443,beautyaddict_ct95803,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct15443,racun_ct45713,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct15443,skinlover_ct30407,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct15443,skintok_ct75378,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct22809,beauty_ct94362,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct22809,beautyaddict_ct95803,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct22809,racun_ct45713,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct22809,skinlover_ct30407,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct22809,skintok_ct75378,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct3636,beauty_rr5404,2,2.0,0.0,0.25,0.2857142857142857,0.0,0.5357142857142857,2,4
beauty_ct3636,cantik_rr7263,2,2.0,0.0,0.25,0.2857142857142857,0.0,0.5357142857142857,2,4
beauty_ct61338,beautyaddict_ct95316,7,0.0,7.0,0.875,0.0,0.875,1.75,2,31
beauty_ct61338,glowingid_ct92516,7,0.0,7.0,0.875,0.0,0.875,1.75,2,31
beauty_ct7151,beauty_ct8829,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct7151,beautyaddict_ct8242,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct7151,beautyvibe_ct2527,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct7151,skincare_ct7727,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct7151,skinclub_ct2318,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct8829,beautyaddict_ct8242,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct8829,beautyvibe_ct2527,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct8829,skincare_ct7727,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct8829,skinclub_ct2318,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6
beauty_ct89266,cantik_ct99107,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12
beauty_ct89266,glowhunter_ct64974,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12
beauty_ct89266,glowingid_ct74353,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12
beauty_ct89266,skinlover_ct27853,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12
beauty_ct94362,beautyaddict_ct95803,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct94362,racun_ct45713,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct94362,skinlover_ct30407,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ct94362,skintok_ct75378,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14
beauty_ip2148,beauty_ip4789,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
beauty_ip2148,beautyaddict_ip168,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
beauty_ip2148,beautyvibe_ip9536,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
beauty_ip2148,cantik_ip3527,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
beauty_ip2148,glowhunter_ip5229,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
beauty_ip2148,kulitglowing_ip8678,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
beauty_ip4789,beautyaddict_ip168,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
beauty_ip4789,beautyvibe_ip9536,4,0.0,0.0,0.5,0.0,0.0,0.5,1,10
