id,label,degree,weighted_degree,betweenness,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,username_norm,actor_type_primary,individual_subtype,is_video_creator,is_verified_registry_actor,individual_in_hcc,account_goal_orientation,target_brand_primary,hcc_dominant_weekday,hcc_dominant_weekday_share,hcc_dominant_daypart,hcc_peak_hour,hcc_weekday_entropy_normalized,hcc_weekday_concentration_score,hcc_n_active_weeks,hcc_dominant_weekday_week_coverage,hcc_temporal_profile_reliability
reviewjujur_ip2228,reviewjujur_ip2228,31,19.25,0.0005773209503339,5,The Originote,The Originote,The Originote,High,Low,reviewjujur_ip2228,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
skinlover_ip4667,skinlover_ip4667,31,19.125,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,skinlover_ip4667,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
skinbestie_ip1027,skinbestie_ip1027,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,skinbestie_ip1027,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
skinclub_ip8942,skinclub_ip8942,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,skinclub_ip8942,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
kulitglowing_ip9832,kulitglowing_ip9832,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,kulitglowing_ip9832,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
skincare_ip7443,skincare_ip7443,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,skincare_ip7443,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
glowhunter_ip9119,glowhunter_ip9119,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,glowhunter_ip9119,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
kulitglowing_ip4767,kulitglowing_ip4767,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,kulitglowing_ip4767,Community Actor,,False,False,False,Mixed Goals,The Originote,Rabu,0.25,Malam,17,0.9463890351776074,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient
skinclub_ip8582,skinclub_ip8582,16,12.5,0.0001386957238039,54,Azarine,Azarine,Azarine + Daviena,High,Low,skinclub_ip8582,Community Actor,,False,False,False,Promotional / Supportive,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
racun_ip2774,racun_ip2774,15,11.428571428571429,9.708700666275866e-05,54,Azarine,Azarine,Azarine + Daviena,High,Low,racun_ip2774,Community Actor,,False,False,False,Neutral Engagement,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
skincare_ip2565,skincare_ip2565,15,11.035714285714286,9.708700666275866e-05,54,Azarine,Azarine,Azarine + Daviena,High,Low,skincare_ip2565,Community Actor,,False,False,False,Neutral Engagement,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
