actor_type_primary,dominant_weekday,n_accounts,median_dominant_weekday_share,median_weekday_concentration_score,account_share_within_actor_type,weekday_number
Community Actor,Senin,47,0.3333333333333333,0.43542496594642044,0.235,1
Community Actor,Selasa,52,0.3333333333333333,0.43542496594642044,0.26,2
Community Actor,Rabu,40,0.5,0.4656892193379668,0.2,3
Community Actor,Kamis,26,0.42857142857142855,0.43542496594642044,0.13,4
Community Actor,Jumat,17,0.4,0.45787827433950157,0.085,5
Community Actor,Sabtu,14,0.3875,0.3182965347481648,0.07,6
Community Actor,Minggu,4,0.375,0.23214587322303148,0.02,7
Individual Actor,Senin,7,0.35714285714285715,0.2854563220123497,0.1891891891891892,1
Individual Actor,Selasa,5,0.25,0.06652745790171721,0.13513513513513514,2
Individual Actor,Rabu,6,0.5833333333333333,0.5191061418026326,0.16216216216216217,3
Individual Actor,Kamis,9,0.5882352941176471,0.468854173606842,0.24324324324324326,4
Individual Actor,Jumat,5,0.3387096774193548,0.11639994020454336,0.13513513513513514,5
Individual Actor,Sabtu,4,0.3989501312335958,0.19866107099866503,0.10810810810810811,6
Individual Actor,Minggu,1,0.5142857142857142,0.48194516423547407,0.02702702702702703,7
Mass Actor,Senin,183,0.5,0.45787827433950157,0.17941176470588235,1
Mass Actor,Selasa,195,0.6,0.5541606949824278,0.19117647058823528,2
Mass Actor,Rabu,161,0.6666666666666666,0.6541404199284404,0.15784313725490196,3
Mass Actor,Kamis,162,0.6666666666666666,0.6728964240184352,0.1588235294117647,4
Mass Actor,Jumat,121,0.6666666666666666,0.6728964240184352,0.11862745098039215,5
Mass Actor,Sabtu,104,0.6666666666666666,0.6728964240184352,0.10196078431372549,6
Mass Actor,Minggu,94,0.6666666666666666,0.6728964240184352,0.09215686274509804,7
