public_actor_id,actor_type_primary,hcc_id,n_comments,n_active_weeks,dominant_weekday,dominant_weekday_share,dominant_daypart,peak_hour,weekday_concentration_score
beauty_ct61338,Community Actor,1,7,7,Kamis,0.42857142857142855,Pagi,10,0.24196072888010556
beauty_ct7151,Community Actor,2,3,3,Rabu,0.3333333333333333,Pagi,8,0.43542496594642044
beauty_ct8829,Community Actor,2,3,3,Rabu,0.3333333333333333,Pagi,8,0.43542496594642044
beauty_ct89266,Community Actor,3,3,3,Selasa,0.3333333333333333,Malam,20,0.43542496594642044
beautyaddict_ct10959,Community Actor,14,5,5,Selasa,0.4,Siang,5,0.45787827433950157
beautyaddict_ct2062,Community Actor,15,3,3,Selasa,0.6666666666666666,Malam,17,0.6728964240184352
beautyaddict_ct2423,Community Actor,16,3,3,Kamis,0.3333333333333333,Pagi,6,0.43542496594642044
beautyaddict_ct4776,Community Actor,15,3,3,Selasa,0.6666666666666666,Malam,17,0.6728964240184352
beautyaddict_ct75025,Community Actor,17,3,3,Senin,0.6666666666666666,Malam,6,0.6728964240184352
beautyaddict_ct7716,Community Actor,18,3,3,Rabu,0.6666666666666666,Malam,19,0.6728964240184352
beautyaddict_ct8242,Community Actor,2,3,3,Rabu,0.3333333333333333,Pagi,8,0.43542496594642044
beautyaddict_ct95316,Community Actor,1,7,7,Kamis,0.42857142857142855,Pagi,10,0.24196072888010556
beautyaddict_rr41856,Community Actor,34,6,5,Kamis,0.6666666666666666,Malam,8,0.5541606949824278
beautyaddict_rr42909,Community Actor,183,3,3,Rabu,0.6666666666666666,Malam,9,0.6728964240184352
beautyfess_r3c05m00x6415,Community Actor,42,3,3,Sabtu,0.6666666666666666,Pagi,10,0.6728964240184352
beautyfess_r3c05m01x4347,Community Actor,42,5,3,Sabtu,0.6,Pagi,10,0.6541404199284404
beautyfess_r3c05m02x6049,Community Actor,42,5,3,Sabtu,0.6,Pagi,10,0.6541404199284404
beautyfess_r3c05m03x8357,Community Actor,42,5,3,Sabtu,0.6,Siang,11,0.6541404199284404
beautyfess_r3c05m04x3629,Community Actor,42,5,3,Sabtu,0.6,Siang,11,0.6541404199284404
