actor_type,weekday_number,weekday_name_id,hour_local,n_comments,n_accounts,n_unique_videos
Community Actor,1,Senin,0,3,3,3
Community Actor,1,Senin,1,0,0,0
Community Actor,1,Senin,2,0,0,0
Community Actor,1,Senin,3,0,0,0
Community Actor,1,Senin,4,0,0,0
Community Actor,1,Senin,5,4,4,1
Community Actor,1,Senin,6,7,7,1
Community Actor,1,Senin,7,13,13,3
Community Actor,1,Senin,8,8,8,3
Community Actor,1,Senin,9,0,0,0
Community Actor,1,Senin,10,15,10,3
Community Actor,1,Senin,11,2,2,2
Community Actor,1,Senin,12,4,4,2
Community Actor,1,Senin,13,5,5,1
Community Actor,1,Senin,14,4,4,2
Community Actor,1,Senin,15,7,7,3
Community Actor,1,Senin,16,10,6,2
Community Actor,1,Senin,17,3,3,3
Community Actor,1,Senin,18,4,4,2
Community Actor,1,Senin,19,5,5,4
Community Actor,1,Senin,20,3,3,2
Community Actor,1,Senin,21,7,7,4
Community Actor,1,Senin,22,9,9,3
Community Actor,1,Senin,23,15,12,3
Community Actor,2,Selasa,0,1,1,1
Community Actor,2,Selasa,1,0,0,0
Community Actor,2,Selasa,2,2,2,2
Community Actor,2,Selasa,3,5,5,1
Community Actor,2,Selasa,4,6,4,1
Community Actor,2,Selasa,5,7,6,3
Community Actor,2,Selasa,6,7,7,2
Community Actor,2,Selasa,7,9,5,1
Community Actor,2,Selasa,8,5,5,2
Community Actor,2,Selasa,9,5,5,2
Community Actor,2,Selasa,10,11,11,6
Community Actor,2,Selasa,11,14,10,3
Community Actor,2,Selasa,12,3,3,3
Community Actor,2,Selasa,13,10,10,4
Community Actor,2,Selasa,14,6,5,6
Community Actor,2,Selasa,15,2,2,2
Community Actor,2,Selasa,16,6,6,3
Community Actor,2,Selasa,17,17,14,4
Community Actor,2,Selasa,18,7,7,1
Community Actor,2,Selasa,19,0,0,0
Community Actor,2,Selasa,20,22,17,5
Community Actor,2,Selasa,21,3,3,3
Community Actor,2,Selasa,22,7,7,5
Community Actor,2,Selasa,23,7,7,2
Community Actor,3,Rabu,0,15,6,2
Community Actor,3,Rabu,1,0,0,0
Community Actor,3,Rabu,2,0,0,0
Community Actor,3,Rabu,3,0,0,0
Community Actor,3,Rabu,4,0,0,0
Community Actor,3,Rabu,5,0,0,0
Community Actor,3,Rabu,6,1,1,1
Community Actor,3,Rabu,7,12,12,4
Community Actor,3,Rabu,8,11,11,3
Community Actor,3,Rabu,9,10,10,4
Community Actor,3,Rabu,10,3,3,2
Community Actor,3,Rabu,11,5,5,3
Community Actor,3,Rabu,12,11,7,3
Community Actor,3,Rabu,13,7,7,2
Community Actor,3,Rabu,14,6,6,3
Community Actor,3,Rabu,15,3,3,3
Community Actor,3,Rabu,16,4,4,4
Community Actor,3,Rabu,17,14,14,5
Community Actor,3,Rabu,18,3,3,3
Community Actor,3,Rabu,19,14,14,5
Community Actor,3,Rabu,20,5,5,5
Community Actor,3,Rabu,21,7,7,1
Community Actor,3,Rabu,22,10,10,4
Community Actor,3,Rabu,23,1,1,1
Community Actor,4,Kamis,0,0,0,0
Community Actor,4,Kamis,1,0,0,0
Community Actor,4,Kamis,2,0,0,0
Community Actor,4,Kamis,3,0,0,0
Community Actor,4,Kamis,4,0,0,0
Community Actor,4,Kamis,5,6,6,2
Community Actor,4,Kamis,6,3,3,3
Community Actor,4,Kamis,7,2,2,2
Community Actor,4,Kamis,8,20,20,5
Community Actor,4,Kamis,9,3,3,2
Community Actor,4,Kamis,10,5,5,5
Community Actor,4,Kamis,11,4,4,2
Community Actor,4,Kamis,12,4,4,4
Community Actor,4,Kamis,13,3,3,3
Community Actor,4,Kamis,14,2,2,2
Community Actor,4,Kamis,15,13,13,4
Community Actor,4,Kamis,16,33,28,8
Community Actor,4,Kamis,17,28,25,8
Community Actor,4,Kamis,18,1,1,1
Community Actor,4,Kamis,19,20,14,4
Community Actor,4,Kamis,20,12,11,5
Community Actor,4,Kamis,21,9,9,4
Community Actor,4,Kamis,22,6,6,3
Community Actor,4,Kamis,23,3,3,2
Community Actor,5,Jumat,0,2,2,2
Community Actor,5,Jumat,1,7,7,2
Community Actor,5,Jumat,2,0,0,0
Community Actor,5,Jumat,3,0,0,0
Community Actor,5,Jumat,4,1,1,1
Community Actor,5,Jumat,5,7,7,3
Community Actor,5,Jumat,6,1,1,1
Community Actor,5,Jumat,7,0,0,0
Community Actor,5,Jumat,8,8,8,3
Community Actor,5,Jumat,9,1,1,1
Community Actor,5,Jumat,10,4,4,2
Community Actor,5,Jumat,11,0,0,0
Community Actor,5,Jumat,12,26,21,7
Community Actor,5,Jumat,13,4,4,4
Community Actor,5,Jumat,14,1,1,1
Community Actor,5,Jumat,15,9,9,4
Community Actor,5,Jumat,16,6,5,2
Community Actor,5,Jumat,17,4,4,4
Community Actor,5,Jumat,18,1,1,1
Community Actor,5,Jumat,19,11,6,1
Community Actor,5,Jumat,20,5,5,1
Community Actor,5,Jumat,21,6,6,3
Community Actor,5,Jumat,22,4,4,4
Community Actor,5,Jumat,23,1,1,1
Community Actor,6,Sabtu,0,4,4,3
Community Actor,6,Sabtu,1,0,0,0
Community Actor,6,Sabtu,2,2,2,2
Community Actor,6,Sabtu,3,0,0,0
Community Actor,6,Sabtu,4,0,0,0
Community Actor,6,Sabtu,5,5,5,1
Community Actor,6,Sabtu,6,13,8,3
Community Actor,6,Sabtu,7,2,2,2
Community Actor,6,Sabtu,8,10,10,4
Community Actor,6,Sabtu,9,0,0,0
Community Actor,6,Sabtu,10,11,9,2
Community Actor,6,Sabtu,11,19,18,7
Community Actor,6,Sabtu,12,5,5,5
Community Actor,6,Sabtu,13,2,2,2
Community Actor,6,Sabtu,14,1,1,1
Community Actor,6,Sabtu,15,7,7,3
Community Actor,6,Sabtu,16,7,7,3
Community Actor,6,Sabtu,17,15,15,7
Community Actor,6,Sabtu,18,8,8,4
Community Actor,6,Sabtu,19,0,0,0
Community Actor,6,Sabtu,20,8,8,4
Community Actor,6,Sabtu,21,10,10,2
Community Actor,6,Sabtu,22,9,9,4
Community Actor,6,Sabtu,23,7,7,2
Community Actor,7,Minggu,0,1,1,1
Community Actor,7,Minggu,1,2,2,2
Community Actor,7,Minggu,2,1,1,1
Community Actor,7,Minggu,3,2,2,2
Community Actor,7,Minggu,4,0,0,0
Community Actor,7,Minggu,5,0,0,0
Community Actor,7,Minggu,6,8,8,2
Community Actor,7,Minggu,7,0,0,0
Community Actor,7,Minggu,8,13,9,5
Community Actor,7,Minggu,9,6,6,4
Community Actor,7,Minggu,10,8,8,4
Community Actor,7,Minggu,11,2,2,2
Community Actor,7,Minggu,12,2,2,2
Community Actor,7,Minggu,13,9,5,1
Community Actor,7,Minggu,14,1,1,1
Community Actor,7,Minggu,15,5,5,1
Community Actor,7,Minggu,16,0,0,0
Community Actor,7,Minggu,17,5,5,3
Community Actor,7,Minggu,18,4,4,4
Community Actor,7,Minggu,19,6,6,1
Community Actor,7,Minggu,20,8,8,2
Community Actor,7,Minggu,21,2,2,2
Community Actor,7,Minggu,22,1,1,1
Community Actor,7,Minggu,23,1,1,1
Individual Actor,1,Senin,0,99,86,25
Individual Actor,1,Senin,1,69,64,19
Individual Actor,1,Senin,2,34,34,16
Individual Actor,1,Senin,3,23,23,10
Individual Actor,1,Senin,4,61,49,18
Individual Actor,1,Senin,5,84,81,26
Individual Actor,1,Senin,6,134,127,30
Individual Actor,1,Senin,7,241,204,30
Individual Actor,1,Senin,8,203,189,36
Individual Actor,1,Senin,9,202,189,35
Individual Actor,1,Senin,10,220,204,39
Individual Actor,1,Senin,11,229,197,37
Individual Actor,1,Senin,12,194,172,37
Individual Actor,1,Senin,13,236,217,41
Individual Actor,1,Senin,14,197,184,38
Individual Actor,1,Senin,15,196,177,38
Individual Actor,1,Senin,16,176,172,37
Individual Actor,1,Senin,17,200,176,43
Individual Actor,1,Senin,18,181,166,45
Individual Actor,1,Senin,19,181,161,39
Individual Actor,1,Senin,20,214,200,51
Individual Actor,1,Senin,21,187,170,45
Individual Actor,1,Senin,22,151,139,43
Individual Actor,1,Senin,23,101,97,37
Individual Actor,2,Selasa,0,69,66,30
Individual Actor,2,Selasa,1,38,37,21
Individual Actor,2,Selasa,2,22,21,13
Individual Actor,2,Selasa,3,23,18,12
Individual Actor,2,Selasa,4,23,23,15
Individual Actor,2,Selasa,5,73,69,35
Individual Actor,2,Selasa,6,92,89,33
Individual Actor,2,Selasa,7,139,126,41
Individual Actor,2,Selasa,8,113,108,43
Individual Actor,2,Selasa,9,167,140,43
Individual Actor,2,Selasa,10,643,616,42
Individual Actor,2,Selasa,11,655,629,40
Individual Actor,2,Selasa,12,528,513,36
Individual Actor,2,Selasa,13,368,336,43
Individual Actor,2,Selasa,14,336,294,46
Individual Actor,2,Selasa,15,262,232,38
Individual Actor,2,Selasa,16,363,332,45
Individual Actor,2,Selasa,17,469,448,42
Individual Actor,2,Selasa,18,480,440,45
Individual Actor,2,Selasa,19,403,388,45
Individual Actor,2,Selasa,20,431,398,46
Individual Actor,2,Selasa,21,333,312,40
Individual Actor,2,Selasa,22,260,249,39
Individual Actor,2,Selasa,23,152,141,33
Individual Actor,3,Rabu,0,139,135,27
Individual Actor,3,Rabu,1,57,54,18
Individual Actor,3,Rabu,2,42,38,13
Individual Actor,3,Rabu,3,44,40,18
Individual Actor,3,Rabu,4,52,47,16
Individual Actor,3,Rabu,5,134,131,29
Individual Actor,3,Rabu,6,193,191,25
Individual Actor,3,Rabu,7,212,195,35
Individual Actor,3,Rabu,8,268,245,39
Individual Actor,3,Rabu,9,272,241,42
Individual Actor,3,Rabu,10,226,215,48
Individual Actor,3,Rabu,11,254,233,44
Individual Actor,3,Rabu,12,216,198,40
Individual Actor,3,Rabu,13,231,208,45
Individual Actor,3,Rabu,14,222,197,41
Individual Actor,3,Rabu,15,200,178,44
Individual Actor,3,Rabu,16,168,165,41
Individual Actor,3,Rabu,17,206,198,43
Individual Actor,3,Rabu,18,276,257,46
Individual Actor,3,Rabu,19,331,295,47
Individual Actor,3,Rabu,20,309,286,44
Individual Actor,3,Rabu,21,347,321,43
Individual Actor,3,Rabu,22,344,304,39
Individual Actor,3,Rabu,23,202,183,38
Individual Actor,4,Kamis,0,138,131,30
Individual Actor,4,Kamis,1,85,82,21
Individual Actor,4,Kamis,2,76,72,19
Individual Actor,4,Kamis,3,52,49,12
Individual Actor,4,Kamis,4,83,79,18
Individual Actor,4,Kamis,5,206,190,28
Individual Actor,4,Kamis,6,284,262,33
Individual Actor,4,Kamis,7,388,368,34
Individual Actor,4,Kamis,8,442,419,41
Individual Actor,4,Kamis,9,412,376,40
Individual Actor,4,Kamis,10,303,281,41
Individual Actor,4,Kamis,11,245,230,39
Individual Actor,4,Kamis,12,332,312,41
Individual Actor,4,Kamis,13,326,300,42
Individual Actor,4,Kamis,14,284,274,41
Individual Actor,4,Kamis,15,255,237,40
Individual Actor,4,Kamis,16,238,216,42
Individual Actor,4,Kamis,17,262,223,44
Individual Actor,4,Kamis,18,220,198,42
Individual Actor,4,Kamis,19,273,255,46
Individual Actor,4,Kamis,20,287,263,45
Individual Actor,4,Kamis,21,262,244,46
Individual Actor,4,Kamis,22,237,201,40
Individual Actor,4,Kamis,23,146,133,37
Individual Actor,5,Jumat,0,102,80,26
Individual Actor,5,Jumat,1,64,59,22
Individual Actor,5,Jumat,2,43,40,20
Individual Actor,5,Jumat,3,24,24,15
Individual Actor,5,Jumat,4,60,55,26
Individual Actor,5,Jumat,5,92,89,29
Individual Actor,5,Jumat,6,141,131,32
Individual Actor,5,Jumat,7,241,221,37
