actor_type,weekday_number,weekday_name_id,n_comments,n_accounts,n_unique_videos,comment_share_within_actor_type
Community Actor,1,Senin,128,84,25,13.474
Community Actor,2,Selasa,162,118,30,17.053
Community Actor,3,Rabu,142,95,35,14.947
Community Actor,4,Kamis,177,131,33,18.632
Community Actor,5,Jumat,109,84,25,11.474
Community Actor,6,Sabtu,145,98,37,15.263
Community Actor,7,Minggu,87,67,26,9.158
Individual Actor,1,Senin,3813,3255,55,11.612
Individual Actor,2,Selasa,6442,5739,55,19.618
Individual Actor,3,Rabu,4945,4305,55,15.059
Individual Actor,4,Kamis,5836,5120,55,17.772
Individual Actor,5,Jumat,4085,3468,55,12.44
Individual Actor,6,Sabtu,4048,3445,54,12.327
Individual Actor,7,Minggu,3669,3153,54,11.173
