brand,weekday_number,weekday_name_id,hour_local,n_active_hcc,n_community_actors,n_comments,n_unique_videos,hcc_ids
Azarine,1,Senin,0,1,1,1,1,54
Azarine,1,Senin,1,0,0,0,0,
Azarine,1,Senin,2,0,0,0,0,
Azarine,1,Senin,3,0,0,0,0,
Azarine,1,Senin,4,0,0,0,0,
Azarine,1,Senin,5,1,4,4,1,45
Azarine,1,Senin,6,1,7,7,1,17
Azarine,1,Senin,7,1,1,1,1,54
Azarine,1,Senin,8,1,2,2,2,54
Azarine,1,Senin,9,0,0,0,0,
Azarine,1,Senin,10,0,0,0,0,
Azarine,1,Senin,11,0,0,0,0,
Azarine,1,Senin,12,1,1,1,1,17
Azarine,1,Senin,13,0,0,0,0,
Azarine,1,Senin,14,2,4,4,2,1;54
Azarine,1,Senin,15,3,7,7,3,17;48;54
Azarine,1,Senin,16,0,0,0,0,
Azarine,1,Senin,17,0,0,0,0,
Azarine,1,Senin,18,0,0,0,0,
Azarine,1,Senin,19,1,2,2,2,54
Azarine,1,Senin,20,1,1,1,1,54
Azarine,1,Senin,21,1,1,1,1,54
Azarine,1,Senin,22,2,8,8,2,17;54
Azarine,1,Senin,23,2,6,9,2,54;180
Azarine,2,Selasa,0,0,0,0,0,
Azarine,2,Selasa,1,0,0,0,0,
Azarine,2,Selasa,2,1,1,1,1,54
Azarine,2,Selasa,3,0,0,0,0,
Azarine,2,Selasa,4,0,0,0,0,
Azarine,2,Selasa,5,1,1,1,1,54
Azarine,2,Selasa,6,0,0,0,0,
Azarine,2,Selasa,7,0,0,0,0,
Azarine,2,Selasa,8,1,4,4,1,204
Azarine,2,Selasa,9,2,5,5,2,45;54
Azarine,2,Selasa,10,2,7,7,3,54;132
Azarine,2,Selasa,11,0,0,0,0,
Azarine,2,Selasa,12,1,1,1,1,54
Azarine,2,Selasa,13,1,1,1,1,54
Azarine,2,Selasa,14,1,1,2,2,54
Azarine,2,Selasa,15,1,2,2,2,54
Azarine,2,Selasa,16,1,1,1,1,54
Azarine,2,Selasa,17,2,7,10,2,1;180
Azarine,2,Selasa,18,1,1,1,1,17
Azarine,2,Selasa,19,0,0,0,0,
Azarine,2,Selasa,20,3,6,6,3,17;54;90
Azarine,2,Selasa,21,1,1,1,1,54
Azarine,2,Selasa,22,1,1,1,1,54
Azarine,2,Selasa,23,1,1,1,1,54
Azarine,3,Rabu,0,0,0,0,0,
Azarine,3,Rabu,1,0,0,0,0,
Azarine,3,Rabu,2,0,0,0,0,
Azarine,3,Rabu,3,0,0,0,0,
Azarine,3,Rabu,4,0,0,0,0,
Azarine,3,Rabu,5,0,0,0,0,
Azarine,3,Rabu,6,1,1,1,1,54
Azarine,3,Rabu,7,0,0,0,0,
Azarine,3,Rabu,8,2,5,5,2,45;54
Azarine,3,Rabu,9,0,0,0,0,
Azarine,3,Rabu,10,1,2,2,1,54
Azarine,3,Rabu,11,0,0,0,0,
Azarine,3,Rabu,12,0,0,0,0,
Azarine,3,Rabu,13,0,0,0,0,
Azarine,3,Rabu,14,0,0,0,0,
Azarine,3,Rabu,15,1,1,1,1,54
Azarine,3,Rabu,16,1,1,1,1,54
Azarine,3,Rabu,17,0,0,0,0,
Azarine,3,Rabu,18,0,0,0,0,
Azarine,3,Rabu,19,0,0,0,0,
Azarine,3,Rabu,20,0,0,0,0,
Azarine,3,Rabu,21,0,0,0,0,
Azarine,3,Rabu,22,3,9,9,3,54;90;132
Azarine,3,Rabu,23,0,0,0,0,
Azarine,4,Kamis,0,0,0,0,0,
Azarine,4,Kamis,1,0,0,0,0,
Azarine,4,Kamis,2,0,0,0,0,
Azarine,4,Kamis,3,0,0,0,0,
Azarine,4,Kamis,4,0,0,0,0,
Azarine,4,Kamis,5,0,0,0,0,
Azarine,4,Kamis,6,1,1,1,1,54
Azarine,4,Kamis,7,1,1,1,1,54
Azarine,4,Kamis,8,4,12,12,3,1;17;54;132
Azarine,4,Kamis,9,1,2,2,1,54
Azarine,4,Kamis,10,2,2,2,2,17;54
Azarine,4,Kamis,11,1,3,3,1,1
Azarine,4,Kamis,12,1,1,1,1,54
Azarine,4,Kamis,13,1,2,2,2,54
Azarine,4,Kamis,14,0,0,0,0,
Azarine,4,Kamis,15,1,5,5,1,48
Azarine,4,Kamis,16,1,3,3,1,1
Azarine,4,Kamis,17,1,4,7,1,204
Azarine,4,Kamis,18,1,1,1,1,54
Azarine,4,Kamis,19,0,0,0,0,
Azarine,4,Kamis,20,0,0,0,0,
Azarine,4,Kamis,21,0,0,0,0,
Azarine,4,Kamis,22,2,5,5,2,17;45
Azarine,4,Kamis,23,1,3,3,2,54
Azarine,5,Jumat,0,2,2,2,2,17;54
Azarine,5,Jumat,1,1,1,1,1,54
Azarine,5,Jumat,2,0,0,0,0,
Azarine,5,Jumat,3,0,0,0,0,
Azarine,5,Jumat,4,0,0,0,0,
Azarine,5,Jumat,5,1,1,1,1,54
Azarine,5,Jumat,6,0,0,0,0,
Azarine,5,Jumat,7,0,0,0,0,
Azarine,5,Jumat,8,0,0,0,0,
Azarine,5,Jumat,9,0,0,0,0,
Azarine,5,Jumat,10,1,3,3,1,1
Azarine,5,Jumat,11,0,0,0,0,
Azarine,5,Jumat,12,1,5,10,2,48
Azarine,5,Jumat,13,1,2,2,2,54
Azarine,5,Jumat,14,0,0,0,0,
Azarine,5,Jumat,15,1,4,4,1,90
Azarine,5,Jumat,16,1,5,6,2,17
Azarine,5,Jumat,17,1,1,1,1,17
Azarine,5,Jumat,18,1,1,1,1,54
Azarine,5,Jumat,19,0,0,0,0,
Azarine,5,Jumat,20,0,0,0,0,
Azarine,5,Jumat,21,1,1,1,1,54
Azarine,5,Jumat,22,0,0,0,0,
Azarine,5,Jumat,23,0,0,0,0,
Azarine,6,Sabtu,0,1,2,2,1,54
Azarine,6,Sabtu,1,0,0,0,0,
Azarine,6,Sabtu,2,1,1,1,1,54
Azarine,6,Sabtu,3,0,0,0,0,
Azarine,6,Sabtu,4,0,0,0,0,
Azarine,6,Sabtu,5,1,5,5,1,48
Azarine,6,Sabtu,6,0,0,0,0,
Azarine,6,Sabtu,7,0,0,0,0,
Azarine,6,Sabtu,8,0,0,0,0,
Azarine,6,Sabtu,9,0,0,0,0,
Azarine,6,Sabtu,10,1,4,4,1,17
Azarine,6,Sabtu,11,2,5,6,3,45;54
Azarine,6,Sabtu,12,2,3,3,3,17;54
Azarine,6,Sabtu,13,1,1,1,1,54
Azarine,6,Sabtu,14,0,0,0,0,
Azarine,6,Sabtu,15,1,1,1,1,54
Azarine,6,Sabtu,16,0,0,0,0,
Azarine,6,Sabtu,17,2,5,5,2,45;54
Azarine,6,Sabtu,18,0,0,0,0,
Azarine,6,Sabtu,19,0,0,0,0,
Azarine,6,Sabtu,20,0,0,0,0,
Azarine,6,Sabtu,21,1,5,5,1,48
Azarine,6,Sabtu,22,0,0,0,0,
Azarine,6,Sabtu,23,0,0,0,0,
Azarine,7,Minggu,0,0,0,0,0,
Azarine,7,Minggu,1,0,0,0,0,
Azarine,7,Minggu,2,0,0,0,0,
Azarine,7,Minggu,3,0,0,0,0,
Azarine,7,Minggu,4,0,0,0,0,
Azarine,7,Minggu,5,0,0,0,0,
Azarine,7,Minggu,6,0,0,0,0,
Azarine,7,Minggu,7,0,0,0,0,
Azarine,7,Minggu,8,1,1,1,1,54
