hcc_id,community_size,n_comments,n_community_actors,n_unique_videos,n_active_weekdays,n_active_hours,dominant_weekday_by_comments,dominant_weekday_comments,weekday_concentration_score,weekend_comment_share
1,3,21,3,7,5,6,Kamis,9,0.429,14.286
2,6,18,6,3,3,2,Rabu,6,0.333,33.333
3,5,15,5,3,3,2,Selasa,5,0.333,0.0
5,8,64,8,8,7,22,Rabu,16,0.25,25.0
14,3,15,3,5,3,5,Selasa,6,0.4,0.0
15,6,18,6,3,2,3,Selasa,12,0.667,33.333
16,5,15,5,3,3,3,Kamis,5,0.333,33.333
17,11,37,11,10,6,8,Senin,15,0.405,29.73
18,6,18,6,3,2,3,Rabu,12,0.667,0.0
20,3,24,3,8,5,7,Minggu,9,0.375,62.5
34,3,6,2,6,3,5,Kamis,4,0.667,16.667
40,5,23,5,3,2,3,Sabtu,14,0.609,60.87
43,4,24,4,6,5,6,Sabtu,8,0.333,33.333
44,7,21,7,3,3,3,Selasa,7,0.333,33.333
46,5,30,5,6,4,4,Jumat,10,0.333,33.333
47,6,16,5,4,3,4,Jumat,10,0.625,31.25
48,6,18,6,3,3,3,Selasa,6,0.333,33.333
50,5,40,5,8,5,8,Senin,10,0.25,25.0
52,11,66,10,10,7,20,Selasa,16,0.242,21.212
53,5,30,5,6,7,18,Minggu,6,0.2,36.667
58,3,4,1,4,2,4,Kamis,3,0.75,25.0
62,3,10,2,10,5,8,Kamis,3,0.3,20.0
73,3,12,3,4,4,4,Selasa,3,0.25,25.0
74,4,16,4,4,3,3,Rabu,8,0.5,25.0
86,5,20,4,5,5,3,Senin,4,0.2,20.0
90,4,12,4,3,3,3,Selasa,4,0.333,0.0
99,6,22,6,2,2,2,Senin,11,0.5,0.0
112,6,28,6,3,3,3,Selasa,11,0.393,0.0
113,6,28,6,3,3,3,Jumat,11,0.393,39.286
116,6,18,6,3,3,3,Rabu,6,0.333,33.333
130,4,12,4,3,3,3,Selasa,4,0.333,0.0
133,3,6,1,6,6,6,Selasa,1,0.167,33.333
150,6,48,6,8,7,15,Senin,14,0.292,20.833
169,5,9,5,1,1,1,Selasa,9,1.0,0.0
181,4,14,4,2,2,2,Senin,7,0.5,0.0
182,5,9,5,1,1,1,Minggu,9,1.0,100.0
183,6,18,6,3,3,3,Senin,6,0.333,0.0
184,7,15,5,3,2,3,Rabu,10,0.667,33.333
193,5,23,5,3,3,3,Senin,9,0.391,0.0
204,4,11,4,2,2,2,Kamis,7,0.636,0.0
205,5,23,5,3,2,2,Rabu,14,0.609,39.13
206,5,9,5,1,1,1,Rabu,9,1.0,0.0
