individual_username,individual_subtype,n_comments,n_active_dates,n_active_weeks,dominant_comment_weekday,dominant_comment_daypart,peak_comment_hour,weekday_concentration_score,temporal_profile_reliability
adilana.na,Video Creator,74,27,11,Kamis,Pagi,4.0,0.07827119370602709,Descriptively sufficient
adiliarizqa,Video Creator,3,3,2,Senin,Malam,16.0,0.43542496594642044,Insufficient observations
afikarrhnur,Video Creator,68,38,23,Selasa,Malam,20.0,0.06652745790171721,Descriptively sufficient
ansyashine,Video Creator,11,9,7,Kamis,Pagi,5.0,0.051230489641095,Descriptively sufficient
asabelavvv,Video Creator,4,3,2,Rabu,Malam,20.0,0.7110169013241403,Insufficient observations
cellynstore_,Video Creator,121,81,56,Selasa,Sore,13.0,0.03240974763316662,Descriptively sufficient
daviena_dvn,Video Creator,0,0,0,Not Observed,Not Observed,,,Insufficient observations
deswitatata2,Video Creator,24,21,16,Rabu,Pagi,17.0,0.09976021741612817,Descriptively sufficient
dewihanijayanti,Video Creator,14,10,8,Senin,Siang,9.0,0.2854563220123497,Descriptively sufficient
dicannnns,Video Creator,188,71,21,Senin,Siang,11.0,0.02773346279364064,Descriptively sufficient
dr.okypratamaa_kedua,Video Creator,0,0,0,Not Observed,Not Observed,,,Insufficient observations
dww.srtk,Video Creator,83,17,6,Jumat,Malam,0.0,0.06887972412242171,Descriptively sufficient
faniabsaa,Video Creator,1,1,1,Minggu,Malam,21.0,1.0,Insufficient observations
fvajar_,Video Creator,35,3,1,Minggu,Pagi,10.0,0.48194516423547407,Limited recurrence
glowupyuk34,Video Creator,12,9,9,Rabu,Siang,13.0,0.25732137239240926,Descriptively sufficient
iketiaaa,Video Creator,11,5,2,Kamis,Siang,17.0,0.468854173606842,Limited recurrence
irnaayu27,Video Creator,9,5,3,Senin,Malam,0.0,0.40950012644291023,Insufficient observations
janeabys,Video Creator,3,2,1,Kamis,Sore,15.0,0.6728964240184352,Insufficient observations
jesyjeyn,Video Creator,17,6,3,Senin,Pagi,7.0,0.2722481656979703,Descriptively sufficient
juliadoang08,Video Creator,17,3,3,Kamis,Malam,16.0,0.651836748589028,Descriptively sufficient
lookatmeeh__,Video Creator,15,10,6,Sabtu,Malam,3.0,0.11913325390735363,Descriptively sufficient
maharajasp8,Video Creator,10,3,2,Rabu,Malam,19.0,0.7428440240259193,Limited recurrence
maryame.official,Video Creator,52,37,26,Jumat,Siang,11.0,0.06756533217277871,Descriptively sufficient
mayhapid2,Video Creator,2,2,2,Senin,Pagi,7.0,0.6437928128919779,Insufficient observations
melvinahusyanti96,Video Creator,16,3,3,Sabtu,Sore,15.0,0.8063784386759335,Descriptively sufficient
mimiaudmua,Video Creator,127,31,16,Sabtu,Sore,17.0,0.17472874409584704,Descriptively sufficient
mputrizahro,Video Creator,16,4,4,Jumat,Pagi,9.0,0.6906722686941598,Descriptively sufficient
nabellaolivia,Video Creator,24,9,7,Kamis,Malam,18.0,0.27120895512191,Descriptively sufficient
namicwn_,Video Creator,52,34,19,Selasa,Sore,15.0,0.05230218697080258,Descriptively sufficient
nooraabeautycreator,Video Creator,52,23,16,Senin,Malam,11.0,0.04153183304920127,Descriptively sufficient
notforsheil,Video Creator,0,0,0,Not Observed,Not Observed,,,Insufficient observations
orinagista13,Video Creator,18,8,5,Sabtu,Siang,12.0,0.22259339790148303,Descriptively sufficient
racunwithdivani,Video Creator,4,3,3,Selasa,Siang,12.0,0.6437928128919779,Insufficient observations
rikut02,Video Creator,62,34,19,Jumat,Malam,14.0,0.11639994020454336,Descriptively sufficient
skinby_sindy,Video Creator,67,9,4,Selasa,Siang,14.0,0.614314620418944,Descriptively sufficient
skincarebyw,Video Creator,6,3,2,Kamis,Sore,17.0,0.5541606949824278,Insufficient observations
soufberry,Video Creator,1,1,1,Kamis,Malam,20.0,1.0,Insufficient observations
susiyuliani30,Video Creator,33,4,3,Rabu,Pagi,9.0,0.5725230642672985,Descriptively sufficient
theoriginote,Video Creator,19,2,2,Jumat,Pagi,10.0,0.8270753879633777,Limited recurrence
thisisalulaa,Video Creator,40,3,2,Senin,Malam,0.0,0.48302433506463793,Limited recurrence
tiarach18,Video Creator,3,2,1,Kamis,Malam,19.0,0.6728964240184352,Insufficient observations
vivianmarguerre,Video Creator,62,28,19,Kamis,Malam,17.0,0.1156828424135421,Descriptively sufficient
yulyadew123,Video Creator,8,4,2,Rabu,Malam,21.0,0.4656892193379668,Insufficient observations
