scope,hour_local,n_comments,n_accounts,n_unique_videos,comment_share_within_scope
All Dataset,0,731,664,54,2.163
All Dataset,1,403,382,50,1.193
All Dataset,2,292,273,42,0.864
All Dataset,3,241,224,42,0.713
All Dataset,4,362,328,49,1.071
All Dataset,5,743,691,53,2.199
All Dataset,6,1106,1030,55,3.273
All Dataset,7,1512,1364,55,4.475
All Dataset,8,1698,1542,55,5.025
All Dataset,9,1693,1484,55,5.011
All Dataset,10,2139,1928,55,6.331
All Dataset,11,2117,1889,53,6.266
All Dataset,12,1958,1785,55,5.795
All Dataset,13,1783,1583,55,5.277
All Dataset,14,1645,1480,55,4.869
All Dataset,15,1758,1585,55,5.203
All Dataset,16,1585,1429,55,4.691
All Dataset,17,1910,1664,54,5.653
All Dataset,18,1809,1623,55,5.354
All Dataset,19,1906,1727,55,5.641
All Dataset,20,1931,1742,55,5.715
All Dataset,21,1800,1619,55,5.327
All Dataset,22,1629,1442,55,4.821
All Dataset,23,1037,938,54,3.069
LCN,0,81,69,39,2.859
LCN,1,35,32,20,1.235
LCN,2,25,25,19,0.882
LCN,3,30,27,16,1.059
LCN,4,26,24,16,0.918
LCN,5,56,53,29,1.977
LCN,6,85,78,36,3.0
LCN,7,99,89,38,3.495
LCN,8,148,126,42,5.224
LCN,9,101,90,45,3.565
LCN,10,187,153,52,6.601
LCN,11,161,137,45,5.683
LCN,12,141,124,47,4.977
LCN,13,138,119,47,4.871
LCN,14,106,98,46,3.742
LCN,15,156,145,45,5.507
LCN,16,159,134,48,5.612
LCN,17,195,174,52,6.883
LCN,18,150,141,46,5.295
LCN,19,173,144,48,6.107
LCN,20,176,147,46,6.212
LCN,21,168,137,51,5.93
LCN,22,145,130,49,5.118
LCN,23,92,84,33,3.247
HCC,0,26,17,11,2.737
HCC,1,9,9,4,0.947
HCC,2,5,5,5,0.526
HCC,3,7,7,3,0.737
HCC,4,7,5,2,0.737
HCC,5,29,26,10,3.053
HCC,6,40,35,13,4.211
HCC,7,38,32,11,4.0
HCC,8,75,63,21,7.895
HCC,9,25,24,12,2.632
HCC,10,57,45,21,6.0
HCC,11,46,39,17,4.842
HCC,12,55,44,21,5.789
HCC,13,40,35,11,4.211
HCC,14,21,19,14,2.211
HCC,15,46,41,17,4.842
HCC,16,66,51,16,6.947
HCC,17,86,74,26,9.053
HCC,18,28,27,16,2.947
HCC,19,56,42,15,5.895
HCC,20,63,44,18,6.632
HCC,21,44,38,18,4.632
HCC,22,46,41,20,4.842
HCC,23,35,32,9,3.684
