scope,weekday_number,hour_local,weekday_name_id,n_comments,n_accounts,n_unique_videos
All Dataset,1,0,Senin,102,89,26
All Dataset,1,1,Senin,69,64,19
All Dataset,1,2,Senin,34,34,16
All Dataset,1,3,Senin,23,23,10
All Dataset,1,4,Senin,61,49,18
All Dataset,1,5,Senin,88,85,26
All Dataset,1,6,Senin,141,134,30
All Dataset,1,7,Senin,254,217,31
All Dataset,1,8,Senin,211,197,38
All Dataset,1,9,Senin,202,189,35
All Dataset,1,10,Senin,235,214,39
All Dataset,1,11,Senin,231,199,37
All Dataset,1,12,Senin,198,176,37
All Dataset,1,13,Senin,241,222,41
All Dataset,1,14,Senin,201,188,38
All Dataset,1,15,Senin,203,184,39
All Dataset,1,16,Senin,186,178,37
All Dataset,1,17,Senin,203,179,43
All Dataset,1,18,Senin,185,170,46
All Dataset,1,19,Senin,186,166,40
All Dataset,1,20,Senin,217,203,51
All Dataset,1,21,Senin,194,177,45
All Dataset,1,22,Senin,160,148,44
All Dataset,1,23,Senin,116,109,37
All Dataset,2,0,Selasa,70,67,30
All Dataset,2,1,Selasa,38,37,21
All Dataset,2,2,Selasa,24,23,15
All Dataset,2,3,Selasa,28,23,12
All Dataset,2,4,Selasa,29,27,15
All Dataset,2,5,Selasa,80,75,35
All Dataset,2,6,Selasa,99,96,34
All Dataset,2,7,Selasa,148,131,41
All Dataset,2,8,Selasa,118,113,43
All Dataset,2,9,Selasa,172,145,43
All Dataset,2,10,Selasa,654,627,43
All Dataset,2,11,Selasa,669,639,40
All Dataset,2,12,Selasa,531,516,36
All Dataset,2,13,Selasa,378,346,43
All Dataset,2,14,Selasa,342,299,47
All Dataset,2,15,Selasa,264,234,38
All Dataset,2,16,Selasa,369,338,46
All Dataset,2,17,Selasa,486,462,42
All Dataset,2,18,Selasa,487,447,45
All Dataset,2,19,Selasa,403,388,45
All Dataset,2,20,Selasa,453,415,47
All Dataset,2,21,Selasa,336,315,40
All Dataset,2,22,Selasa,267,256,40
All Dataset,2,23,Selasa,159,148,33
All Dataset,3,0,Rabu,154,141,27
All Dataset,3,1,Rabu,57,54,18
All Dataset,3,2,Rabu,42,38,13
All Dataset,3,3,Rabu,44,40,18
All Dataset,3,4,Rabu,52,47,16
All Dataset,3,5,Rabu,134,131,29
All Dataset,3,6,Rabu,194,192,26
All Dataset,3,7,Rabu,224,207,36
All Dataset,3,8,Rabu,279,256,39
All Dataset,3,9,Rabu,282,251,44
All Dataset,3,10,Rabu,229,218,49
All Dataset,3,11,Rabu,259,238,44
All Dataset,3,12,Rabu,227,205,40
All Dataset,3,13,Rabu,238,215,46
All Dataset,3,14,Rabu,228,203,41
All Dataset,3,15,Rabu,203,181,46
All Dataset,3,16,Rabu,172,169,42
All Dataset,3,17,Rabu,220,212,44
