community_hcc_id,n_pairs,n_community_accounts,n_mass_accounts,n_lcn_edge_pairs,n_pre_lcn_pairs,total_final_weight,mean_final_weight
1,6876,3,2292,0,6876,873.375,0.12701788830715532
103,8895,5,1779,9,8886,1176.642857142857,0.13228137798120934
113,5232,6,872,0,5232,659.25,0.12600344036697247
114,3744,6,624,0,3744,486.0,0.12980769230769232
117,2862,6,477,1,2861,368.5357142857143,0.1287685933912349
132,2552,4,638,0,2552,324.5,0.1271551724137931
134,27985,3,9550,0,27985,3506.375,0.12529480078613542
14,38142,3,12714,0,38142,4850.75,0.12717607886319543
15,6468,6,1078,1,6467,812.5357142857143,0.12562395087905293
150,67908,6,11318,15,67893,8668.732142857143,0.12765406348084382
16,9285,5,1857,0,9285,1182.5,0.12735595045772752
168,1890,5,378,0,1890,238.125,0.1259920634920635
17,12471,11,2724,1,12470,1590.5357142857142,0.12753874703598062
18,9324,6,1554,1,9323,1170.2857142857142,0.1255132683704112
180,4224,4,1056,0,4224,532.5,0.1260653409090909
181,5915,5,1183,0,5915,762.5,0.12890955198647505
182,2154,6,359,1,2153,279.2857142857143,0.12965910598222574
183,9212,7,1316,4,9208,1160.642857142857,0.12599249426214254
191,3850,5,770,0,3850,491.875,0.12775974025974027
2,3924,6,654,2,3922,504.57142857142856,0.12858599097131207
20,20352,3,6784,5,20347,2580.1964285714284,0.12677851948562444
204,1372,4,343,0,1372,180.0,0.13119533527696792
205,3095,5,619,0,3095,406.875,0.13146203554119548
206,3640,5,728,0,3640,460.0,0.12637362637362637
3,1775,5,355,0,1775,225.0,0.1267605633802817
34,25855,3,12912,0,25855,3274.5,0.1266486172887256
42,3055,5,611,0,3055,408.75,0.13379705400981998
45,6144,4,1536,0,6144,796.0,0.12955729166666666
46,4305,7,615,0,4305,546.0,0.12682926829268293
48,7635,5,1527,0,7635,975.0,0.12770137524557956
49,3004,6,630,1,3003,385.5357142857143,0.12834078371694882
5,12384,8,1548,192,12192,1706.375,0.13778867894056848
50,7194,6,1199,2,7192,908.9464285714286,0.12634784939830812
52,8540,5,1708,5,8535,1129.125,0.13221604215456675
54,17029,11,3268,57,16972,2226.3571428571427,0.13073915924934773
60,1759,3,641,0,1759,221.625,0.1259948834565094
63,5998,3,3114,7,5991,787.2857142857143,0.1312580383937503
74,2394,3,798,0,2394,303.0,0.12656641604010024
75,33924,4,8481,0,33924,4251.375,0.1253205695083127
87,18510,5,3702,0,18510,2371.875,0.12814019448946515
90,6056,4,1514,1,6055,760.1607142857143,0.12552191451217212
99,7890,6,1315,0,7890,1010.25,0.12804182509505704
