Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000001,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Mixed,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Mixed,Directed,3.1844082475231685,23.15299158357982,3.1844082475231685,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,139,23.15299158357982,144,144.0,0,0,0,0.0,0.0
E000002,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Negative,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Negative,Directed,4.772148211726555,117.17282974163778,4.772148211726555,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,475,117.17282974163778,476,476.0,0,0,0,0.0,0.0
E000003,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Neutral,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Neutral,Directed,5.545864401673012,255.1759214598611,5.545864401673012,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,1067,255.1759214598611,1078,1078.0,0,0,0,0.0,0.0
E000004,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Positive,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Positive,Directed,4.947106685270941,139.767090656386,4.947106685270941,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,558,139.767090656386,569,569.0,0,0,0,0.0,0.0
E000005,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Mixed,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Mixed,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,3,9,0.0,0.0
E000006,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Negative,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Negative,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,2,6,0.0,0.0
E000007,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Neutral,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Neutral,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,2,5,0.0,0.0
E000008,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Positive,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Positive,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,1,0.0,0.0
E000009,Ambiguous: HCC_103 -> MASS_HCC_103_Ambiguous_Community_Mass_Association_Mixed,HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Mixed,Directed,2.961895957660075,18.33459459958686,2.961895957660075,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,135,18.33459459958686,154,154.0,0,0,0,0.0,0.0
E000010,Ambiguous: HCC_103 -> MASS_HCC_103_Ambiguous_Community_Mass_Association_Negative,HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Negative,Directed,4.0137435358814155,54.35370175060578,4.0137435358814155,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,250,54.35370175060578,257,257.0,0,0,0,0.0,0.0
E000011,Ambiguous: HCC_103 -> MASS_HCC_103_Ambiguous_Community_Mass_Association_Neutral,HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Neutral,Directed,5.254332270290566,190.39364395494425,5.254332270290566,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,941,190.39364395494425,992,992.0,0,0,0,0.0,0.0
E000012,Ambiguous: HCC_103 -> MASS_HCC_103_Ambiguous_Community_Mass_Association_Positive,HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Positive,Directed,4.308175901589152,73.30482593172222,4.308175901589152,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,339,73.30482593172222,345,345.0,0,0,0,0.0,0.0
