Id,Label,node_type,actor_type_primary,n_accounts,n_comments,goal_orientation,target_brand,hcc_id,edge_type,dominant_sentiment,Degree,Weighted_Degree_Raw,Weighted_Degree_Visual
IND_adilana.na,adilana.na,Individual Actor,Individual Actor,1,74.0,Neutral Engagement,Daviena/Davina,,,,3,3.0,2.079442
IND_adiliarizqa,adiliarizqa,Individual Actor,Individual Actor,1,3.0,Neutral Engagement,Daviena/Davina,,,,4,4.0,2.772589
IND_afikarrhnur,afikarrhnur,Individual Actor,Individual Actor,1,68.0,Neutral Engagement,Azarine,,,,5,5.0,3.465736
IND_ansyashine,ansyashine,Individual Actor,Individual Actor,1,11.0,Neutral Engagement,Azarine,,,,4,4.0,2.772589
IND_asabelavvv,asabelavvv,Individual Actor,Individual Actor,1,4.0,Promotional / Supportive,Azarine,,,,4,4.0,2.772589
IND_cellynstore_,cellynstore_,Individual Actor,Individual Actor,1,121.0,Neutral Engagement,The Originote,,,,4,4.0,2.772589
IND_daviena_dvn,daviena_dvn,Individual Actor,Individual Actor,1,0.0,Not Observed from Comments,Daviena/Davina,,,,3,3.0,2.079442
IND_deswitatata2,deswitatata2,Individual Actor,Individual Actor,1,24.0,Neutral Engagement,Maryame,,,,5,6.0,3.871201
IND_dewihanijayanti,dewihanijayanti,Individual Actor,Individual Actor,1,14.0,Mixed Goals,Maryame,,,,9,9.0,6.238325
IND_dicannnns,dicannnns,Individual Actor,Individual Actor,1,188.0,Neutral Engagement,The Originote,,,,3,3.0,2.079442
IND_dr.okypratamaa_kedua,dr.okypratamaa_kedua,Individual Actor,Individual Actor,1,0.0,Not Observed from Comments,Maryame,,,,5,5.0,3.465736
IND_dww.srtk,dww.srtk,Individual Actor,Individual Actor,1,83.0,Neutral Engagement,The Originote,,,,4,4.0,2.772589
IND_faniabsaa,faniabsaa,Individual Actor,Individual Actor,1,1.0,Insufficient Text,Daviena/Davina,,,,4,4.0,2.772589
IND_fvajar_,fvajar_,Individual Actor,Individual Actor,1,35.0,Promotional / Supportive,Azarine,,,,5,5.0,3.465736
IND_glowupyuk34,glowupyuk34,Individual Actor,Individual Actor,1,12.0,Neutral Engagement,The Originote,,,,1,1.0,0.693147
IND_iketiaaa,iketiaaa,Individual Actor,Individual Actor,1,11.0,Promotional / Supportive,Daviena/Davina,,,,4,4.0,2.772589
IND_irnaayu27,irnaayu27,Individual Actor,Individual Actor,1,9.0,Mixed Goals,Daviena/Davina,,,,8,10.0,6.356108
IND_janeabys,janeabys,Individual Actor,Individual Actor,1,3.0,Promotional / Supportive,The Originote,,,,2,2.0,1.386294
IND_jesyjeyn,jesyjeyn,Individual Actor,Individual Actor,1,17.0,Neutral Engagement,Daviena/Davina,,,,2,2.0,1.386294
IND_juliadoang08,juliadoang08,Individual Actor,Individual Actor,1,17.0,Promotional / Supportive,Daviena/Davina,,,,6,6.0,4.158883
IND_lookatmeeh__,lookatmeeh__,Individual Actor,Individual Actor,1,15.0,Neutral Engagement,The Originote,,,,1,1.0,0.693147
IND_maharajasp8,maharajasp8,Individual Actor,Individual Actor,1,10.0,Promotional / Supportive,Daviena/Davina,,,,4,4.0,2.772589
IND_maryame.official,maryame.official,Individual Actor,Individual Actor,1,52.0,Neutral Engagement,Maryame,,,,11,16.0,9.651945
IND_mayhapid2,mayhapid2,Individual Actor,Individual Actor,1,2.0,Insufficient Text,Maryame,,,,10,10.0,6.931472
IND_melvinahusyanti96,melvinahusyanti96,Individual Actor,Individual Actor,1,16.0,Promotional / Supportive,Daviena/Davina,,,,2,2.0,1.386294
IND_mimiaudmua,mimiaudmua,Individual Actor,Individual Actor,1,127.0,Neutral Engagement,Maryame,,,,4,4.0,2.772589
IND_mputrizahro,mputrizahro,Individual Actor,Individual Actor,1,16.0,Mixed Goals,Maryame,,,,3,3.0,2.079442
IND_nabellaolivia,nabellaolivia,Individual Actor,Individual Actor,1,24.0,Neutral Engagement,Daviena/Davina,,,,3,3.0,2.079442
IND_namicwn_,namicwn_,Individual Actor,Individual Actor,1,52.0,Neutral Engagement,The Originote,,,,6,6.0,4.158883
IND_nooraabeautycreator,nooraabeautycreator,Individual Actor,Individual Actor,1,52.0,Neutral Engagement,Maryame,,,,5,5.0,3.465736
IND_notforsheil,notforsheil,Individual Actor,Individual Actor,1,0.0,Not Observed from Comments,Maryame,,,,4,4.0,2.772589
IND_orinagista13,orinagista13,Individual Actor,Individual Actor,1,18.0,Neutral Engagement,Daviena/Davina,,,,6,6.0,4.158883
IND_racunwithdivani,racunwithdivani,Individual Actor,Individual Actor,1,4.0,Critical / Complaint,The Originote,,,,5,5.0,3.465736
IND_rikut02,rikut02,Individual Actor,Individual Actor,1,62.0,Neutral Engagement,Maryame,,,,4,4.0,2.772589
IND_skinby_sindy,skinby_sindy,Individual Actor,Individual Actor,1,67.0,Neutral Engagement,Azarine,,,,5,5.0,3.465736
IND_skincarebyw,skincarebyw,Individual Actor,Individual Actor,1,6.0,Promotional / Supportive,Azarine,,,,5,5.0,3.465736
IND_soufberry,soufberry,Individual Actor,Individual Actor,1,1.0,Insufficient Text,The Originote,,,,4,4.0,2.772589
IND_susiyuliani30,susiyuliani30,Individual Actor,Individual Actor,1,33.0,Neutral Engagement,Maryame,,,,3,3.0,2.079442
IND_theoriginote,theoriginote,Individual Actor,Individual Actor,1,19.0,Neutral Engagement,The Originote,,,,7,9.0,5.545177
IND_thisisalulaa,thisisalulaa,Individual Actor,Individual Actor,1,40.0,Promotional / Supportive,Daviena/Davina,,,,1,1.0,0.693147
IND_tiarach18,tiarach18,Individual Actor,Individual Actor,1,3.0,Promotional / Supportive,The Originote,,,,2,2.0,1.386294
IND_vivianmarguerre,vivianmarguerre,Individual Actor,Individual Actor,1,62.0,Neutral Engagement,Azarine,,,,3,3.0,2.079442
IND_yulyadew123,yulyadew123,Individual Actor,Individual Actor,1,8.0,Neutral Engagement,Daviena/Davina,,,,3,3.0,2.079442
HCC_1,HCC 1,Community Actor,Community Actor,3,21.0,Mixed Goals,Mixed_3plus_Brands,,,,15,549.268833,27.181016
