Source,Target,Type,Weight,community_hcc_id,mass_network_position,pair_is_lcn_edge,interaction_scope,co_conv_weight,co_reply_weight,co_temporal_weight,norm_co_conv,norm_co_reply,norm_co_temporal,final_weight,n_evidence,evidence_combination,co_hashtag,sentiment_attribute_status
beauty_ct61338,MASS_10387ff5c396,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct61338,MASS_1d3a59be5fdd,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,4,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct61338,MASS_6a1b5328fea6,Undirected,0.375,1,LCN Non-HCC,False,PRE_LCN_SINGLE_EVIDENCE,3.0,0.0,0.0,0.375,0.0,0.0,0.375,1,Co-conv only,22,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct61338,MASS_761448f5bf69,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,4,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct61338,MASS_80f7efe22a1b,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,3,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct61338,MASS_c0c48f428632,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,14,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct95316,MASS_10387ff5c396,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct95316,MASS_1d3a59be5fdd,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,4,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct95316,MASS_6a1b5328fea6,Undirected,0.375,1,LCN Non-HCC,False,PRE_LCN_SINGLE_EVIDENCE,3.0,0.0,0.0,0.375,0.0,0.0,0.375,1,Co-conv only,22,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct95316,MASS_761448f5bf69,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,4,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct95316,MASS_80f7efe22a1b,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,3,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct95316,MASS_c0c48f428632,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,14,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowingid_ct92516,MASS_10387ff5c396,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowingid_ct92516,MASS_1d3a59be5fdd,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,4,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowingid_ct92516,MASS_6a1b5328fea6,Undirected,0.375,1,LCN Non-HCC,False,PRE_LCN_SINGLE_EVIDENCE,3.0,0.0,0.0,0.375,0.0,0.0,0.375,1,Co-conv only,22,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowingid_ct92516,MASS_761448f5bf69,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,4,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowingid_ct92516,MASS_80f7efe22a1b,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,3,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowingid_ct92516,MASS_c0c48f428632,Undirected,0.25,1,Outside LCN,False,PRE_LCN_MULTI_EVIDENCE,1.0,0.0,1.0,0.125,0.0,0.125,0.25,2,Co-conv + Co-temporal,14,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ip8477,MASS_4135d42e92d1,Undirected,0.5357142857142857,103,LCN Non-HCC,True,LCN_EDGE,2.0,2.0,0.0,0.25,0.2857142857142857,0.0,0.5357142857142857,2,Co-conv + Co-reply,6,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ip8477,MASS_4f7885702fce,Undirected,0.5,103,LCN Non-HCC,True,LCN_EDGE,4.0,0.0,0.0,0.5,0.0,0.0,0.5,1,Co-conv only,14,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ip8477,MASS_a8bc3a40a328,Undirected,0.375,103,LCN Non-HCC,False,PRE_LCN_SINGLE_EVIDENCE,3.0,0.0,0.0,0.375,0.0,0.0,0.375,1,Co-conv only,7,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
