Id,Label,actor_type_primary,network_position,hcc_id,is_lcn_member,n_comments,dominant_sentiment,account_goal_orientation,target_brand_primary,degree,weighted_degree,sentiment_attribute_status
beauty_ct61338,beauty_ct61338,Community Actor,HCC,1,True,7.0,Negative,Mixed Goals,Mixed_3plus_Brands,2,3.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct7151,beauty_ct7151,Community Actor,HCC,2,True,3.0,Neutral,Neutral Engagement,Maryame,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct8829,beauty_ct8829,Community Actor,HCC,2,True,3.0,Mixed,Insufficient Text,Maryame,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beauty_ct89266,beauty_ct89266,Community Actor,HCC,3,True,3.0,Neutral,Neutral Engagement,Mixed_2_Brands,4,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct10959,beautyaddict_ct10959,Community Actor,HCC,14,True,5.0,Mixed,Mixed Goals,Mixed_3plus_Brands,2,2.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct2062,beautyaddict_ct2062,Community Actor,HCC,15,True,3.0,Neutral,Neutral Engagement,The Originote,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct2423,beautyaddict_ct2423,Community Actor,HCC,16,True,3.0,Neutral,Neutral Engagement,Daviena,4,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct4776,beautyaddict_ct4776,Community Actor,HCC,15,True,3.0,Neutral,Neutral Engagement,The Originote,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct75025,beautyaddict_ct75025,Community Actor,HCC,17,True,3.0,Negative,Critical / Complaint,Mixed_3plus_Brands,6,4.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct7716,beautyaddict_ct7716,Community Actor,HCC,18,True,3.0,Negative,Insufficient Text,The Originote,6,4.285714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct8242,beautyaddict_ct8242,Community Actor,HCC,2,True,3.0,Negative,Critical / Complaint,Maryame,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_ct95316,beautyaddict_ct95316,Community Actor,HCC,1,True,7.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,2,3.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyaddict_rr41856,beautyaddict_rr41856,Community Actor,HCC,34,True,6.0,Mixed,Mixed Goals,Daviena,2,1.6071428571428572,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyfess_r3c05m00x6415,beautyfess_r3c05m00x6415,Community Actor,HCC,42,True,3.0,Positive,Promotional / Supportive,Daviena,4,4.142857142857142,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyfess_r3c05m01x4347,beautyfess_r3c05m01x4347,Community Actor,HCC,42,True,5.0,Positive,Promotional / Supportive,Daviena,4,3.2857142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyfess_r3c05m02x6049,beautyfess_r3c05m02x6049,Community Actor,HCC,42,True,5.0,Positive,Promotional / Supportive,Daviena,4,3.2857142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyfess_r3c05m03x8357,beautyfess_r3c05m03x8357,Community Actor,HCC,42,True,5.0,Positive,Promotional / Supportive,Daviena,4,3.2857142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyfess_r3c05m04x3629,beautyfess_r3c05m04x3629,Community Actor,HCC,42,True,5.0,Positive,Promotional / Supportive,Daviena,4,3.2857142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct13413,beautyvibe_ct13413,Community Actor,HCC,45,True,6.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,3,4.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct18973,beautyvibe_ct18973,Community Actor,HCC,46,True,3.0,Neutral,Neutral Engagement,The Originote,6,4.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct2527,beautyvibe_ct2527,Community Actor,HCC,2,True,3.0,Mixed,Mixed Goals,Maryame,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct53672,beautyvibe_ct53672,Community Actor,HCC,48,True,6.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,4,6.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct5449,beautyvibe_ct5449,Community Actor,HCC,17,True,3.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,3,2.25,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct6553,beautyvibe_ct6553,Community Actor,HCC,49,True,3.0,Neutral,Insufficient Text,Mixed_3plus_Brands,5,3.5357142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct7323,beautyvibe_ct7323,Community Actor,HCC,50,True,3.0,Mixed,Mixed Goals,Maryame,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct78952,beautyvibe_ct78952,Community Actor,HCC,52,True,8.0,Mixed,Mixed Goals,Daviena,5,9.875,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ct9600,beautyvibe_ct9600,Community Actor,HCC,17,True,3.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,6,4.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_ip8477,beautyvibe_ip8477,Community Actor,HCC,103,True,6.0,Neutral,Neutral Engagement,Daviena,6,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
beautyvibe_rp82732,beautyvibe_rp82732,Community Actor,HCC,54,True,5.0,Neutral,Neutral Engagement,Azarine,1,1.4642857142857144,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
bestieku_ct63653,bestieku_ct63653,Community Actor,HCC,48,True,6.0,Negative,Critical / Complaint,Mixed_3plus_Brands,4,6.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
bestieku_ct63780,bestieku_ct63780,Community Actor,HCC,46,True,3.0,Negative,Critical / Complaint,The Originote,6,4.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
bestieku_ct70500,bestieku_ct70500,Community Actor,HCC,74,True,4.0,Mixed,Insufficient Text,Daviena,2,2.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
bestieku_ct74574,bestieku_ct74574,Community Actor,HCC,75,True,4.0,Neutral,Neutral Engagement,Mixed_2_Brands,3,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
bestieku_rr99428,bestieku_rr99428,Community Actor,HCC,87,True,5.0,Mixed,Polarized / Contested,Mixed_2_Brands,4,3.2142857142857144,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantik_ct3314,cantik_ct3314,Community Actor,HCC,50,True,3.0,Neutral,Neutral Engagement,Maryame,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantik_ct3821,cantik_ct3821,Community Actor,HCC,49,True,3.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,4,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantik_ct6414,cantik_ct6414,Community Actor,HCC,90,True,3.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,3,2.25,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantik_ct9210,cantik_ct9210,Community Actor,HCC,17,True,7.0,Mixed,Mixed Goals,Mixed_3plus_Brands,4,4.125,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantik_ct95823,cantik_ct95823,Community Actor,HCC,14,True,5.0,Positive,Promotional / Supportive,Mixed_3plus_Brands,2,2.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantik_ct99107,cantik_ct99107,Community Actor,HCC,3,True,3.0,Neutral,Neutral Engagement,Mixed_2_Brands,4,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantik_ip9501,cantik_ip9501,Community Actor,HCC,150,True,8.0,Neutral,Mixed Goals,Maryame,8,8.660714285714285,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m00x8166,Community Actor,HCC,99,True,3.0,Positive,Promotional / Supportive,The Originote,5,4.553571428571429,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m01x3833,Community Actor,HCC,99,True,5.0,Positive,Promotional / Supportive,The Originote,5,3.4107142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m02x7276,Community Actor,HCC,99,True,5.0,Positive,Promotional / Supportive,The Originote,5,3.4107142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantiknyata_r3c06m03x7677,cantiknyata_r3c06m03x7677,Community Actor,HCC,99,True,5.0,Positive,Promotional / Supportive,The Originote,5,3.4107142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantiknyata_r3c06m04x5441,cantiknyata_r3c06m04x5441,Community Actor,HCC,99,True,5.0,Positive,Promotional / Supportive,The Originote,5,3.4107142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
cantiknyata_r3c06m05x2517,cantiknyata_r3c06m05x2517,Community Actor,HCC,99,True,5.0,Positive,Promotional / Supportive,The Originote,5,3.4107142857142856,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
dearskin_ct1243,dearskin_ct1243,Community Actor,HCC,49,True,3.0,Mixed,Insufficient Text,Mixed_3plus_Brands,4,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
dearskin_ct1358,dearskin_ct1358,Community Actor,HCC,16,True,3.0,Positive,Promotional / Supportive,Daviena,4,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
dearskin_ct58033,dearskin_ct58033,Community Actor,HCC,20,True,8.0,Negative,Critical / Complaint,Daviena,4,5.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
dearskin_ct6747,dearskin_ct6747,Community Actor,HCC,50,True,3.0,Negative,Critical / Complaint,Maryame,6,4.285714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowcheck_r3c10m00x7594,glowcheck_r3c10m00x7594,Community Actor,HCC,113,True,3.0,Positive,Promotional / Supportive,Maryame,5,5.178571428571428,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowcheck_r3c10m01x2927,glowcheck_r3c10m01x2927,Community Actor,HCC,113,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowcheck_r3c10m02x8990,glowcheck_r3c10m02x8990,Community Actor,HCC,113,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowcheck_r3c10m03x7520,glowcheck_r3c10m03x7520,Community Actor,HCC,113,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowcheck_r3c10m04x9521,glowcheck_r3c10m04x9521,Community Actor,HCC,113,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowcheck_r3c10m05x2485,glowcheck_r3c10m05x2485,Community Actor,HCC,113,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowdiary_r3c03m00x2631,glowdiary_r3c03m00x2631,Community Actor,HCC,114,True,3.0,Positive,Promotional / Supportive,Maryame,5,5.178571428571428,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowdiary_r3c03m01x2588,glowdiary_r3c03m01x2588,Community Actor,HCC,114,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowdiary_r3c03m02x1592,glowdiary_r3c03m02x1592,Community Actor,HCC,114,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowdiary_r3c03m03x1823,glowdiary_r3c03m03x1823,Community Actor,HCC,114,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowdiary_r3c03m04x6886,glowdiary_r3c03m04x6886,Community Actor,HCC,114,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowdiary_r3c03m05x9471,glowdiary_r3c03m05x9471,Community Actor,HCC,114,True,5.0,Positive,Promotional / Supportive,Maryame,5,4.035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_cp9145,glowhunter_cp9145,Community Actor,HCC,34,True,3.0,Negative,Critical / Complaint,Daviena,1,0.8035714285714286,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ct152,glowhunter_ct152,Community Actor,HCC,117,True,3.0,Neutral,Insufficient Text,The Originote,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ct43630,glowhunter_ct43630,Community Actor,HCC,48,True,6.0,Neutral,Neutral Engagement,Mixed_3plus_Brands,4,6.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ct4367,glowhunter_ct4367,Community Actor,HCC,18,True,3.0,Negative,Critical / Complaint,The Originote,5,3.75,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ct64974,glowhunter_ct64974,Community Actor,HCC,3,True,3.0,Neutral,Neutral Engagement,Mixed_2_Brands,4,3.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ct68859,glowhunter_ct68859,Community Actor,HCC,46,True,3.0,Negative,Critical / Complaint,The Originote,6,4.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ip1923,glowhunter_ip1923,Community Actor,HCC,150,True,8.0,Neutral,Mixed Goals,Maryame,7,8.125,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ip2869,glowhunter_ip2869,Community Actor,HCC,54,True,7.0,Neutral,Neutral Engagement,Azarine,14,10.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ip4395,glowhunter_ip4395,Community Actor,HCC,54,True,7.0,Neutral,Neutral Engagement,Azarine,14,10.5,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ip7849,glowhunter_ip7849,Community Actor,HCC,54,True,7.0,Neutral,Neutral Engagement,Azarine,15,11.035714285714285,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
glowhunter_ip8756,glowhunter_ip8756,Community Actor,HCC,150,True,8.0,Neutral,Neutral Engagement,Maryame,7,8.0,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
