id,label,degree,weighted_degree,betweenness,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,dominant_sentiment,positive_ratio,neutral_ratio,negative_ratio,goal_orientation,goal_confidence,avg_sentiment_confidence,actor_type_primary,individual_subtype,community_centrality_level,community_network_descriptor,target_brand_primary,target_scope,account_goal_orientation,hcc_goal_orientation
reviewjujur_ip2228,reviewjujur_ip2228,31,19.25,0.0005773209503339,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,High,Structurally central,The Originote,Single-brand Context,Neutral Engagement,Neutral Engagement
skinlover_ip4667,skinlover_ip4667,31,19.125,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,High,Structurally central,The Originote,Single-brand Context,Neutral Engagement,Neutral Engagement
skinbestie_ip1027,skinbestie_ip1027,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,Low,Peripheral,The Originote,Single-brand Context,Neutral Engagement,Neutral Engagement
skinclub_ip8942,skinclub_ip8942,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,Low,Peripheral,The Originote,Single-brand Context,Neutral Engagement,Neutral Engagement
kulitglowing_ip9832,kulitglowing_ip9832,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,Low,Peripheral,The Originote,Single-brand Context,Neutral Engagement,Neutral Engagement
skincare_ip7443,skincare_ip7443,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,Low,Peripheral,The Originote,Single-brand Context,Mixed Goals,Neutral Engagement
glowhunter_ip9119,glowhunter_ip9119,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,Low,Peripheral,The Originote,Single-brand Context,Mixed Goals,Neutral Engagement
kulitglowing_ip4767,kulitglowing_ip4767,31,19.0,0.0005931718901972,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.21875,0.640625,0.140625,Neutral Engagement,Medium,0.8903223872184753,Community Actor,,Low,Peripheral,The Originote,Single-brand Context,Mixed Goals,Neutral Engagement
skinclub_ip8582,skinclub_ip8582,16,12.5,0.0001386957238039,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,High,Structurally central,Azarine,Single-brand Context,Mixed Goals,Mixed Goals
racun_ip2774,racun_ip2774,15,11.428571428571429,9.708700666275866e-05,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,High,Structurally central,Azarine,Single-brand Context,Mixed Goals,Mixed Goals
skincare_ip2565,skincare_ip2565,15,11.035714285714286,9.708700666275866e-05,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,High,Structurally central,Azarine,Single-brand Context,Mixed Goals,Mixed Goals
glowhunter_ip7849,glowhunter_ip7849,15,11.035714285714285,9.986092113883748e-05,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,High,Structurally central,Azarine,Single-brand Context,Mixed Goals,Mixed Goals
reviewjujur_ip9284,reviewjujur_ip9284,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,Medium,Intermediate,Azarine,Single-brand Context,Mixed Goals,Mixed Goals
glowhunter_ip4395,glowhunter_ip4395,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,Medium,Intermediate,Azarine,Single-brand Context,Neutral Engagement,Mixed Goals
skinlover_ip4018,skinlover_ip4018,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,Medium,Intermediate,Azarine,Single-brand Context,Neutral Engagement,Mixed Goals
glowhunter_ip2869,glowhunter_ip2869,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,Medium,Intermediate,Azarine,Single-brand Context,Neutral Engagement,Mixed Goals
beautyvibe_ct78952,beautyvibe_ct78952,5,9.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.35,0.45,0.2,Mixed Goals,Low,0.8840492859482765,Community Actor,,Uniform / Insufficient variation,Uniform / Insufficient variation,Daviena,Single-brand Context,Mixed Goals,Mixed Goals
reviewjujur_ct39243,reviewjujur_ct39243,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.35,0.45,0.2,Mixed Goals,Low,0.8840492859482765,Community Actor,,Uniform / Insufficient variation,Uniform / Insufficient variation,Daviena,Single-brand Context,Neutral Engagement,Mixed Goals
reviewjujur_ct55350,reviewjujur_ct55350,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.35,0.45,0.2,Mixed Goals,Low,0.8840492859482765,Community Actor,,Uniform / Insufficient variation,Uniform / Insufficient variation,Daviena,Single-brand Context,Mixed Goals,Mixed Goals
reviewjujur_ct97003,reviewjujur_ct97003,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.35,0.45,0.2,Mixed Goals,Low,0.8840492859482765,Community Actor,,Uniform / Insufficient variation,Uniform / Insufficient variation,Daviena,Single-brand Context,Mixed Goals,Mixed Goals
kulitcerah_ct29113,kulitcerah_ct29113,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.35,0.45,0.2,Mixed Goals,Low,0.8840492859482765,Community Actor,,Uniform / Insufficient variation,Uniform / Insufficient variation,Daviena,Single-brand Context,Mixed Goals,Mixed Goals
kulitglowing_ip7028,kulitglowing_ip7028,14,8.875,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Mixed Goals,Low,0.870596366154181,Community Actor,,Low,Peripheral,Azarine,Single-brand Context,Neutral Engagement,Mixed Goals
cantik_ip9501,cantik_ip9501,8,8.660714285714285,0.00042440891484,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Mixed,0.375,0.3958333333333333,0.2291666666666666,Mixed Goals,Low,0.8781755982587734,Community Actor,,High,Structurally central,Maryame,Single-brand Context,Mixed Goals,Mixed Goals
kulitglowing_ip1790,kulitglowing_ip1790,8,8.535714285714285,0.00042440891484,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Mixed,0.375,0.3958333333333333,0.2291666666666666,Mixed Goals,Low,0.8781755982587734,Community Actor,,High,Structurally central,Maryame,Single-brand Context,Promotional / Supportive,Mixed Goals
kulitglowing_ip334,kulitglowing_ip334,8,8.535714285714285,0.0001747566119929,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Mixed,0.375,0.3958333333333333,0.2291666666666666,Mixed Goals,Low,0.8781755982587734,Community Actor,,High,Structurally central,Maryame,Single-brand Context,Mixed Goals,Mixed Goals
glowhunter_ip1923,glowhunter_ip1923,7,8.125,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Mixed,0.375,0.3958333333333333,0.2291666666666666,Mixed Goals,Low,0.8781755982587734,Community Actor,,Medium,Intermediate,Maryame,Single-brand Context,Mixed Goals,Mixed Goals
