Source,Target,Type,Weight,co_conv_weight,co_reply_weight,co_temporal_weight,norm_co_conv,norm_co_reply,norm_co_temporal,final_weight,n_evidence,co_hashtag,source_actor_type,target_actor_type,actor_type_pair,source_network_position,target_network_position,network_position_pair,source_is_hcc,target_is_hcc
beauty_ct15443,beauty_ct22809,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct15443,beauty_ct94362,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct15443,beautyaddict_ct95803,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct15443,racun_ct45713,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct15443,skinlover_ct30407,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct15443,skintok_ct75378,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct22809,beauty_ct94362,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct22809,beautyaddict_ct95803,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct22809,racun_ct45713,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct22809,skinlover_ct30407,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct22809,skintok_ct75378,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct3636,beauty_rr5404,Undirected,0.5357142857142857,2,2.0,0.0,0.25,0.2857142857142857,0.0,0.5357142857142857,2,4,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct3636,cantik_rr7263,Undirected,0.5357142857142857,2,2.0,0.0,0.25,0.2857142857142857,0.0,0.5357142857142857,2,4,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct61338,beautyaddict_ct95316,Undirected,1.75,7,0.0,7.0,0.875,0.0,0.875,1.75,2,31,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct61338,glowingid_ct92516,Undirected,1.75,7,0.0,7.0,0.875,0.0,0.875,1.75,2,31,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct7151,beauty_ct8829,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct7151,beautyaddict_ct8242,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct7151,beautyvibe_ct2527,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct7151,skincare_ct7727,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct7151,skinclub_ct2318,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct8829,beautyaddict_ct8242,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct8829,beautyvibe_ct2527,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct8829,skincare_ct7727,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct8829,skinclub_ct2318,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,6,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct89266,cantik_ct99107,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct89266,glowhunter_ct64974,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct89266,glowingid_ct74353,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct89266,skinlover_ct27853,Undirected,0.75,3,0.0,3.0,0.375,0.0,0.375,0.75,2,12,Community Actor,Community Actor,Community–Community,HCC,HCC,HCC–HCC,True,True
beauty_ct94362,beautyaddict_ct95803,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct94362,racun_ct45713,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct94362,skinlover_ct30407,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
beauty_ct94362,skintok_ct75378,Undirected,1.25,5,0.0,5.0,0.625,0.0,0.625,1.25,2,14,Mass Actor,Mass Actor,Mass–Mass,LCN Non-HCC,LCN Non-HCC,LCN Non-HCC–LCN Non-HCC,False,False
