Id,Label,actor_type_primary,network_position,is_hcc_member,community,individual_subtype,is_video_creator,degree,weighted_degree,betweenness,n_comments,target_brand_primary,target_brand_label,target_scope,dominant_sentiment,account_goal_orientation,account_goal_confidence,exposure_level,hcc_association_status,strong_association_score,contextual_association_score,brand_label_auto,is_lcn_member,is_verified_registry_actor
reviewjujur_ip2228,reviewjujur_ip2228,Community Actor,HCC,True,5,,False,31,19.25,0.0005773209503339,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False
skinlover_ip4667,skinlover_ip4667,Community Actor,HCC,True,5,,False,31,19.125,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False
skinbestie_ip1027,skinbestie_ip1027,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False
skinclub_ip8942,skinclub_ip8942,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False
kulitglowing_ip9832,kulitglowing_ip9832,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False
skincare_ip7443,skincare_ip7443,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False
glowhunter_ip9119,glowhunter_ip9119,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False
kulitglowing_ip4767,kulitglowing_ip4767,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,The Originote,True,False
reviewjujur_ip204,reviewjujur_ip204,Mass Actor,LCN Non-HCC,False,5,,False,27,17.410714285714285,0.0007443222315595,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False
glowhunter_ip6597,glowhunter_ip6597,Mass Actor,LCN Non-HCC,False,5,,False,27,17.410714285714285,0.0007470961460355,8.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Positive,Promotional / Supportive,Medium,Temporal Association,Unique Temporal Association,2.0,26.0,Non-HCC,True,False
beautyvibe_ip3082,beautyvibe_ip3082,Mass Actor,LCN Non-HCC,False,5,,False,27,17.410714285714285,0.0013157486136317,10.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,High,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,26.0,Non-HCC,True,False
racun_ip3473,racun_ip3473,Mass Actor,LCN Non-HCC,False,5,,False,25,16.94642857142857,0.0072539069599233,12.0,Azarine,Azarine,Associated HCC Brand Context,Neutral,Neutral Engagement,High,Temporal Association,Unique Temporal Association,2.0,41.0,Non-HCC,True,False
reviewjujur_ip6999,reviewjujur_ip6999,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Positive,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False
skinlover_ip8042,skinlover_ip8042,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False
kulitglowing_ip9395,kulitglowing_ip9395,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False
beautyvibe_ip1727,beautyvibe_ip1727,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False
cantik_ip3598,cantik_ip3598,Mass Actor,LCN Non-HCC,False,5,,False,21,14.5,0.0,8.0,The Originote,The Originote,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,29.0,Non-HCC,True,False
skinbestie_ip5105,skinbestie_ip5105,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,Mixed_2_Brands,Mixed_2_Brands,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,29.0,Non-HCC,True,False
racun_ip6205,racun_ip6205,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False
