source,target,edge_type,is_ambiguous_association,weight,raw_account_count,fractional_account_weight,shared_video_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,23.486747622227163,141,23.486747622227163,0.0,0,0,0,0.0,0.0
HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,116.08949640830446,471,116.08949640830446,0.0,0,0,0,0.0,0.0
HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,255.66897701541663,1069,255.66897701541663,0.0,0,0,0,0.0,0.0
HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,140.0236123955164,558,140.0236123955164,0.0,0,0,0,0.0,0.0
HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,2.0,2,2.0,0.0,0,3,9,0.0,0.0
HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,3,0.0,0.0
HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,3.0,3,3.0,0.0,0,3,8,0.0,0.0
HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,1,0.0,0.0
HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,18.27209459958686,134,18.27209459958686,0.0,0,0,0,0.0,0.0
HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,51.33703508393911,237,51.33703508393911,0.0,0,0,0,0.0,0.0
HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,193.07281062161093,953,193.07281062161093,0.0,0,0,0,0.0,0.0
HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,73.70482593172221,341,73.70482593172221,0.0,0,0,0,0.0,0.0
HCC_103,MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,5.0,5,5.0,0.0,0,5,5,0.0,0.0
HCC_103,MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,10.0,10,10.0,0.0,0,11,11,0.0,0.0
HCC_103,MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,36.0,36,36.0,0.0,0,38,38,0.0,0.0
