Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000001,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Negative,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Negative,Directed,67.41457153957154,67.41457153957154,4.225585836144203,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,275,67.41457153957154,278,278.0,0,0,0,0.0,0.0
E000002,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Neutral,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Neutral,Directed,435.7490896805293,435.7490896805293,6.079358864708683,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,1738,435.7490896805293,1755,1755.0,0,0,0,0.0,0.0
E000003,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_No_text,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_No_text,Directed,17.333333333333332,17.333333333333332,2.908720896564361,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,61,17.333333333333332,61,61.0,0,0,0,0.0,0.0
E000004,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Positive,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Positive,Directed,28.894083694083694,28.894083694083694,3.3976605910547493,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,108,28.894083694083694,109,109.0,0,0,0,0.0,0.0
E000005,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Negative,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Negative,Directed,1.0,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,2,6,0.0,0.0
E000006,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Neutral,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Neutral,Directed,5.0,5.0,1.791759469228055,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,5,5.0,5,5.0,0,5,12,0.0,0.0
E000007,Ambiguous: HCC_112 -> MASS_HCC_112_Ambiguous_Community_Mass_Association_Negative,HCC_112,MASS_HCC_112_Ambiguous_Community_Mass_Association_Negative,Directed,42.662623487623485,42.662623487623485,3.7764924383596634,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,197,42.662623487623485,198,198.0,0,0,0,0.0,0.0
E000008,Ambiguous: HCC_112 -> MASS_HCC_112_Ambiguous_Community_Mass_Association_Neutral,HCC_112,MASS_HCC_112_Ambiguous_Community_Mass_Association_Neutral,Directed,122.1399928563009,122.1399928563009,4.813321861470238,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,540,122.1399928563009,542,542.0,0,0,0,0.0,0.0
E000009,Ambiguous: HCC_112 -> MASS_HCC_112_Ambiguous_Community_Mass_Association_No_text,HCC_112,MASS_HCC_112_Ambiguous_Community_Mass_Association_No_text,Directed,8.6,8.6,2.2617630984737906,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,35,8.6,35,35.0,0,0,0,0.0,0.0
E000010,Ambiguous: HCC_112 -> MASS_HCC_112_Ambiguous_Community_Mass_Association_Positive,HCC_112,MASS_HCC_112_Ambiguous_Community_Mass_Association_Positive,Directed,11.160714285714286,11.160714285714286,2.4982106154143633,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,47,11.160714285714286,48,48.0,0,0,0,0.0,0.0
E000011,Observed: HCC_112 -> MASS_HCC_112_Observed_Community_Mass_Temporal_Association_Negative,HCC_112,MASS_HCC_112_Observed_Community_Mass_Temporal_Association_Negative,Directed,1.0,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,1,0.0,0.0
