hcc_id,community_size,n_accounts_with_comments,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,goal_orientation,goal_confidence,avg_sentiment_confidence,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,mean_weighted_degree,mean_betweenness,total_hcc_members,community_actor_accounts,individual_hcc_accounts,hcc_mean_degree,hcc_mean_weighted_degree,hcc_mean_betweenness,n_mass_unique_associated,mass_fractional_context_weight,n_mass_many_to_many_rows,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,total_relevant_mass_actors,n_alignment_evaluable,n_aligned,n_not_aligned,n_mixed_or_inconclusive,n_insufficient,n_ambiguous,alignment_coverage,alignment_rate,alignment_reliability,Unique Direct Association,Unique Temporal Association,Single Shared-Video Context,Multiple / Ambiguous HCC,No HCC Association
1,3,3,21,21,6,12,3,0.2857142857142857,0.5714285714285714,0.14285714285714285,Neutral,Mixed Goals,Low,0.9143156976926894,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low,3.5,0.0,3,3,0,2.0,3.5,0.0,7.0,545.0236958451429,2295,2324,0,8,21,7,0,0,0,0,7,0,0.0,,Very Low Coverage,0.0,7.0,0.0,0.0,0.0
2,6,6,18,18,5,9,4,0.2777777777777778,0.5,0.2222222222222222,Neutral,Mixed Goals,Low,0.9184362639983495,Maryame,Maryame,Maryame,High,Low,3.9285714285714284,1.0171019745622336e-05,6,6,0,5.333333333333333,3.9285714285714284,1.0171019745622336e-05,5.0,129.93624017302002,656,669,4,6,25,5,1,1,0,0,4,0,0.2,1.0,Very Low Coverage,2.0,3.0,0.0,0.0,0.0
3,5,5,15,15,2,10,3,0.13333333333333333,0.6666666666666666,0.2,Neutral,Neutral Engagement,Medium,0.917608912785848,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low,3.0,0.0,5,5,0,4.0,3.0,0.0,5.0,69.76421430220965,357,355,0,6,27,5,2,1,1,0,3,0,0.4,0.5,Very Low Coverage,0.0,5.0,0.0,0.0,0.0
5,8,8,64,64,14,41,9,0.21875,0.640625,0.140625,Neutral,Neutral Engagement,Medium,0.8903223872184753,The Originote,The Originote,The Originote,High,Low,19.046875,0.0005911905227142876,8,8,0,31.0,19.046875,0.0005911905227142876,95.0,405.3579136225495,1551,1705,0,18,22,95,4,1,3,1,13,0,0.042105263157894736,0.25,Very Low Coverage,0.0,18.0,77.0,0.0,0.0
14,3,3,15,15,6,7,2,0.4,0.4666666666666667,0.13333333333333333,Mixed,Mixed Goals,Low,0.9289426565170288,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,2.5,0.0,3,3,0,2.0,2.5,0.0,98.0,2968.1884431177696,12715,12749,0,456,1297,98,0,0,0,2,96,0,0.0,,Very Low Coverage,0.0,98.0,0.0,0.0,0.0
15,6,6,18,18,3,11,4,0.16666666666666666,0.6111111111111112,0.2222222222222222,Neutral,Neutral Engagement,Medium,0.9728925625483195,The Originote,The Originote,The Originote,High,Low,3.839285714285714,3.6985526347717584e-06,6,6,0,5.166666666666667,3.839285714285714,3.6985526347717584e-06,4.0,181.3472205230793,1079,1081,2,3,12,4,0,0,0,0,4,0,0.0,,Very Low Coverage,1.0,3.0,0.0,0.0,0.0
16,5,5,15,15,4,8,3,0.26666666666666666,0.5333333333333333,0.2,Neutral,Mixed Goals,Low,0.8452686627705892,Daviena,Daviena,Daviena + The Originote,Medium,Low,3.0,0.0,5,5,0,4.0,3.0,0.0,20.0,403.97505827849477,1858,1885,0,24,109,20,2,2,0,1,17,0,0.1,1.0,Very Low Coverage,0.0,20.0,0.0,0.0,0.0
17,11,11,44,44,10,24,10,0.22727272727272727,0.5454545454545454,0.22727272727272727,Neutral,Mixed Goals,Low,0.918039699847048,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,4.071428571428571,2.5721752414539995e-05,11,11,0,5.181818181818182,4.071428571428571,2.5721752414539995e-05,8.0,605.1063831483797,2729,2825,2,7,21,8,2,0,2,0,6,0,0.25,0.0,Very Low Coverage,1.0,7.0,0.0,0.0,0.0
18,6,6,18,18,8,7,3,0.4444444444444444,0.3888888888888889,0.16666666666666666,Mixed,Mixed Goals,Low,0.9088968502150642,The Originote,The Originote,The Originote,High,Low,3.839285714285714,3.2362335554252888e-06,6,6,0,5.166666666666667,3.839285714285714,3.2362335554252888e-06,3.0,391.96338713510505,1556,1558,2,2,5,3,0,0,0,0,3,0,0.0,,Very Low Coverage,1.0,2.0,0.0,0.0,0.0
20,3,3,24,24,9,9,6,0.375,0.375,0.25,Mixed,Mixed Goals,Low,0.8829223761955897,Daviena,Daviena,Daviena + Maryame,Medium,Low,5.023809523809524,3.236233555425289e-05,3,3,0,3.6666666666666665,5.023809523809524,3.236233555425289e-05,1321.0,2871.643711162643,6786,6863,4,28,77,1321,0,0,0,4,24,0,0.0,,Very Low Coverage,1.0,27.0,1293.0,0.0,0.0
