hcc_id,total_relevant_mass_actors,n_alignment_evaluable,n_aligned,n_not_aligned,n_mixed_or_inconclusive,n_insufficient,n_ambiguous,alignment_coverage,alignment_rate,alignment_reliability
1,6,0,0,0,0,6,0,0.0,,Very Low Coverage
112,3,0,0,0,0,3,0,0.0,,Very Low Coverage
113,0,0,0,0,0,0,0,0.0,,Very Low Coverage
116,3,0,0,0,1,2,0,0.0,,Very Low Coverage
130,4,0,0,0,1,3,0,0.0,,Very Low Coverage
133,6,0,0,0,0,6,0,0.0,,Very Low Coverage
14,97,1,0,1,0,96,0,0.010309278350515464,0.0,Very Low Coverage
15,3,0,0,0,0,3,0,0.0,,Very Low Coverage
150,720,16,14,2,0,704,0,0.022222222222222223,0.875,Very Low Coverage
16,20,3,3,0,0,17,0,0.15,1.0,Very Low Coverage
169,0,0,0,0,0,0,0,0.0,,Very Low Coverage
17,7,2,1,1,0,5,0,0.2857142857142857,0.5,Very Low Coverage
18,2,0,0,0,0,2,0,0.0,,Very Low Coverage
181,5,1,0,1,0,4,0,0.2,0.0,Very Low Coverage
182,0,0,0,0,0,0,0,0.0,,Very Low Coverage
183,1,0,0,0,0,1,0,0.0,,Very Low Coverage
184,4,0,0,0,0,4,0,0.0,,Very Low Coverage
193,0,0,0,0,0,0,0,0.0,,Very Low Coverage
2,3,1,0,1,0,2,0,0.3333333333333333,0.0,Very Low Coverage
20,1320,2,1,1,0,25,0,0.0015151515151515152,0.5,Very Low Coverage
204,0,0,0,0,0,0,0,0.0,,Very Low Coverage
205,1,0,0,0,0,1,0,0.0,,Very Low Coverage
206,0,0,0,0,0,0,0,0.0,,Very Low Coverage
3,2,1,1,0,0,1,0,0.5,1.0,Very Low Coverage
34,285,7,4,3,0,278,0,0.02456140350877193,0.5714285714285714,Very Low Coverage
40,4,0,0,0,0,4,0,0.0,,Very Low Coverage
43,6,0,0,0,3,3,0,0.0,,Very Low Coverage
44,28,0,0,0,1,1,0,0.0,,Very Low Coverage
46,5,1,1,0,0,4,0,0.2,1.0,Very Low Coverage
47,3,0,0,0,0,3,0,0.0,,Very Low Coverage
48,9,0,0,0,0,9,0,0.0,,Very Low Coverage
5,85,2,2,0,0,6,0,0.023529411764705882,1.0,Very Low Coverage
50,9,0,0,0,0,9,0,0.0,,Very Low Coverage
52,54,7,6,1,0,47,0,0.12962962962962962,0.8571428571428571,Very Low Coverage
53,64,0,0,0,6,58,0,0.0,,Very Low Coverage
58,0,0,0,0,0,0,0,0.0,,Very Low Coverage
62,9,0,0,0,1,8,0,0.0,,Very Low Coverage
73,3,0,0,0,1,2,0,0.0,,Very Low Coverage
74,55,2,2,0,0,53,0,0.03636363636363636,1.0,Very Low Coverage
86,92,0,0,0,9,83,0,0.0,,Very Low Coverage
90,7,0,0,0,0,7,0,0.0,,Very Low Coverage
99,1,0,0,0,0,1,0,0.0,,Very Low Coverage
