hcc_id,n_mass_unique_associated,mass_fractional_context_weight,n_mass_many_to_many_rows,Unique Direct Association,Unique Temporal Association,Single Shared-Video Context,Multiple / Ambiguous HCC,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count
1,6.0,557.8085899025295,2223,0.0,6.0,0.0,0.0,2242,0,7,18
112,3.0,189.31971591102396,847,0.0,3.0,0.0,0.0,846,0,4,34
113,0.0,148.29148202588604,602,0.0,0.0,0.0,0.0,615,0,0,0
116,3.0,83.3381036576083,434,0.0,3.0,0.0,0.0,439,0,3,9
130,4.0,184.17790778622822,612,0.0,4.0,0.0,0.0,612,0,4,11
133,6.0,1873.0672525848765,9486,0.0,6.0,0.0,0.0,9504,0,8,8
14,97.0,3051.9185682154102,12658,0.0,97.0,0.0,0.0,12678,0,455,1294
15,3.0,186.15201763063217,1040,0.0,3.0,0.0,0.0,1040,0,3,12
150,720.0,2431.7405769153447,11239,0.0,720.0,0.0,0.0,11331,0,887,1349
16,20.0,413.9133300110622,1811,0.0,20.0,0.0,0.0,1837,0,24,109
169,0.0,54.66444797634426,336,0.0,0.0,0.0,0.0,333,0,0,0
17,7.0,631.7715478724922,2646,0.0,7.0,0.0,0.0,2714,0,7,21
18,2.0,423.33874566867604,1524,0.0,2.0,0.0,0.0,1523,0,2,5
181,5.0,202.01617304865758,1024,0.0,5.0,0.0,0.0,1025,0,6,36
182,0.0,194.30618746750326,1142,0.0,0.0,0.0,0.0,1171,0,0,0
183,1.0,84.80466880642577,316,0.0,1.0,0.0,0.0,324,0,1,1
184,4.0,366.1609244487882,1277,0.0,4.0,0.0,0.0,1278,0,5,22
193,0.0,189.05946887220108,737,0.0,0.0,0.0,0.0,748,0,0,0
2,3.0,134.68003467121113,620,0.0,3.0,0.0,0.0,629,0,6,25
20,1320.0,3037.9936491243534,6690,0.0,27.0,1293.0,0.0,6745,0,28,77
204,0.0,60.6150726896083,310,0.0,0.0,0.0,0.0,323,0,0,0
205,1.0,185.66237897379537,583,0.0,1.0,0.0,0.0,602,0,1,1
206,0.0,210.7127094096134,702,0.0,0.0,0.0,0.0,703,0,0,0
3,2.0,71.62865353342907,318,0.0,2.0,0.0,0.0,316,0,3,14
34,285.0,3099.0431226152587,12837,0.0,285.0,0.0,0.0,12868,0,533,533
40,4.0,155.31531116544275,585,0.0,4.0,0.0,0.0,614,0,4,12
43,6.0,358.17510152987705,1486,0.0,6.0,0.0,0.0,1523,0,6,15
44,28.0,151.26024575699498,588,0.0,2.0,26.0,0.0,593,0,9,59
46,5.0,328.97395082128054,1465,0.0,5.0,0.0,0.0,1481,0,5,13
47,3.0,119.42046375966655,590,0.0,3.0,0.0,0.0,593,0,3,10
48,9.0,283.1976129262894,1167,0.0,9.0,0.0,0.0,1169,0,9,39
5,85.0,442.51143494620277,1468,0.0,8.0,77.0,0.0,1601,0,8,10
50,9.0,381.5817105039783,1632,0.0,9.0,0.0,0.0,1697,0,11,28
52,54.0,877.9056995739039,3169,0.0,54.0,0.0,0.0,3249,0,112,118
53,64.0,375.5341874473995,1701,0.0,64.0,0.0,0.0,1783,0,67,67
58,0.0,134.04291436289887,586,0.0,0.0,0.0,0.0,590,0,0,0
62,9.0,728.3566710826153,2722,0.0,9.0,0.0,0.0,2846,0,11,11
73,3.0,195.21420082755222,756,0.0,3.0,0.0,0.0,759,0,3,6
74,55.0,1689.7432951096032,8437,0.0,55.0,0.0,0.0,8441,0,58,207
86,92.0,958.7185663424982,3627,0.0,92.0,0.0,0.0,3639,0,143,553
90,7.0,350.6844814671053,1476,0.0,7.0,0.0,0.0,1475,0,7,24
99,1.0,346.1788225577312,1283,0.0,1.0,0.0,0.0,1304,0,4,36
