creator,creator_norm,product_category,metadata_brand,candidate_source,candidate_status,username_norm,individual_subtype
vivianmarguerre,vivianmarguerre,azarine_retinol,Azarine,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
skinby_sindy,skinby_sindy,azarine_retinol,Azarine,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
asabelavvv,asabelavvv,azarine_retinol,Azarine,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
ansyashine,ansyashine,azarine_retinol,Azarine,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
fvajar_,fvajar_,azarine_retinol,Azarine,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
skincarebyw,skincarebyw,azarine_retinol,Azarine,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
afikarrhnur,afikarrhnur,azarine_retinol,Azarine,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
maharajasp8,maharajasp8,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
faniabsaa,faniabsaa,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
daviena_dvn,daviena_dvn,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
iketiaaa,iketiaaa,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
adilana.na,adilana.na,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
thisisalulaa,thisisalulaa,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
juliadoang08,juliadoang08,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
jesyjeyn,jesyjeyn,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
irnaayu27,irnaayu27,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
nabellaolivia,nabellaolivia,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
orinagista13,orinagista13,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
adiliarizqa,adiliarizqa,daviena_retinol,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
rikut02,rikut02,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
deswitatata2,deswitatata2,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
maryame.official,maryame.official,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
nooraabeautycreator,nooraabeautycreator,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
mayhapid2,mayhapid2,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
dewihanijayanti,dewihanijayanti,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
dr.okypratamaa_kedua,dr.okypratamaa_kedua,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
notforsheil,notforsheil,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
susiyuliani30,susiyuliani30,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
mimiaudmua,mimiaudmua,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
mputrizahro,mputrizahro,maryame_niacinamide,Maryame,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
soufberry,soufberry,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
dww.srtk,dww.srtk,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
janeabys,janeabys,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
racunwithdivani,racunwithdivani,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
theoriginote,theoriginote,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
dicannnns,dicannnns,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
tiarach18,tiarach18,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
cellynstore_,cellynstore_,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
glowupyuk34,glowupyuk34,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
namicwn_,namicwn_,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
lookatmeeh__,lookatmeeh__,originote_niacinamide,The Originote,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
melvinahusyanti96,melvinahusyanti96,davina_skincare,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
yulyadew123,yulyadew123,davina_skincare,Daviena/Davina,video_metadata_clean.csv:creator,Metadata-confirmed creator,,
