username,display_name,individual_subtype,is_video_creator,is_verified_registry_actor,individual_identification_source,individual_verification_level,individual_in_hcc,creator_video_count,creator_target_brand_primary,creator_target_brand_label,creator_target_scope,creator_product_category_primary,creator_target_confidence,creator_target_source,n_comments,n_valid_text_comments,dominant_sentiment,account_goal_orientation,account_goal_confidence
adilana.na,adilana.na,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,74.0,65.0,Positive,Polarized / Contested,Medium
adiliarizqa,adiliarizqa,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,3.0,0.0,Insufficient Text,Insufficient Text,None
afikarrhnur,afikarrhnur,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Azarine,Azarine,Single-brand Context,azarine_retinol,High,video_metadata_clean.csv product_category,68.0,48.0,Positive,Promotional / Supportive,High
ansyashine,ansyashine,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Azarine,Azarine,Single-brand Context,azarine_retinol,High,video_metadata_clean.csv product_category,11.0,8.0,Positive,Promotional / Supportive,Medium
asabelavvv,asabelavvv,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Azarine,Azarine,Single-brand Context,azarine_retinol,High,video_metadata_clean.csv product_category,4.0,3.0,Positive,Promotional / Supportive,Low
cellynstore_,cellynstore_,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,121.0,80.0,Positive,Polarized / Contested,Low
daviena_dvn,daviena_dvn,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,0.0,0.0,Not Observed,Not Observed from Comments,None
deswitatata2,deswitatata2,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,2,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,24.0,20.0,Positive,Promotional / Supportive,Medium
dewihanijayanti,dewihanijayanti,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,3,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,14.0,12.0,Negative,Critical / Complaint,Medium
dicannnns,dicannnns,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,188.0,146.0,Positive,Promotional / Supportive,Medium
dr.okypratamaa_kedua,dr.okypratamaa_kedua,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,0.0,0.0,Not Observed,Not Observed from Comments,None
dww.srtk,dww.srtk,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,83.0,65.0,Negative,Polarized / Contested,Medium
faniabsaa,faniabsaa,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,1.0,1.0,Neutral,Insufficient Text,None
fvajar_,fvajar_,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Azarine,Azarine,Single-brand Context,azarine_retinol,High,video_metadata_clean.csv product_category,35.0,29.0,Positive,Promotional / Supportive,High
glowupyuk34,glowupyuk34,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,12.0,12.0,Positive,Promotional / Supportive,Medium
iketiaaa,iketiaaa,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,11.0,9.0,Positive,Promotional / Supportive,Medium
irnaayu27,irnaayu27,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,2,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,9.0,7.0,Positive,Promotional / Supportive,Medium
janeabys,janeabys,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,3.0,1.0,Negative,Insufficient Text,None
jesyjeyn,jesyjeyn,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,17.0,15.0,Positive,Promotional / Supportive,High
juliadoang08,juliadoang08,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,17.0,13.0,Positive,Promotional / Supportive,High
lookatmeeh__,lookatmeeh__,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,15.0,12.0,Positive,Promotional / Supportive,Medium
maharajasp8,maharajasp8,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,10.0,6.0,Positive,Promotional / Supportive,Medium
maryame.official,maryame.official,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,5,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,52.0,33.0,Positive,Promotional / Supportive,Low
mayhapid2,mayhapid2,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,3,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,2.0,2.0,Mixed,Insufficient Text,None
melvinahusyanti96,melvinahusyanti96,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,davina_skincare,High,video_metadata_clean.csv product_category,16.0,9.0,Positive,Promotional / Supportive,Medium
mimiaudmua,mimiaudmua,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,127.0,97.0,Positive,Mixed Goals,Low
mputrizahro,mputrizahro,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,16.0,10.0,Mixed,Polarized / Contested,Medium
nabellaolivia,nabellaolivia,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,24.0,19.0,Positive,Polarized / Contested,Medium
namicwn_,namicwn_,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,52.0,38.0,Positive,Promotional / Supportive,Low
nooraabeautycreator,nooraabeautycreator,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,52.0,35.0,Positive,Promotional / Supportive,Medium
notforsheil,notforsheil,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,0.0,0.0,Not Observed,Not Observed from Comments,None
orinagista13,orinagista13,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,18.0,14.0,Positive,Promotional / Supportive,High
racunwithdivani,racunwithdivani,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,4.0,2.0,Mixed,Insufficient Text,None
rikut02,rikut02,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,62.0,40.0,Positive,Promotional / Supportive,Medium
skinby_sindy,skinby_sindy,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Azarine,Azarine,Single-brand Context,azarine_retinol,High,video_metadata_clean.csv product_category,67.0,50.0,Mixed,Polarized / Contested,Medium
skincarebyw,skincarebyw,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Azarine,Azarine,Single-brand Context,azarine_retinol,High,video_metadata_clean.csv product_category,6.0,6.0,Positive,Promotional / Supportive,Medium
soufberry,soufberry,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,1.0,1.0,Positive,Insufficient Text,None
susiyuliani30,susiyuliani30,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Maryame,Maryame,Single-brand Context,maryame_niacinamide,High,video_metadata_clean.csv product_category,33.0,23.0,Positive,Promotional / Supportive,Medium
theoriginote,theoriginote,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,3,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,19.0,14.0,Positive,Promotional / Supportive,High
thisisalulaa,thisisalulaa,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,daviena_retinol,High,video_metadata_clean.csv product_category,40.0,30.0,Positive,Promotional / Supportive,High
tiarach18,tiarach18,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,The Originote,The Originote,Single-brand Context,originote_niacinamide,High,video_metadata_clean.csv product_category,3.0,3.0,Positive,Promotional / Supportive,Low
vivianmarguerre,vivianmarguerre,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Azarine,Azarine,Single-brand Context,azarine_retinol,High,video_metadata_clean.csv product_category,62.0,41.0,Positive,Promotional / Supportive,High
yulyadew123,yulyadew123,Video Creator,True,False,video_metadata_clean.csv:creator,Metadata-confirmed creator,False,1,Daviena/Davina,Daviena/Davina,Single-brand Context,davina_skincare,High,video_metadata_clean.csv product_category,8.0,5.0,Negative,Polarized / Contested,Medium
