individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
adilana.na,Video Creator,103,1,1,5,5,2023-12-29 08:49:37+00:00,2026-01-31 15:59:41+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
adilana.na,Video Creator,42,1,1,5,9,2024-02-06 04:49:49+00:00,2024-02-06 04:53:08+00:00,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
adilana.na,Video Creator,52,1,1,5,5,2024-03-27 12:23:33+00:00,2024-03-27 12:25:39+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
adiliarizqa,Video Creator,103,1,1,5,5,2023-10-27 23:34:15+00:00,2024-01-14 15:21:43+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
adiliarizqa,Video Creator,168,1,1,5,9,,,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
adiliarizqa,Video Creator,60,1,1,3,3,2023-11-02 08:20:22+00:00,2023-11-02 10:36:46+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
adiliarizqa,Video Creator,63,1,1,2,2,2023-11-30 12:21:27+00:00,2023-11-30 13:47:51+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
afikarrhnur,Video Creator,134,1,1,2,2,2024-03-02 18:20:42+00:00,2024-03-02 20:07:08+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
afikarrhnur,Video Creator,204,1,1,4,7,,,Azarine,Promotional / Supportive,Observed Creator-Community Context
afikarrhnur,Video Creator,3,1,1,5,5,2024-06-13 13:19:44+00:00,2024-06-13 13:21:35+00:00,Azarine,Neutral Engagement,Observed Creator-Community Context
afikarrhnur,Video Creator,45,1,1,4,4,2024-05-14 02:44:21+00:00,2024-05-14 02:46:08+00:00,Azarine,Neutral Engagement,Observed Creator-Community Context
afikarrhnur,Video Creator,54,1,1,10,10,2024-03-05 07:59:12+00:00,2026-02-21 04:38:12+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
ansyashine,Video Creator,204,1,1,4,4,2024-04-09 01:10:38+00:00,2024-04-09 01:13:01+00:00,Azarine,Promotional / Supportive,Observed Creator-Community Context
ansyashine,Video Creator,45,1,1,4,4,2023-12-23 04:36:50+00:00,2023-12-23 04:38:43+00:00,Azarine,Neutral Engagement,Observed Creator-Community Context
ansyashine,Video Creator,48,1,1,5,5,2024-01-26 22:48:00+00:00,2024-01-26 22:49:36+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
ansyashine,Video Creator,54,1,1,10,10,2023-12-21 06:34:31+00:00,2026-04-16 18:18:20+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
asabelavvv,Video Creator,132,1,1,4,4,2024-01-09 03:17:41+00:00,2024-01-09 03:18:59+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
asabelavvv,Video Creator,17,1,1,7,7,2024-02-12 15:13:36+00:00,2024-02-12 15:15:08+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
asabelavvv,Video Creator,180,1,1,4,4,,,Azarine,Promotional / Supportive,Observed Creator-Community Context
asabelavvv,Video Creator,54,1,1,10,10,2023-08-26 04:23:21+00:00,2024-01-12 11:57:07+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
cellynstore_,Video Creator,132,1,1,4,4,2026-03-26 01:08:34+00:00,2026-03-26 01:10:24+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
cellynstore_,Video Creator,17,1,1,5,5,2023-07-06 01:28:18+00:00,2023-07-06 03:22:23+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
cellynstore_,Video Creator,205,1,1,5,5,2024-05-21 17:39:45+00:00,2024-05-21 17:42:43+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
cellynstore_,Video Creator,52,1,1,5,5,2023-07-29 09:46:32+00:00,2023-07-29 09:48:08+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
daviena_dvn,Video Creator,1,1,1,3,3,2024-08-15 01:50:32+00:00,2024-08-15 01:51:32+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
daviena_dvn,Video Creator,52,1,1,5,5,2024-10-07 11:58:31+00:00,2024-10-07 12:00:29+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
daviena_dvn,Video Creator,60,1,1,3,3,2024-08-01 01:55:07+00:00,2024-08-01 04:14:28+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
deswitatata2,Video Creator,1,1,2,3,3,2025-02-04 10:49:00+00:00,2025-02-04 10:49:17+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
deswitatata2,Video Creator,14,1,2,3,3,2025-02-10 05:11:57+00:00,2025-02-10 05:12:28+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
deswitatata2,Video Creator,150,1,2,6,6,2024-10-08 03:16:26+00:00,2025-03-18 14:29:52+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
deswitatata2,Video Creator,18,1,2,6,6,2024-10-02 12:11:31+00:00,2024-10-02 12:15:09+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
deswitatata2,Video Creator,63,2,2,2,4,2024-10-15 01:31:14+00:00,2025-01-25 15:28:31+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dewihanijayanti,Video Creator,1,1,3,3,3,2024-10-06 03:08:06+00:00,2024-10-06 03:09:51+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dewihanijayanti,Video Creator,134,1,3,2,2,2025-11-25 04:57:36+00:00,2025-11-25 06:24:09+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dewihanijayanti,Video Creator,15,1,3,6,6,2024-08-11 12:25:13+00:00,2024-08-11 12:28:57+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
dewihanijayanti,Video Creator,182,1,3,6,6,2024-10-31 18:32:35+00:00,2024-10-31 18:35:00+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dewihanijayanti,Video Creator,183,1,3,7,7,2025-04-23 00:39:52+00:00,2025-04-23 02:19:55+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dewihanijayanti,Video Creator,20,1,3,3,3,2025-04-13 03:33:36+00:00,2025-04-13 03:34:15+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dewihanijayanti,Video Creator,45,1,3,4,4,2025-07-30 01:42:34+00:00,2025-07-30 01:44:58+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
dewihanijayanti,Video Creator,48,1,3,5,5,2025-12-06 14:30:26+00:00,2025-12-06 14:31:38+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dewihanijayanti,Video Creator,54,1,3,2,2,2026-04-12 01:15:59+00:00,2026-04-12 02:34:20+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dicannnns,Video Creator,150,1,1,6,6,2023-04-27 12:12:05+00:00,2023-04-27 12:13:45+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
dicannnns,Video Creator,16,1,1,5,5,2023-06-02 05:51:09+00:00,2023-06-02 05:55:02+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
dicannnns,Video Creator,99,1,1,6,11,2023-04-27 12:05:32+00:00,2023-04-27 12:09:21+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
