username_norm,username,mass_network_position,shared_hcc_video_count,n_hcc_accounts_shared_video,direct_reply_with_hcc_count,mass_replies_to_hcc_count,hcc_replies_to_mass_count,temporal_after_hcc_count,associated_hcc_count,mass_exposure_score,min_minutes_after_hcc,median_minutes_after_hcc,associated_hcc_ids,primary_associated_hcc,association_basis,mass_exposure_level,associated_hcc_brand_context
.............za20,.............za20,Outside LCN,1,12,0,0,0,0,2,1,,,183;191,183,Shared video context,Shared-Video Exposure,The Originote
.....sulaeman,.....sulaeman,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
....me_cancer,....me_cancer,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
...lee77,...lee77,Outside LCN,1,23,0,0,0,0,4,1,,,45;48;54;204,45,Shared video context,Shared-Video Exposure,Maryame
.._000112,.._000112,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
..ftr8,..ftr8,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
..melamun,..melamun,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
..riska83,..riska83,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.5th6,.5th6,Outside LCN,2,27,0,0,0,0,5,2,,,5;17;52;132;205,5,Shared video context,Shared-Video Exposure,The Originote
._kikyangel,._kikyangel,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.a.y323,.a.y323,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.abcdefghi58,.abcdefghi58,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.aicrl,.aicrl,Outside LCN,2,30,0,0,0,0,7,2,,,17;34;45;48;113;150;206,17,Shared video context,Shared-Video Exposure,Maryame
.akuntidakditemukan028,.akuntidakditemukan028,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.anakewong09,.anakewong09,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.ang_el4_n,.ang_el4_n,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.anuraini,.anuraini,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
.asics8,.asics8,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.atheuy,.atheuy,Outside LCN,1,24,0,0,0,0,6,1,,,14;15;17;18;49;191,14,Shared video context,Shared-Video Exposure,Daviena
.ayamkucing,.ayamkucing,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.ayng_,.ayng_,Outside LCN,1,18,0,0,0,1,5,3,18.666666666666668,18.666666666666668,14;34;75;134;150,34,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
.bakoelgedhang02,.bakoelgedhang02,Outside LCN,1,13,0,0,0,0,4,1,,,45;48;54;134,45,Shared video context,Shared-Video Exposure,Maryame
.bintang15.3,.bintang15.3,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.black_orchid,.black_orchid,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.cappucinosusu,.cappucinosusu,Outside LCN,1,19,0,0,0,0,4,1,,,3;5;45;63,3,Shared video context,Shared-Video Exposure,Maryame
.cloud_25,.cloud_25,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.desember112,.desember112,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.dfw02,.dfw02,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.dicky_7,.dicky_7,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.elmamirza,.elmamirza,Outside LCN,1,21,0,0,0,0,4,1,,,45;48;113;150,45,Shared video context,Shared-Video Exposure,Maryame
.em.min,.em.min,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.fav_02,.fav_02,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.fh.p3,.fh.p3,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
.fitri_25,.fitri_25,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.ggg290,.ggg290,Outside LCN,1,23,0,0,0,0,5,1,,,2;20;49;63;114,2,Shared video context,Shared-Video Exposure,Maryame
.hahahihi1_,.hahahihi1_,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.hana1771,.hana1771,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.icaaahh,.icaaahh,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
.ind27,.ind27,Outside LCN,2,27,0,0,0,0,6,2,,,49;60;63;103;150;168,49,Shared video context,Shared-Video Exposure,Daviena
.j.r18,.j.r18,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.jesuslovesyou72,.jesuslovesyou72,Outside LCN,1,11,0,0,0,0,3,1,,,1;52;60,1,Shared video context,Shared-Video Exposure,Daviena
.kholifahfurniture,.kholifahfurniture,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
.kita89,.kita89,Outside LCN,1,19,0,0,0,0,4,1,,,17;52;132;205,17,Shared video context,Shared-Video Exposure,Maryame
.lala_85,.lala_85,Outside LCN,1,23,0,0,0,0,4,1,,,45;48;54;204,45,Shared video context,Shared-Video Exposure,Maryame
.libra137,.libra137,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
.lucky_b,.lucky_b,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
