comment_id,mass_username,video_id,timestamp,sentiment_label,hcc_id,association_type,hcc_dominant_sentiment,comment_sentiment_alignment,minutes_after_hcc,is_verified_direct_reply,is_multi_hcc_comment_association
INJ000007,MASS_c3a94609d426,7421364555957275910,2024-10-03 03:33:51+00:00,Positive,2,Direct Interaction,Neutral,Not aligned,-20008.383333333335,True,False
INJ000008,MASS_c3a94609d426,7430007251076697350,2024-10-26 10:18:03+00:00,Positive,2,Direct Interaction,Neutral,Not aligned,-226972.58333333334,True,False
INJ000011,MASS_28845ce3916d,7472351771025755410,2025-02-17 12:11:34+00:00,Neutral,183,Direct Interaction,Neutral,Aligned,-92910.18333333333,True,False
INJ000012,MASS_28845ce3916d,7129446710400601371,2022-08-08 10:30:44+00:00,Positive,183,Direct Interaction,Neutral,Not aligned,-23024.583333333332,True,False
INJ000013,MASS_3353b208ad7b,7385065641595653382,2024-06-27 06:36:46+00:00,Positive,150,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-418923.81666666665,True,False
INJ000014,MASS_3353b208ad7b,7424146834534239493,2024-10-10 15:23:42+00:00,Positive,150,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-1983.2333333333333,True,False
INJ000029,MASS_0c26b845ed30,7289028668863663365,2023-10-12 11:23:55+00:00,Positive,49,Direct Interaction,Neutral,Not aligned,-10758.983333333334,True,False
INJ000030,MASS_0c26b845ed30,7359717817601543429,2024-04-20 00:33:31+00:00,Neutral,49,Direct Interaction,Neutral,Aligned,-1929.2666666666667,True,False
INJ000033,MASS_e560388a89a1,7129446710400601371,2022-08-08 10:26:40+00:00,Positive,183,Direct Interaction,Neutral,Not aligned,-23026.65,True,False
INJ000034,MASS_e560388a89a1,7340938843190725893,2024-02-29 09:19:35+00:00,Neutral,183,Direct Interaction,Neutral,Aligned,-73778.36666666667,True,False
INJ000035,MASS_f792de8a6b81,7327630114282573061,2024-03-02 14:15:42+00:00,Positive,54,Direct Interaction,Neutral,Not aligned,-424788.38333333336,True,False
INJ000036,MASS_f792de8a6b81,7237379067773766917,2023-08-03 11:43:31+00:00,Positive,54,Direct Interaction,Neutral,Not aligned,-36953.416666666664,True,False
INJ000045,MASS_5a57ef0cec54,7424146834534239493,2024-10-10 15:41:29+00:00,Neutral,2,Direct Interaction,Neutral,Aligned,-768662.2666666667,True,False
INJ000046,MASS_5a57ef0cec54,7430007251076697350,2024-10-26 10:31:18+00:00,Neutral,2,Direct Interaction,Neutral,Aligned,-226958.5,True,False
INJ000051,MASS_97f57b7a1ea0,7312025661835578629,2023-12-13 11:08:50+00:00,Positive,50,Direct Interaction,Neutral,Not aligned,-317144.18333333335,True,False
INJ000052,MASS_97f57b7a1ea0,7421364555957275910,2024-10-03 02:59:17+00:00,Neutral,50,Direct Interaction,Neutral,Aligned,-11414.683333333332,True,False
INJ000057,MASS_e89ff3fbb8f8,7397028146429709573,2024-07-29 12:18:34+00:00,Neutral,54,Direct Interaction,Neutral,Aligned,-1193.0,True,False
INJ000058,MASS_e89ff3fbb8f8,7586827398084136200,2025-12-23 00:14:48+00:00,Neutral,54,Direct Interaction,Neutral,Aligned,-840.6166666666667,True,False
INJ000063,MASS_7c5645e02fdd,7182401543491128602,2022-12-29 03:50:09+00:00,Neutral,182,Direct Interaction,Neutral,Aligned,-28742.0,True,False
INJ000064,MASS_7c5645e02fdd,7586827398084136200,2025-12-22 23:56:17+00:00,Positive,182,Direct Interaction,Neutral,Not aligned,-8713.066666666668,True,False
INJ000067,MASS_b542ffec7b3e,7262186413284822277,2023-08-14 13:57:20+00:00,Positive,18,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-597497.8166666667,True,False
INJ000068,MASS_b542ffec7b3e,7242204399928593669,2023-06-17 06:31:51+00:00,Neutral,18,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-671520.0166666667,True,False
INJ000071,MASS_8a8938dac81a,7340938843190725893,2024-02-29 09:10:24+00:00,Positive,183,Direct Interaction,Neutral,Not aligned,-73787.51666666666,True,False
INJ000072,MASS_8a8938dac81a,7129446710400601371,2022-08-08 10:40:49+00:00,Positive,183,Direct Interaction,Neutral,Not aligned,-23014.5,True,False
INJ000079,MASS_a8bab899d016,7319688011891936517,2024-01-04 18:55:18+00:00,Neutral,103,Direct Interaction,Neutral,Aligned,-20842.25,True,False
INJ000080,MASS_a8bab899d016,7376604456818920709,2024-06-04 11:42:29+00:00,Neutral,103,Direct Interaction,Neutral,Aligned,-52088.73333333333,True,False
INJ000081,MASS_fff3871c79fe,7185096421220158747,2023-01-05 09:51:56+00:00,Positive,17,Direct Interaction,Neutral,Not aligned,-113407.36666666667,True,False
INJ000082,MASS_fff3871c79fe,7235406683676167430,2023-05-20 23:39:09+00:00,Neutral,17,Direct Interaction,Neutral,Aligned,-66350.41666666667,True,False
INJ000101,MASS_4135d42e92d1,7291631421565832453,2023-10-19 13:02:42+00:00,Neutral,103,Direct Interaction,Neutral,Aligned,-58274.65,True,False
INJ000102,MASS_4135d42e92d1,7378347819268082950,2024-06-09 04:29:09+00:00,Positive,103,Direct Interaction,Neutral,Not aligned,-61874.8,True,False
INJ000103,MASS_87395668406b,7385065641595653382,2024-06-27 06:48:12+00:00,Positive,150,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-717015.1,True,False
INJ000104,MASS_87395668406b,7424146834534239493,2024-10-10 15:15:38+00:00,Positive,150,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-7930.766666666666,True,False
INJ000119,MASS_56eee404b471,7586827398084136200,2025-12-22 23:40:30+00:00,Neutral,54,Direct Interaction,Neutral,Aligned,-438.9166666666667,True,False
INJ000120,MASS_56eee404b471,7185096421220158747,2023-01-05 10:10:38+00:00,Positive,54,Direct Interaction,Neutral,Not aligned,-85044.73333333334,True,False
INJ000133,MASS_4fbe6222cd35,7472351771025755410,2025-02-17 11:58:03+00:00,Neutral,183,Direct Interaction,Neutral,Aligned,-92924.95,True,False
INJ000134,MASS_4fbe6222cd35,7340938843190725893,2024-02-29 09:09:25+00:00,Positive,183,Direct Interaction,Neutral,Not aligned,-73788.53333333334,True,False
INJ000135,MASS_ff8e806abae7,7313744314927041797,2023-12-18 13:03:53+00:00,Positive,103,Direct Interaction,Neutral,Not aligned,-15585.733333333334,True,False
INJ000136,MASS_ff8e806abae7,7291631421565832453,2023-10-19 12:41:12+00:00,Positive,103,Direct Interaction,Neutral,Not aligned,-19732.9,True,False
