mass_username,hcc_id,shared_video_count,direct_reply_count,temporal_after_count,min_minutes_after_hcc,association_score,is_primary_association,mass_replies_to_hcc_count,hcc_replies_to_mass_count,median_minutes_after_hcc
reviewjujur_cp600,1,1,0,0,,1,False,0,0,
ajie.wardhana,1,1,0,0,,1,True,0,0,
sisisinta498,1,1,0,0,,1,True,0,0,
eryy622,1,1,0,0,,1,True,0,0,
skintok_ct62066,1,1,0,0,,1,False,0,0,
rchrnnsy,1,1,0,0,,1,True,0,0,
ilhamaunard,1,1,0,0,,1,True,0,0,
sinsin3224,1,1,0,0,,1,True,0,0,
hushush11,1,1,0,0,,1,True,0,0,
vivianmarguerre,1,1,0,2,0.7333333333333333,5,True,0,0,1.075
i.frdaaa,1,1,0,0,,1,False,0,0,
nurhikmah_ar,1,1,0,0,,1,True,0,0,
xwayyy.1,1,1,0,0,,1,True,0,0,
tyeline2,1,1,0,0,,1,True,0,0,
dakwajrah,1,1,0,0,,1,True,0,0,
puteeweww_,1,1,0,0,,1,True,0,0,
juni26_6,1,1,0,0,,1,False,0,0,
d.hndra,1,1,0,0,,1,True,0,0,
mojik86,1,1,0,0,,1,True,0,0,
ceufirdha,1,1,0,0,,1,True,0,0,
akur528,1,1,0,0,,1,True,0,0,
n_mila2,1,1,0,0,,1,False,0,0,
peachyyberry22,1,1,0,0,,1,True,0,0,
skinclub_cp8238,1,1,0,0,,1,False,0,0,
destarini12,1,1,0,0,,1,True,0,0,
fia.aristianti,1,1,0,0,,1,False,0,0,
bestieku_ct66053,1,1,0,0,,1,False,0,0,
amix_2420,1,1,0,0,,1,True,0,0,
halloiniaku101,1,1,0,0,,1,True,0,0,
caprdn,1,1,0,0,,1,True,0,0,
fayy193,1,1,0,0,,1,False,0,0,
callmeputtttt0,1,1,0,0,,1,True,0,0,
sky_whispers24,1,1,0,0,,1,True,0,0,
dearskin_cp3788,1,1,0,0,,1,True,0,0,
sychotika,1,1,0,0,,1,True,0,0,
beautyaddict_ct30004,1,1,0,0,,1,False,0,0,
arifander_ys,1,1,0,0,,1,True,0,0,
ibnu.qusyairi,1,1,0,0,,1,True,0,0,
kulitcerah_ct74535,1,1,0,0,,1,False,0,0,
ayu_arf,1,1,0,0,,1,True,0,0,
kylaaa0102,1,1,0,0,,1,True,0,0,
skinbestie_ip9676,1,1,0,0,,1,False,0,0,
atiew7,1,1,0,0,,1,True,0,0,
racun_rp21029,1,1,0,0,,1,True,0,0,
catterrina_,1,1,0,0,,1,True,0,0,
demi7028,1,1,0,0,,1,True,0,0,
racunbychanss,1,1,0,0,,1,True,0,0,
vanila.8meow,1,1,0,0,,1,True,0,0,
glowhunter_rp10498,1,1,0,0,,1,False,0,0,
skincare_rp99622,1,1,0,0,,1,False,0,0,
cicanncyy,1,1,0,0,,1,False,0,0,
dearskin_rp81618,1,1,0,0,,1,False,0,0,
gem1n1ee,1,1,0,0,,1,True,0,0,
glowhunter_rp64732,1,1,0,0,,1,False,0,0,
kulitglowing_ip4389,1,1,0,0,,1,False,0,0,
mamaceuceu,1,1,0,0,,1,True,0,0,
beautyvibe_ip9313,1,1,0,0,,1,False,0,0,
bestieku_rp85723,1,2,0,0,,2,False,0,0,
fkryz_3,1,1,0,0,,1,True,0,0,
racun_rp41671,1,1,0,0,,1,False,0,0,
