hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high,total_hcc_members,community_actor_accounts,individual_hcc_accounts,hcc_mean_degree,hcc_mean_weighted_degree,hcc_mean_betweenness,n_mass_unique_associated,mass_fractional_context_weight,n_mass_many_to_many_rows,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,total_relevant_mass_actors,n_alignment_evaluable,n_aligned,n_not_aligned,n_mixed_or_inconclusive,n_insufficient,n_ambiguous,alignment_coverage,alignment_rate,alignment_reliability,Unique Direct Association,Unique Temporal Association,Single Shared-Video Context,Multiple / Ambiguous HCC,No HCC Association
1,3,3,21.0,20.0,0.9523809523809523,1.0,15.0,4.0,1.0,0.0,0.05,0.75,0.2,0.16663281999979349,0.6016296688140552,0.23173751118615135,13.696743326410102,Neutral,Neutral Engagement,Assigned,High,0.55,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low,0.08065635327119998,0.4160217220257599,0.5312949900419365,0.888139947210597,0.008881219432873143,0.23613589351256678,3,3,0,2.0,3.5,0.0,6.0,557.8085899025295,2223,2242,0,7,18,6,0,0,0,0,6,0,0.0,,Very Low Coverage,0.0,6.0,0.0,0.0,0.0
112,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,Insufficient Text,Insufficient Text,Not Assigned,,,sentiment_final_v2_left_join_to_latest_hcc,FINAL_MODEL_VALIDATED_SENTIMENT_V2,,Maryame,Maryame,Maryame,High,Medium,,,,,,,6,6,0,5.0,4.226190476190475,0.0,3.0,189.31971591102396,847,846,0,4,34,3,0,0,0,0,3,0,0.0,,Very Low Coverage,0.0,3.0,0.0,0.0,0.0
113,6,6,28.0,27.0,0.9642857142857143,26.0,1.0,0.0,1.0,0.0,0.9629629629629629,0.037037037037037035,0.0,0.6696312477210803,0.16290151379910214,0.16746723847981757,19.20711381977225,Positive,Promotional / Supportive,Assigned,High,0.9259259259259258,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame,High,Medium,0.0,0.12455903714463581,0.006567976533097584,0.18283853934156521,0.8171614606584349,0.9934320234669024,6,6,0,5.0,4.226190476190475,0.0,0.0,148.29148202588604,602,615,0,0,0,0,0,0,0,0,0,0,0.0,,Very Low Coverage,0.0,0.0,0.0,0.0,0.0
116,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,Insufficient Text,Insufficient Text,Not Assigned,,,sentiment_final_v2_left_join_to_latest_hcc,FINAL_MODEL_VALIDATED_SENTIMENT_V2,,The Originote,The Originote,The Originote,High,Low,,,,,,,6,6,0,5.166666666666667,3.839285714285714,3.238240099774803e-06,3.0,83.3381036576083,434,439,0,3,9,3,0,0,0,1,2,0,0.0,,Very Low Coverage,0.0,3.0,0.0,0.0,0.0
130,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,Insufficient Text,Insufficient Text,Not Assigned,,,sentiment_final_v2_left_join_to_latest_hcc,FINAL_MODEL_VALIDATED_SENTIMENT_V2,,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low,,,,,,,4,4,0,3.0,2.25,0.0,4.0,184.17790778622822,612,612,0,4,11,4,0,0,0,1,3,0,0.0,,Very Low Coverage,0.0,4.0,0.0,0.0,0.0
133,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,Insufficient Text,Insufficient Text,Not Assigned,,,sentiment_final_v2_left_join_to_latest_hcc,FINAL_MODEL_VALIDATED_SENTIMENT_V2,,Daviena,Daviena,Daviena + The Originote,Medium,Low,,,,,,,3,3,0,1.3333333333333333,1.6904761904761905,1.8504229141570306e-06,6.0,1873.0672525848765,9486,9504,0,8,8,6,0,0,0,0,6,0,0.0,,Very Low Coverage,0.0,6.0,0.0,0.0,0.0
14,3,3,15.0,14.0,0.9333333333333333,0.0,13.0,1.0,1.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.16474163819994894,0.6088260463604611,0.22643231543958997,9.600337659661413,Neutral,Neutral Engagement,Assigned,Medium,0.8571428571428572,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,0.012721886112291648,0.3146926955395781,0.6853073044604219,0.9872781138877085,0.0,0.21531701192718142,3,3,0,2.0,2.5,0.0,97.0,3051.9185682154102,12658,12678,0,455,1294,97,1,0,1,0,96,0,0.010309278350515464,0.0,Very Low Coverage,0.0,97.0,0.0,0.0,0.0
15,6,6,18.0,17.0,0.9444444444444444,0.0,12.0,5.0,1.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.1671124500498194,0.5726075196248611,0.2602800303253196,12.142806668061791,Neutral,Neutral Engagement,Assigned,High,0.411764705882353,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Low,0.13279793865556402,0.5313353332621391,0.468664666737861,0.8672020613444361,0.0,0.18432366037156456,6,6,0,5.166666666666667,3.839285714285714,3.238240099774803e-06,3.0,186.15201763063217,1040,1040,0,3,12,3,0,0,0,0,3,0,0.0,,Very Low Coverage,0.0,3.0,0.0,0.0,0.0
150,6,6,48.0,48.0,1.0,3.0,34.0,11.0,0.0,0.0,0.0625,0.7083333333333334,0.22916666666666666,0.20152642741887983,0.5235260399919611,0.2749475325891591,31.80197755537369,Neutral,Neutral Engagement,Assigned,High,0.47916666666666674,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame + The Originote,Medium,Low,0.13307691028989044,0.36539535908451154,0.5682047226383247,0.8175858393813662,0.021482843131227235,0.1683569766274222,6,6,0,7.5,8.30952380952381,0.00017665247392288335,720.0,2431.7405769153447,11239,11331,0,887,1349,720,16,14,2,0,704,0,0.022222222222222223,0.875,Very Low Coverage,0.0,720.0,0.0,0.0,0.0
16,5,5,15.0,15.0,1.0,1.0,12.0,2.0,0.0,0.0,0.06666666666666667,0.8,0.13333333333333333,0.20215978594999254,0.573429711150848,0.2244105028991595,9.87144171290227,Neutral,Neutral Engagement,Assigned,High,0.6666666666666667,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena + The Originote,Medium,Low,0.037360469891359285,0.3788249920651624,0.5481406466534955,0.9295257935638959,0.011866588606194882,0.2981707755242399,5,5,0,4.0,3.0,0.0,20.0,413.9133300110622,1811,1837,0,24,109,20,3,3,0,0,17,0,0.15,1.0,Very Low Coverage,0.0,20.0,0.0,0.0,0.0
