brand_pair_scope,n_pairs,n_unique_comments,n_unique_accounts,mean_similarity,n_presentation_eligible
Azarine,1047,529,415,0.9151318902304604,750
Azarine | Daviena,7306,1818,1543,0.8945182105572727,6899
Azarine | Maryame,12982,2831,2468,0.9200361404718741,12393
Azarine | The Originote,4305,1294,983,0.8856393720350804,3630
Daviena,26063,3313,2850,0.9494353003597708,22751
Daviena | Maryame,96869,6426,5668,0.9517221567210707,92318
Daviena | The Originote,20291,2903,2369,0.9184450553114806,18936
Maryame,194586,9056,8223,0.9519071839384364,159827
Maryame | The Originote,50773,4428,3748,0.9549370804661592,48737
The Originote,7256,1521,1071,0.9438601905878372,5476
