hcc_pair_scope,n_pairs,n_unique_comments,n_unique_accounts,mean_similarity,n_presentation_eligible
112,19,20,6,1.0,18
113,14,17,6,1.0,14
133,1,2,1,0.7846495100809161,0
150,6,4,4,1.0,6
169,9,15,5,1.0,9
17,3,3,1,0.9409706235144779,0
18,1,2,2,1.0,1
181,6,9,3,1.0,3
182,14,14,5,1.0,12
193,9,15,5,1.0,7
20,2,4,2,1.0,1
204,7,6,3,1.0,4
205,10,14,5,1.0,10
206,14,19,5,1.0,14
40,19,21,5,1.0,18
46,1,2,2,1.0,1
48,1,2,2,1.0,1
5,2,4,3,1.0,2
52,3,6,4,0.8272766983816956,1
58,1,2,2,0.9658284580269492,1
62,5,5,1,0.8684333698203208,0
99,15,24,6,1.0,15
Cross-HCC / Non-HCC,421316,15602,13009,0.9475662877605178,371579
