hcc_ids,n_groups,n_comments,n_accounts,mean_similarity,n_presentation_eligible
Not identified,1315,7570,7066,0.9369621669227386,782
113,18,153,151,0.9740188602500724,18
112,16,140,136,0.9702582498821934,16
169,15,116,108,0.9766077860569918,15
193,15,135,132,0.9719405234900232,15
205,15,136,133,0.9690137985313996,15
99,15,136,134,0.9696133353472235,15
204,14,102,97,0.9777678662165278,14
181,13,89,83,0.9755334489246779,13
182,13,107,101,0.9762113807393872,13
150,12,1278,1249,0.9854217361605317,10
206,12,121,119,0.9728691506555985,12
62,12,571,534,0.9280374586074335,12
86,12,580,555,0.9467242368862164,11
40,10,84,81,0.976227433947243,10
5,10,876,858,0.9782906553090551,8
52,9,198,184,0.9228661105810682,9
133,8,285,257,0.922163647327836,8
18,8,978,959,0.9796554091020144,8
47,8,247,240,0.9269280952615916,7
50,8,383,370,0.9809471805129655,7
14,7,608,594,0.9722044387586596,6
184,7,363,346,0.92563700563557,7
34,7,430,402,0.9309663320318078,7
46,7,797,777,0.9602335735271021,7
1,6,656,642,0.9338758703066983,6
17,6,203,188,0.9160940718731861,6
20,6,818,802,0.9707822784839156,6
53,6,75,73,0.9461689367959156,5
58,6,161,155,0.9148435849583051,6
43,5,775,756,0.9758831024124227,5
48,5,270,264,0.9523718029777857,5
74,5,134,132,0.9252747405732011,4
2,4,582,569,0.9677404647508792,4
44,4,87,87,0.9686032629845711,4
73,4,461,452,0.9854781128615022,4
16,3,456,445,0.9234722970269927,2
116,2,133,133,0.9827461694102297,2
130,2,236,233,0.9674204222658067,2
183,1,3,2,1.0,0
3,1,5,5,0.8794155120621134,1
90,1,219,214,1.0,1
