screenshot_group_rank,group_id,member_rank,comment_id,video_id,video_url,tiktok_comment_url_candidate,platform_username,account,actor_type_primary,network_position,hcc_id,brand,timestamp,comment_text_presentation,group_similarity_category,group_n_comments,group_n_accounts,group_n_videos,group_quality_flag,screenshot_eligible,screenshot_status,screenshot_file,reviewer_notes
1,SIM_CLUSTER_00005,1,9182736451827362848A,7242204399928593669,https://www.tiktok.com/@namicwn_/video/7242204399928593669?_r=1&_t=ZS-9701v2mMfZa,https://www.tiktok.com/@namicwn_/video/7242204399928593669?_r=1&_t=ZS-9701v2mMfZa&comment_id=9182736451827362848A,_bunga_kurinzam_28,MASS_004d778093f9,Mass Actor,Outside LCN,,The Originote,2023-06-22T23:52:55+00:00,aku cocok banget pake originote hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
1,SIM_CLUSTER_00005,2,9182736451827361726A,7421104723333483782,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W&comment_id=9182736451827361726A,glowbestie_pa00501,MASS_016b1bb8c41b,Mass Actor,Outside LCN,,Daviena,2024-10-03T11:12:46+00:00,aku cocok banget pake davina hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
1,SIM_CLUSTER_00005,3,9182736451827362662A,7472351771025755410,https://www.tiktok.com/@dewihanijayanti/video/7472351771025755410?_r=1&_t=ZS-9702VldBrPj,https://www.tiktok.com/@dewihanijayanti/video/7472351771025755410?_r=1&_t=ZS-9702VldBrPj&comment_id=9182736451827362662A,.kita89,MASS_05102d14bf20,Mass Actor,Outside LCN,,Maryame,2025-03-04T01:59:40+00:00,aku cocok banget pake maryame hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
1,SIM_CLUSTER_00005,4,9182736451827361474A,7312025661835578629,https://www.tiktok.com/@maharajasp8/video/7312025661835578629?_r=1&_t=ZS-9707B1CL1aS,https://www.tiktok.com/@maharajasp8/video/7312025661835578629?_r=1&_t=ZS-9707B1CL1aS&comment_id=9182736451827361474A,glowbestie_pa00301,MASS_083d2ee02bed,Mass Actor,Outside LCN,,Daviena,2024-01-03T21:56:53+00:00,aku cocok banget pake daviena hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
1,SIM_CLUSTER_00005,5,9182736451827362541A,7262186413284822277,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT&comment_id=9182736451827362541A,glowbestie_pa01081,MASS_08e6b54fee87,Mass Actor,Outside LCN,,Maryame,2025-08-14T05:17:41+00:00,aku cocok banget pake maryame hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
1,SIM_CLUSTER_00005,6,9182736451827361353A,7340938843190725893,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z&comment_id=9182736451827361353A,glowbestie_pa00201,MASS_0b2f4a819186,Mass Actor,Outside LCN,,Daviena,2024-03-01T14:39:08+00:00,aku cocok banget pake daviena hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
1,SIM_CLUSTER_00005,7,9182736451827361441A,7313744314927041797,https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9,https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9&comment_id=9182736451827361441A,glowbestie_pa00271,MASS_0ee8ff9d9502,Mass Actor,Outside LCN,,Daviena,2024-02-13T11:40:31+00:00,aku cocok banget pake daviena hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
1,SIM_CLUSTER_00005,8,9182736451827362684A,7421364555957275910,https://www.tiktok.com/@maryame.official/video/7421364555957275910?_r=1&_t=ZS-977UipTvK8V,https://www.tiktok.com/@maryame.official/video/7421364555957275910?_r=1&_t=ZS-977UipTvK8V&comment_id=9182736451827362684A,.nurul003,MASS_10942f3aff6d,Mass Actor,Outside LCN,,Maryame,2024-11-10T23:47:38+00:00,aku cocok banget pake maryame hasilnya lebih halus dan nyaman di kulit,EXACT_DUPLICATE,149,149,48,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
2,SIM_CLUSTER_00006,1,9182736451827362728A,7421835937988070662,https://www.tiktok.com/@maryame.official/video/7421835937988070662?_r=1&_t=ZS-9702TytN66E,https://www.tiktok.com/@maryame.official/video/7421835937988070662?_r=1&_t=ZS-9702TytN66E&comment_id=9182736451827362728A,.xyzraa_18,MASS_01c0ff407948,Mass Actor,Outside LCN,,Maryame,2024-12-17T22:39:06+00:00,produk maryame menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
2,SIM_CLUSTER_00006,2,9182736451827361585A,7421104723333483782,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W&comment_id=9182736451827361585A,skinlover_pa00392,MASS_053fa3d16f33,Mass Actor,Outside LCN,,Daviena,2024-10-04T07:27:53+00:00,produk davina menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
