exact_group_id,normalized_text,representative_comment_text,n_comments,n_unique_accounts,n_unique_videos,n_unique_brands,n_actor_types,actor_types,actor_pair_scope,accounts,platform_usernames,comment_ids,video_ids,video_urls,brands,hcc_ids,contains_community_actor,contains_mass_actor,contains_lcn_edge_account_pair,presentation_eligible
EXACT_GROUP_00001,"""kuning ee""😭😭","""kuning ee""😭😭",2,2,1,1,1,Mass Actor,Mass–Mass,MASS_054911917aee;MASS_f0f72436b870,axz.4raaa_;onlymehere1512,7312051444952482565;7312973123941958405,7312025661835578629,https://www.tiktok.com/@maharajasp8/video/7312025661835578629?_r=1&_t=ZS-9707B1CL1aS,Daviena,,False,True,False,False
EXACT_GROUP_00002,.,.,2,2,2,2,2,Community Actor;Mass Actor,Community–Mass,MASS_00f9f3f41e65;kulitcerah_ct29113,anjelicaa01;kulitcerah_ct29113,7191404142165672731;7398116637864411909,7145783136914296090;7397028146429709573,https://www.tiktok.com/@janeabys/video/7145783136914296090?_r=1&_t=ZS-9701M6biY9Y;https://www.tiktok.com/@skincarebyw/video/7397028146429709573?_r=1&_t=ZS-977QLwAWBLp,Azarine;The Originote,50,True,True,False,False
EXACT_GROUP_00003,12,12,3,1,1,1,1,Individual Actor,Individual–Individual,cellynstore_,cellynstore_,7384377602607727365;7389802066443502341;7420736487391740677,7235406683676167430,https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv,The Originote,,False,False,False,False
EXACT_GROUP_00004,14+,14+,2,2,2,1,1,Mass Actor,Mass–Mass,MASS_0ebff161fa8d;MASS_2cfe654ded8f,deliemoo;sbjsoqibsnsjsksjnsnzmmsn,7264070986218996486;7307682777468683014,7242204399928593669;7306081689422351622,https://www.tiktok.com/@dww.srtk/video/7306081689422351622?_r=1&_t=ZS-9701GJQuJW6;https://www.tiktok.com/@namicwn_/video/7242204399928593669?_r=1&_t=ZS-9701v2mMfZa,The Originote,,False,True,False,False
EXACT_GROUP_00005,2x seminggu aja kak,2x seminggu aja kak,2,2,2,2,2,Individual Actor;Mass Actor,Mass–Individual,MASS_d27e60c1e817;ansyashine,_sundaze.9;ansyashine,7189019847661142810;7400524052118815494,7188119070884056347;7313383346447322373,https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@theoriginote/video/7188119070884056347?_r=1&_t=ZS-9701SLa3cpE,Azarine;The Originote,,False,True,False,True
EXACT_GROUP_00006,@,@,7,7,5,2,1,Mass Actor,Mass–Mass,MASS_69738f6c8928;MASS_6e18c95c5354;MASS_70aee5c9d79c;MASS_94b68b18f98e;MASS_977b1ac878b4;MASS_e9ac61aead07;MASS_f165ba064ce6,dinda.kahfi;glowhunter_rp64732;ima8289;kangsiumin;mabduhsyukur;nyon107;supardi.addi4,7374470269975249669;7388483276744278789;7420406476882248455;7421414095435383557;7432314917229773573;7434543358686675768;7474942839874568965,7340938843190725893;7385065641595653382;7421104723333483782;7421835937988070662;7429265515434036485,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z;https://www.tiktok.com/@maryame.official/video/7421835937988070662?_r=1&_t=ZS-9702TytN66E;https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm;https://www.tiktok.com/@rikut02/video/7429265515434036485?_r=1&_t=ZS-97026zwQb3A;https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W,Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00007,@bluemoon:kalo gak ada dokter detektif gak akan kebongkar😂,@USER:Kalo gak ada dokter detektif gak akan kebongkar😂,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_098725cdbee4;MASS_938cee62d4ec,amih.ara1;ntiicans58,7421324646489031430;7422595300009526022,7421104723333483782,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W,Daviena,,False,True,False,True
EXACT_GROUP_00008,@bunial,@USER,2,1,2,1,1,Mass Actor,Mass–Mass,MASS_391cfeda8c8c,9n.megaaaa,7372844575289492229;7375827865167921925,7340938843190725893;7357662447248968966,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z;https://www.tiktok.com/@thisisalulaa/photo/7357662447248968966?_r=1&_t=ZS-970En9Gwumu,Daviena,,False,True,False,False
EXACT_GROUP_00009,@camahyupita: ada yg mau gantiin punya aku paket acne ? baru pake 2x masih banyak bgt 95%an isinyaaa 150 day night sm facial washnya✨✨,@USER: Ada yg mau gantiin punya aku paket acne ? Baru pake 2x masih banyak bgt 95%an isinyaaa 150 day night sm facial washnya✨✨,3,1,1,1,1,Mass Actor,Mass–Mass,MASS_38a93184c3fb,cmhys,7483897132718654215;7483897181343761170;7483897280045466376,7430007251076697350,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,Maryame,,False,True,False,False
EXACT_GROUP_00010,@dewi hani jayanti,@USER hani jayanti,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_c4323c9fc04e;MASS_deb1bfa5ff24,ayuepinkshop;dwiyanasti,7428454368317686533;7428552707085370117,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,Maryame,,False,True,False,True
EXACT_GROUP_00011,@dewihanijayanti,@USER,3,3,1,1,1,Mass Actor,Mass–Mass,MASS_2cb5eb58d86c;MASS_cafb30649b29;MASS_d80f99a7c462,fridayaks212;userbo876;yulisa5559,7428460654102790918;7429572436117046022;7435144301711622967,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,Maryame,,False,True,False,True
EXACT_GROUP_00012,@dr. ika,@USER. Ika,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_58449ada4507;MASS_b8f18ac10593,911.nbl;agathachristie.s,7172112002096055067;7189635676022817563,7167562475641048347,https://www.tiktok.com/@notforsheil/video/7167562475641048347?_r=1&_t=ZS-977Ufvqeo8w,Maryame,,False,True,False,False
EXACT_GROUP_00013,@dr.okypratamaa,@USER.okypratamaa,3,3,1,1,1,Mass Actor,Mass–Mass,MASS_1ee222856b55;MASS_2fbabdc17221;MASS_4f5306b3baf1,dw16_;leninuraeni126;tiwi_tiwie92,7428575097294750470;7428577905620615957;7429169368314430214,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,Maryame,,False,True,False,True
EXACT_GROUP_00014,@dr.okypratamaa_kedua,@USER.okypratamaa_kedua,11,11,1,1,1,Mass Actor,Mass–Mass,MASS_031a4c41de1e;MASS_0351de140be6;MASS_16eb74e7db40;MASS_2fbabdc17221;MASS_976755fbd926;MASS_bb48c3db7fda;MASS_bca0ccd357da;MASS_c5b678c5f9d4;MASS_d82d569ed357;MASS_dc9ba16076b3;MASS_f3e60bac8a16,acil_acill2;araara110425;casperlucu;inurhayati_;iyadizar;melaaati.02;nta.oc97;nurlayla_1997;taurapertiwye;tiwi_tiwie92;xryylaa__,7428552813149717254;7428589184938672897;7428805551389164305;7428825099907990273;7429001558136308486;7429141352237171461;7429161711531197190;7429169467084718854;7429211420481323781;7429226799822897925;7461073253299028757,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,Maryame,,False,True,False,True
