group_rank,cluster_id,n_comments,n_accounts,n_videos,n_brands,n_pair_edges_observed,possible_pair_count,edge_density,min_pair_similarity,mean_pair_similarity,max_pair_similarity,cluster_cohesion,cluster_quality_flag,generic_comment_share,very_short_comment_share,similarity_categories,primary_similarity_category,actor_pair_types,actor_types,network_positions,brands,video_ids,video_urls,hcc_ids,representative_comment_texts,dominant_normalized_texts,contains_community_actor,contains_mass_actor,contains_individual_actor,contains_community_mass_lcn_edge,contains_pre_lcn_multi_evidence,presentation_eligible,screenshot_eligible,screenshot_priority_score
1,SIM_CLUSTER_00005,149,149,48,4,10097,11026,0.915745,0.8650283697782319,0.917463834840692,1.0,0.8650283697782319,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7167562475641048347;7182401543491128602;7185096421220158747;7188119070884056347;7194330759329631514;7208499827234131226;7235406683676167430;7237379067773766917;7242204399928593669;...(+36),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;...(+43),,aku cocok banget pake maryame hasilnya lebih halus dan nyaman di kulit || aku cocok banget pake daviena hasilnya lebih halus dan nyaman di kulit || aku cocok banget pake davina hasilnya lebih halus dan nyaman di kulit || aku cocok banget pake originote hasilnya lebih halus dan nyaman di kulit,aku cocok banget pake maryame hasilnya lebih halus dan nyaman di kulit || aku cocok banget pake daviena hasilnya lebih halus dan nyaman di kulit || aku cocok banget pake davina hasilnya lebih halus dan nyaman di kulit || aku cocok banget pake originote hasilnya lebih halus dan nyaman di kulit,False,True,False,False,False,True,True,11.956545
2,SIM_CLUSTER_00006,149,149,46,4,11026,11026,1.0,0.8842666732053079,0.9363933763742371,1.0,0.8842666732053079,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;NEAR_EXACT;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7182401543491128602;7185096421220158747;7194330759329631514;7222981366173011226;7235406683676167430;7237379067773766917;7242204399928593669;7262186413284822277;7270117302614478086;...(+34),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;...(+41),,produk maryame menurutku worth it efeknya pelan tapi kerasa || produk daviena menurutku worth it efeknya pelan tapi kerasa || produk davina menurutku worth it efeknya pelan tapi kerasa || produk originote menurutku worth it efeknya pelan tapi kerasa,produk maryame menurutku worth it efeknya pelan tapi kerasa || produk daviena menurutku worth it efeknya pelan tapi kerasa || produk davina menurutku worth it efeknya pelan tapi kerasa || produk originote menurutku worth it efeknya pelan tapi kerasa,False,True,False,False,False,True,True,11.935709
3,SIM_CLUSTER_00010,149,149,46,4,10169,11026,0.922275,0.8615578725668526,0.9160157189125266,1.0,0.8615578725668526,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7167562475641048347;7182401543491128602;7185096421220158747;7194330759329631514;7208499827234131226;7235406683676167430;7237379067773766917;7242204399928593669;7258280563352587526;...(+34),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;...(+41),,suka banget sama maryame karena kulitku jadi lebih terawat || suka banget sama daviena karena kulitku jadi lebih terawat || suka banget sama davina karena kulitku jadi lebih terawat || suka banget sama originote karena kulitku jadi lebih terawat,suka banget sama maryame karena kulitku jadi lebih terawat || suka banget sama daviena karena kulitku jadi lebih terawat || suka banget sama davina karena kulitku jadi lebih terawat || suka banget sama originote karena kulitku jadi lebih terawat,False,True,False,False,False,True,True,11.935709
4,SIM_CLUSTER_00009,149,149,45,4,11026,11026,1.0,0.9072375085181827,0.9496133028689949,1.0,0.9072375085181827,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;NEAR_EXACT;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7167562475641048347;7185096421220158747;7188119070884056347;7194330759329631514;7235406683676167430;7237379067773766917;7242204399928593669;7262186413284822277;7270117302614478086;...(+33),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;...(+40),,teksturnya ringan gampang meresap dan hasil maryame keliatan bagus || teksturnya ringan gampang meresap dan hasil daviena keliatan bagus || teksturnya ringan gampang meresap dan hasil davina keliatan bagus || teksturnya ringan gampang meresap dan hasil originote keliatan bagus,teksturnya ringan gampang meresap dan hasil maryame keliatan bagus || teksturnya ringan gampang meresap dan hasil daviena keliatan bagus || teksturnya ringan gampang meresap dan hasil davina keliatan bagus || teksturnya ringan gampang meresap dan hasil originote keliatan bagus,False,True,False,False,False,True,True,11.924956
5,SIM_CLUSTER_00012,148,148,45,4,10878,10878,1.0,0.8917297698057567,0.9407779160860548,1.0,0.8917297698057567,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;NEAR_EXACT;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7167562475641048347;7182401543491128602;7185096421220158747;7188119070884056347;7194330759329631514;7208499827234131226;7222981366173011226;7235406683676167430;7237379067773766917;...(+33),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;...(+40),,menurutku maryame bagus buat daily skincare hasilnya konsisten || menurutku daviena bagus buat daily skincare hasilnya konsisten || menurutku davina bagus buat daily skincare hasilnya konsisten || menurutku originote bagus buat daily skincare hasilnya konsisten,menurutku maryame bagus buat daily skincare hasilnya konsisten || menurutku daviena bagus buat daily skincare hasilnya konsisten || menurutku davina bagus buat daily skincare hasilnya konsisten || menurutku originote bagus buat daily skincare hasilnya konsisten,False,True,False,False,False,True,True,11.918267
6,SIM_CLUSTER_00013,148,148,45,4,10878,10878,1.0,0.8754668046748838,0.9314544391169649,1.0,0.8754668046748838,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;NEAR_EXACT;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7145783136914296090;7167562475641048347;7185096421220158747;7194330759329631514;7208499827234131226;7222981366173011226;7235406683676167430;7237379067773766917;7242204399928593669;7258280563352587526;7262186413284822277;...(+33),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;...(+40),,senang banget nemu maryame karena cocok dan tidak bikin berat di wajah || senang banget nemu daviena karena cocok dan tidak bikin berat di wajah || senang banget nemu davina karena cocok dan tidak bikin berat di wajah || senang banget nemu originote karena cocok dan tidak bikin berat di wajah,senang banget nemu maryame karena cocok dan tidak bikin berat di wajah || senang banget nemu daviena karena cocok dan tidak bikin berat di wajah || senang banget nemu davina karena cocok dan tidak bikin berat di wajah || senang banget nemu originote karena cocok dan tidak bikin berat di wajah,False,True,False,False,False,True,True,11.918267
7,SIM_CLUSTER_00014,148,148,45,4,9992,10878,0.918551,0.8539983274283574,0.9110185102345589,1.0,0.8539983274283574,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7182401543491128602;7185096421220158747;7188119070884056347;7194330759329631514;7208499827234131226;7235406683676167430;7237379067773766917;7242204399928593669;7258280563352587526;...(+33),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;...(+40),,hasil pakai maryame bikin kulit terasa lebih cerah dan sehat || hasil pakai daviena bikin kulit terasa lebih cerah dan sehat || hasil pakai davina bikin kulit terasa lebih cerah dan sehat || hasil pakai originote bikin kulit terasa lebih cerah dan sehat,hasil pakai maryame bikin kulit terasa lebih cerah dan sehat || hasil pakai daviena bikin kulit terasa lebih cerah dan sehat || hasil pakai davina bikin kulit terasa lebih cerah dan sehat || hasil pakai originote bikin kulit terasa lebih cerah dan sehat,False,True,False,False,False,True,True,11.918267
8,SIM_CLUSTER_00007,149,149,44,4,11026,11026,1.0,0.8768459625633724,0.9326690665329229,1.0,0.8768459625633724,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;NEAR_EXACT;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7145783136914296090;7182401543491128602;7185096421220158747;7188119070884056347;7194330759329631514;7222981366173011226;7235406683676167430;7237379067773766917;7242204399928593669;7258280563352587526;7262186413284822277;...(+32),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;...(+39),,setelah rutin pakai maryame kulitku terasa lebih sehat dan lembap || setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap || setelah rutin pakai davina kulitku terasa lebih sehat dan lembap || setelah rutin pakai originote kulitku terasa lebih sehat dan lembap,setelah rutin pakai maryame kulitku terasa lebih sehat dan lembap || setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap || setelah rutin pakai davina kulitku terasa lebih sehat dan lembap || setelah rutin pakai originote kulitku terasa lebih sehat dan lembap,False,True,False,False,False,True,True,11.913967
9,SIM_CLUSTER_00008,149,149,43,4,11026,11026,1.0,0.8528812857445439,0.919148805759754,1.0,0.8528812857445439,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7185096421220158747;7188119070884056347;7194330759329631514;7208499827234131226;7235406683676167430;7237379067773766917;7242204399928593669;7258280563352587526;7262186413284822277;...(+31),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;https://www.tiktok.com/@daviena_dvn/video/7389110955214490886?_r=1&_t=ZS-9707GPqX4Ub;...(+38),,review ini bikin makin yakin karena maryame ternyata cocok di aku || review ini bikin makin yakin karena daviena ternyata cocok di aku || review ini bikin makin yakin karena davina ternyata cocok di aku || review ini bikin makin yakin karena originote ternyata cocok di aku,review ini bikin makin yakin karena maryame ternyata cocok di aku || review ini bikin makin yakin karena daviena ternyata cocok di aku || review ini bikin makin yakin karena davina ternyata cocok di aku || review ini bikin makin yakin karena originote ternyata cocok di aku,False,True,False,False,False,True,True,11.90273
10,SIM_CLUSTER_00011,149,149,43,4,11026,11026,1.0,0.8760696002300701,0.9316284015660519,1.0,0.8760696002300701,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,0.0,0.0,EXACT_DUPLICATE;NEAR_EXACT;HIGH_SIMILARITY,EXACT_DUPLICATE,Mass–Mass,Mass Actor,Outside LCN,Azarine;Daviena;Maryame;The Originote,7122773893844061466;7129446710400601371;7145783136914296090;7182401543491128602;7185096421220158747;7188119070884056347;7194330759329631514;7222981366173011226;7235406683676167430;7237379067773766917;7242204399928593669;7262186413284822277;...(+31),https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj;https://www.tiktok.com/@afikarrhnur/video/7327630114282573061?_r=1&_t=ZS-977QMH6uaMn;https://www.tiktok.com/@asabelavvv/video/7270117302614478086?_r=1&_t=ZS-9706u4RZCe9;https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;...(+38),,pakai maryame beberapa minggu hasilnya positif dan nyaman banget || pakai daviena beberapa minggu hasilnya positif dan nyaman banget || pakai davina beberapa minggu hasilnya positif dan nyaman banget || pakai originote beberapa minggu hasilnya positif dan nyaman banget,pakai maryame beberapa minggu hasilnya positif dan nyaman banget || pakai daviena beberapa minggu hasilnya positif dan nyaman banget || pakai davina beberapa minggu hasilnya positif dan nyaman banget || pakai originote beberapa minggu hasilnya positif dan nyaman banget,False,True,False,False,False,True,True,11.90273
