trial_id,model_id,revision,training_mode,seed,fold,loss,learning_rate,max_length,warmup_ratio,weight_decay,focal_gamma,best_epoch,best_validation_macro_f1,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,coverage,positive_recall,positive_precision,positive_f1,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_support,ece,brier_score,mean_confidence
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,1,weighted_cross_entropy,1e-05,128,0.06,0.01,,1,0.050738452233542154,0.05612244897959184,0.050738452233542154,0.05311599979283338,0.055251092485135045,-0.4576855739595213,1.0,0.027777777777777776,0.022222222222222223,0.024691358024691357,0.05172413793103448,0.031914893617021274,0.039473684210526314,94,0.07526881720430108,0.10606060606060606,0.0880503144654088,66,36,0.669163641728917,1.4157042160936568,0.725286066532135
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,2,weighted_cross_entropy,1e-05,128,0.06,0.01,,3,0.07202732569821177,0.06984126984126984,0.07202732569821177,0.07142187395351952,0.09177045177045177,-0.30402163015411987,1.0,0.11428571428571428,0.08163265306122448,0.09523809523809523,0.03428571428571429,0.12,0.05333333333333334,50,0.19047619047619047,0.041025641025641026,0.06751054852320675,195,70,0.5828876252212222,1.2911795983005294,0.6511563062667847
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,3,weighted_cross_entropy,1e-05,128,0.06,0.01,,3,0.05911330049261084,0.06060606060606061,0.05911330049261084,0.06848783400507538,0.05923489278752436,-0.38827956288349635,1.0,0.0625,0.023809523809523808,0.034482758620689655,0.03125,0.02631578947368421,0.02857142857142857,38,0.16,0.08888888888888889,0.11428571428571428,45,16,0.6082404406383785,1.3165890868634773,0.6688464283943176
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,4,weighted_cross_entropy,1e-05,128,0.06,0.01,,4,0.03790849673202614,0.04132231404958678,0.03790849673202614,0.04994328309836331,0.040365296803652966,-0.3711992434848833,1.0,0.0,0.0,0.0,0.03333333333333333,0.08,0.047058823529411764,25,0.17647058823529413,0.0410958904109589,0.06666666666666667,73,23,0.599360532504468,1.313598030042836,0.6406828165054321
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,5,weighted_cross_entropy,1e-05,128,0.06,0.01,,1,0.04305555555555555,0.043478260869565216,0.04305555555555555,0.05736714975845411,0.04666666666666667,-0.35005811013797805,1.0,0.1,0.045454545454545456,0.0625,0.0,0.0,0.0,9,0.2,0.04,0.06666666666666667,50,10,0.6347416695477306,1.3322272762645329,0.6782199740409851
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,ALL_OOF,weighted_cross_entropy,1e-05,128,0.06,0.01,,3,0.05787725379659516,0.05875,0.05787725379659516,0.06349555542298056,0.060822451145031785,-0.4013827296020963,1.0,0.07096774193548387,0.043824701195219126,0.054187192118226604,0.03314917127071823,0.05555555555555555,0.04152249134948097,216,0.12834224598930483,0.055944055944055944,0.07792207792207792,429,155,0.6135073753818869,1.3317637038949297,0.672257375381887
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,1,weighted_cross_entropy,1e-05,128,0.06,0.01,,8,0.42235456494849305,0.42857142857142855,0.42235456494849305,0.4652536861135621,0.4049537932516656,0.1464829528223971,1.0,0.25,0.1232876712328767,0.1651376146788991,0.5,0.40425531914893614,0.4470588235294118,94,0.7872340425531915,0.5606060606060606,0.6548672566371682,66,36,0.27578048909805253,0.7632243954164707,0.5139950513839722
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,2,weighted_cross_entropy,1e-05,128,0.06,0.01,,7,0.30820156019397005,0.40634920634920635,0.30820156019397005,0.44443440458620725,0.3031013431013431,0.031503959327565854,1.0,0.18571428571428572,0.15294117647058825,0.16774193548387098,0.10588235294117647,0.18,0.13333333333333333,50,0.7310344827586207,0.5435897435897435,0.6235294117647059,195,70,0.08662703018339854,0.7045751988143585,0.4462370276451111
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,3,weighted_cross_entropy,1e-05,128,0.06,0.01,,6,0.3432437583380979,0.41414141414141414,0.3432437583380979,0.41355926330197346,0.3628654970760234,0.130556785573704,1.0,0.25,0.10810810810810811,0.1509433962264151,0.23529411764705882,0.10526315789473684,0.14545454545454545,38,0.7333333333333333,0.7333333333333333,0.7333333333333333,45,16,0.19122789724908693,0.7338721329727343,0.4886644780635834
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,4,weighted_cross_entropy,1e-05,128,0.06,0.01,,7,0.33820551106284785,0.48760330578512395,0.33820551106284785,0.5057775404500975,0.3319356759976176,0.11821125770131742,1.0,0.043478260869565216,0.037037037037037035,0.04,0.21428571428571427,0.24,0.22641509433962265,25,0.7878787878787878,0.7123287671232876,0.7482014388489209,73,23,0.1105331170164849,0.6492992786898261,0.4609735906124115
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,5,weighted_cross_entropy,1e-05,128,0.06,0.01,,6,0.3467281510759772,0.5652173913043478,0.3467281510759772,0.6031200473544519,0.3437037037037037,0.14274859975105234,1.0,0.2,0.14285714285714285,0.16666666666666666,0.07692307692307693,0.1111111111111111,0.09090909090909091,9,0.8571428571428571,0.72,0.782608695652174,50,10,0.1735364660836648,0.6527504307589399,0.4613170921802521
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,ALL_OOF,weighted_cross_entropy,1e-05,128,0.06,0.01,,7,0.36572493507008463,0.43875,0.36572493507008463,0.4665543626955333,0.3569999693655608,0.12197922735706519,1.0,0.1870967741935484,0.1228813559322034,0.1483375959079284,0.2648401826484018,0.26851851851851855,0.26666666666666666,216,0.7652173913043478,0.6153846153846154,0.6821705426356589,429,155,0.14965268965810538,0.7097393784203598,0.47161771420389414
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,1,weighted_cross_entropy,1e-05,128,0.06,0.01,,7,0.6302409743057581,0.6581632653061225,0.6302409743057581,0.6643907753558803,0.6379038613081166,0.4635442353637265,1.0,0.5555555555555556,0.425531914893617,0.4819277108433735,0.7303370786516854,0.6914893617021277,0.7103825136612022,94,0.7333333333333333,0.6666666666666666,0.6984126984126984,66,36,0.10005009326399589,0.5026970929254896,0.586356520652771
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,2,weighted_cross_entropy,1e-05,128,0.06,0.01,,8,0.5794645938027392,0.638095238095238,0.5794645938027392,0.6458385428290004,0.6098168498168498,0.3798661486533029,1.0,0.45714285714285713,0.5,0.47761194029850745,0.425,0.68,0.5230769230769231,50,0.7894736842105263,0.6923076923076923,0.7377049180327869,195,70,0.1315384728567941,0.5525870232598564,0.5148410201072693
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,3,weighted_cross_entropy,1e-05,128,0.06,0.01,,7,0.6468334919987307,0.6666666666666666,0.6468334919987307,0.6690679403857699,0.6599902534113061,0.4736696083517561,1.0,0.625,0.5,0.5555555555555556,0.7105263157894737,0.7105263157894737,0.7105263157894737,38,0.7073170731707317,0.6444444444444445,0.6744186046511628,45,16,0.1484157346715831,0.5021108326276471,0.5855051875114441
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,4,weighted_cross_entropy,1e-05,128,0.06,0.01,,4,0.6806603773584906,0.7272727272727273,0.6806603773584906,0.7271310878943812,0.6875203494143339,0.5165842476154822,1.0,0.5217391304347826,0.5454545454545454,0.5333333333333333,0.6785714285714286,0.76,0.7169811320754716,25,0.8028169014084507,0.7808219178082192,0.7916666666666666,73,23,0.20361179458208323,0.47552118063313664,0.5284566283226013
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,5,weighted_cross_entropy,1e-05,128,0.06,0.01,,2,0.596975280973488,0.7246376811594203,0.596975280973488,0.7301044930495557,0.6222222222222222,0.4094478025591781,1.0,0.4,0.5,0.4444444444444444,0.42857142857142855,0.6666666666666666,0.5217391304347826,9,0.851063829787234,0.8,0.8247422680412371,50,10,0.24342754267264102,0.5327220753088765,0.5231137871742249
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,ALL_OOF,weighted_cross_entropy,1e-05,128,0.06,0.01,,7,0.6293146654926973,0.6675,0.6293146654926973,0.6704083347916544,0.6377518638271326,0.4614616112742951,1.0,0.5032258064516129,0.484472049689441,0.4936708860759494,0.606425702811245,0.6990740740740741,0.6494623655913978,216,0.782051282051282,0.710955710955711,0.7448107448107448,429,155,0.12840028237551446,0.5207480012791372,0.5438798888400197
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,1,weighted_cross_entropy,2e-05,192,0.1,0.05,,1,0.05837440545687352,0.061224489795918366,0.05837440545687352,0.05780360646500113,0.0645103517443943,-0.43441372206775763,1.0,0.05555555555555555,0.0392156862745098,0.04597701149425287,0.057692307692307696,0.031914893617021274,0.0410958904109589,94,0.07526881720430108,0.10606060606060606,0.0880503144654088,66,36,0.6606085510278235,1.4044275782380327,0.7218330502510071
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,2,weighted_cross_entropy,2e-05,192,0.1,0.05,,2,0.0719348332386142,0.06984126984126984,0.0719348332386142,0.07147372884009129,0.09177045177045177,-0.30206994603291604,1.0,0.11428571428571428,0.08080808080808081,0.09467455621301775,0.03428571428571429,0.12,0.05333333333333334,50,0.1951219512195122,0.041025641025641026,0.06779661016949153,195,70,0.5767654489903223,1.2776089329329259,0.6450679898262024
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,3,weighted_cross_entropy,2e-05,192,0.1,0.05,,3,0.06908212560386473,0.0707070707070707,0.06908212560386473,0.08033962816571512,0.06800682261208578,-0.3659252498574779,1.0,0.0625,0.022727272727272728,0.03333333333333333,0.06451612903225806,0.05263157894736842,0.057971014492753624,38,0.16666666666666666,0.08888888888888889,0.11594202898550725,45,16,0.5676062305768331,1.259110065843237,0.6383132934570312
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,4,weighted_cross_entropy,2e-05,192,0.1,0.05,,2,0.03809523809523809,0.04132231404958678,0.03809523809523809,0.050059031877213694,0.040365296803652966,-0.37033384160727634,1.0,0.0,0.0,0.0,0.03389830508474576,0.08,0.047619047619047616,25,0.17647058823529413,0.0410958904109589,0.06666666666666667,73,23,0.5982562244431047,1.311410922579404,0.6395785212516785
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,5,weighted_cross_entropy,2e-05,192,0.1,0.05,,1,0.04242424242424242,0.043478260869565216,0.04242424242424242,0.05709266578831796,0.04666666666666667,-0.3487374837004219,1.0,0.1,0.043478260869565216,0.06060606060606061,0.0,0.0,0.0,9,0.2,0.04,0.06666666666666667,50,10,0.6283672171226445,1.320383019659786,0.6718454957008362
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,ALL_OOF,weighted_cross_entropy,2e-05,192,0.1,0.05,,2,0.06047468431716618,0.06125,0.06047468431716618,0.06541033733582852,0.06451619865598361,-0.39386973222384153,1.0,0.07741935483870968,0.04580152671755725,0.05755395683453238,0.036827195467422094,0.06018518518518518,0.04569420035149385,216,0.12972972972972974,0.055944055944055944,0.0781758957654723,429,155,0.6032688153535127,1.3151920821445497,0.6645188153535128
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,1,weighted_cross_entropy,2e-05,192,0.1,0.05,,8,0.5400865276773268,0.5612244897959183,0.5400865276773268,0.5847810988487719,0.5389533634214485,0.3338162314670214,1.0,0.4166666666666667,0.24193548387096775,0.30612244897959184,0.6463414634146342,0.5638297872340425,0.6022727272727273,94,0.8076923076923077,0.6363636363636364,0.711864406779661,66,36,0.10841231260980877,0.5715427395391597,0.5159053206443787
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,2,weighted_cross_entropy,2e-05,192,0.1,0.05,,6,0.4302080389887002,0.5682539682539682,0.4302080389887002,0.576859342945372,0.4318681318681319,0.22718400248634238,1.0,0.35714285714285715,0.29069767441860467,0.32051282051282054,0.2127659574468085,0.2,0.20618556701030927,50,0.7912087912087912,0.7384615384615385,0.7639257294429708,195,70,0.12240343708840627,0.5981121353157756,0.4640079140663147
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,3,weighted_cross_entropy,2e-05,192,0.1,0.05,,7,0.5494132334581773,0.6464646464646465,0.5494132334581773,0.631758786365528,0.5525584795321637,0.41987198675267123,1.0,0.1875,0.3333333333333333,0.24,0.6086956521739131,0.7368421052631579,0.6666666666666666,38,0.75,0.7333333333333333,0.7415730337078652,45,16,0.13436943292617792,0.5380531446237721,0.514874279499054
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,4,weighted_cross_entropy,2e-05,192,0.1,0.05,,8,0.6034843205574912,0.6859504132231405,0.6034843205574912,0.6841592996803639,0.6086082985904308,0.4406615214028971,1.0,0.391304347826087,0.5,0.43902439024390244,0.5161290322580645,0.64,0.5714285714285714,25,0.8055555555555556,0.7945205479452054,0.8,73,23,0.17206778358822025,0.47928619136471245,0.5255107283592224
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,5,weighted_cross_entropy,2e-05,192,0.1,0.05,,7,0.5638009049773757,0.6956521739130435,0.5638009049773757,0.7010951537805759,0.6125925925925927,0.3756692985726097,1.0,0.3,0.42857142857142855,0.35294117647058826,0.4117647058823529,0.7777777777777778,0.5384615384615384,9,0.8444444444444444,0.76,0.8,50,10,0.1739607777284539,0.5011969090186161,0.5230041146278381
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,52,ALL_OOF,weighted_cross_entropy,2e-05,192,0.1,0.05,,7,0.536778263044411,0.605,0.536778263044411,0.6134665962148306,0.5389607405736437,0.35960249422731205,1.0,0.3548387096774194,0.3021978021978022,0.3264094955489614,0.5112107623318386,0.5277777777777778,0.5193621867881549,216,0.7974683544303798,0.7342657342657343,0.7645631067961165,429,155,0.11253873728215692,0.5578389709616409,0.4974082121998072
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,1,weighted_cross_entropy,2e-05,192,0.1,0.05,,6,0.633432870395506,0.6683673469387755,0.633432870395506,0.6708686893040907,0.6365785514721685,0.47233953407220375,1.0,0.5,0.45,0.47368421052631576,0.7362637362637363,0.7127659574468085,0.7243243243243244,94,0.7076923076923077,0.696969696969697,0.7022900763358778,66,36,0.11256883384621873,0.47528235252688367,0.6271877884864807
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,2,weighted_cross_entropy,2e-05,192,0.1,0.05,,6,0.6121177676053021,0.6761904761904762,0.6121177676053021,0.6843678464712432,0.6345299145299146,0.4371197284768848,1.0,0.5,0.6140350877192983,0.5511811023622047,0.4125,0.66,0.5076923076923077,50,0.8146067415730337,0.7435897435897436,0.7774798927613941,195,70,0.13629466938594031,0.5000369463622231,0.5647166967391968
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,3,weighted_cross_entropy,2e-05,192,0.1,0.05,,5,0.6817999416314023,0.696969696969697,0.6817999416314023,0.6970596081934183,0.6822124756335283,0.5118384601797609,1.0,0.625,0.625,0.625,0.6923076923076923,0.7105263157894737,0.7012987012987013,38,0.7272727272727273,0.7111111111111111,0.7191011235955056,45,16,0.11430971008358579,0.47372894956021333,0.6341355443000793
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,4,weighted_cross_entropy,2e-05,192,0.1,0.05,,6,0.7463037574238219,0.7768595041322314,0.7463037574238219,0.7768811105709502,0.7458566607107405,0.5995095439380254,1.0,0.6956521739130435,0.7272727272727273,0.7111111111111111,0.6923076923076923,0.72,0.7058823529411765,25,0.821917808219178,0.821917808219178,0.821917808219178,73,23,0.18360910484613463,0.39759081690386294,0.6165564060211182
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,5,weighted_cross_entropy,2e-05,192,0.1,0.05,,1,0.5856481481481481,0.7101449275362319,0.5856481481481481,0.7183977455716586,0.6155555555555555,0.3911997616225441,1.0,0.4,0.5,0.4444444444444444,0.4,0.6666666666666666,0.5,9,0.8478260869565217,0.78,0.8125,50,10,0.23420372087022537,0.5440998404839966,0.5133602619171143
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,62,ALL_OOF,weighted_cross_entropy,2e-05,192,0.1,0.05,,6,0.658328469026622,0.695,0.658328469026622,0.6961185330860202,0.6617135652081889,0.5000094314870164,1.0,0.535483870967742,0.5804195804195804,0.5570469798657718,0.601593625498008,0.6990740740740741,0.6466809421841542,216,0.7931034482758621,0.7505827505827506,0.7712574850299401,429,155,0.1213460361585021,0.47902190380574217,0.592023981846869
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr3em05_len256_warm0.06_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,1,weighted_cross_entropy,3e-05,256,0.06,0.05,,6,0.08474084806707409,0.08673469387755102,0.08474084806707409,0.08310289564369021,0.09667597965470305,-0.3490623866220533,1.0,0.1111111111111111,0.05333333333333334,0.07207207207207207,0.1,0.0425531914893617,0.05970149253731343,94,0.1111111111111111,0.13636363636363635,0.12244897959183673,66,36,0.49986646263575063,1.132739612939054,0.586601197719574
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr3em05_len256_warm0.06_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,2,weighted_cross_entropy,3e-05,256,0.06,0.05,,1,0.06823711134804837,0.06666666666666667,0.06823711134804837,0.06892489913023506,0.087008547008547,-0.30983406592831214,1.0,0.1,0.07291666666666667,0.08433734939759036,0.03389830508474576,0.12,0.05286343612334802,50,0.19047619047619047,0.041025641025641026,0.06751054852320675,195,70,0.5878632448968433,1.2925089590346175,0.652962327003479
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr3em05_len256_warm0.06_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,3,weighted_cross_entropy,3e-05,256,0.06,0.05,,1,0.05911330049261084,0.06060606060606061,0.05911330049261084,0.06848783400507538,0.05923489278752436,-0.38827956288349635,1.0,0.0625,0.023809523809523808,0.034482758620689655,0.03125,0.02631578947368421,0.02857142857142857,38,0.16,0.08888888888888889,0.11428571428571428,45,16,0.6110890965269069,1.3210576025767944,0.6716950535774231
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr3em05_len256_warm0.06_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,42,4,weighted_cross_entropy,3e-05,256,0.06,0.05,,1,0.03772609819121447,0.04132231404958678,0.03772609819121447,0.04983022615157921,0.040365296803652966,-0.3721533964411016,1.0,0.0,0.0,0.0,0.03278688524590164,0.08,0.046511627906976744,25,0.17647058823529413,0.0410958904109589,0.06666666666666667,73,23,0.6104845493293006,1.3348018080740718,0.6518068909645081
