trial_id,model_id,revision,training_mode,loss,learning_rate,max_length,warmup_ratio,weight_decay,focal_gamma,n_seeds,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_mcc,std_mcc,mean_positive_recall,std_positive_recall,mean_positive_precision,std_positive_precision,mean_positive_f1,std_positive_f1,mean_ece,std_ece,mean_brier_score,std_brier_score,mean_mean_confidence,std_mean_confidence,selected_for_freeze,median_best_epoch
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr3em05_len256_warm0.06_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,weighted_cross_entropy,3e-05,256,0.06,0.05,,3,0.49625,0.30052731434374924,0.47244219399408866,0.28477369589279805,0.4994409145421554,0.29844552702570204,0.47867780367780366,0.28599063666849245,0.22929495699465793,0.4207798010131546,0.39999999999999997,0.22055333560544368,0.4012208386918427,0.2514586799681417,0.39803434094327117,0.23910381525708688,0.27542358652999005,0.199134284207688,0.7160869414332467,0.3644428512565264,0.6084017052625615,0.028893632683224573,True,6.0
apriandito__indobert-sentiment-classifier__class_balanced_focal_loss_lr3em05_len192_warm0.06_wd0.05_g2p0,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,class_balanced_focal_loss,3e-05,192,0.06,0.05,2.0,3,0.4875,0.2943442570641844,0.4645905041555338,0.2791851729614284,0.49173927585565586,0.2929119316532132,0.47262207127798533,0.28169669178003615,0.21809800144124836,0.41206645775776657,0.4043010752688172,0.22257804787846217,0.3823314422100131,0.23788713190965027,0.3908526385615874,0.23351317741689498,0.2931751468032598,0.1858981285158849,0.7383460162822368,0.3471133418658603,0.5694434171418349,0.04152508384364004,False,6.0
apriandito__indobert-sentiment-classifier__focal_loss_lr3em05_len128_warm0.1_wd0.05_g2p0,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,focal_loss,3e-05,128,0.1,0.05,2.0,3,0.48583333333333334,0.2940545111974233,0.4635235411759142,0.279354392486582,0.4900124271398328,0.292803339943722,0.47184147327516507,0.28212280095828374,0.21593682533468717,0.41167644641315154,0.4043010752688172,0.22732718842110497,0.38099361678488725,0.23925814001204182,0.3903024693568056,0.2362575598035144,0.2922095166891813,0.1865988271299828,0.7393754810285857,0.3461596769958498,0.5677676569422085,0.04177505826630853,False,6.0
apriandito__indobert-sentiment-classifier__class_balanced_focal_loss_lr2em05_len128_warm0.1_wd0.01_g1p5,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,class_balanced_focal_loss,2e-05,128,0.1,0.01,1.5,3,0.45291666666666663,0.2805079717623409,0.4195518027732918,0.25976375006891383,0.4582138472175595,0.280660936681053,0.42421464437593476,0.2611979436086917,0.1557164908431716,0.39538015613558997,0.3354838709677419,0.20203611495153623,0.30622334730614986,0.20926073592392078,0.3189910042004989,0.20693572887447334,0.29242427803575993,0.22282812437148264,0.7933213612293478,0.3734656522640702,0.569778031334281,0.07266385520919603,False,6.0
apriandito__indobert-sentiment-classifier__focal_loss_lr2em05_len256_warm0.06_wd0.01_g1p5,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,focal_loss,2e-05,256,0.06,0.01,1.5,3,0.45208333333333334,0.2800396797281096,0.4189396583463985,0.2591695428988242,0.45755806162293083,0.28030500860637786,0.42389908644388924,0.260785623520239,0.15475006497024343,0.39530155330322925,0.33763440860215055,0.19922383790139292,0.30586217608321936,0.20606470718874964,0.319753339504788,0.20402304812350425,0.29376785444716613,0.22343349298013224,0.7944716409165617,0.3739535031190392,0.5700180758039156,0.07393226060307133,False,7.0
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr2em05_len192_warm0.1_wd0.05_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,weighted_cross_entropy,2e-05,192,0.1,0.05,,3,0.45375000000000004,0.2799609347748361,0.41852713879606646,0.25799842798274714,0.4583318222122264,0.2798789090842024,0.4217301681459387,0.2575117201061184,0.1552473978301623,0.3924926699075385,0.3225806451612903,0.18839004269312498,0.3094729697783133,0.2183175239317391,0.3136701440830885,0.2041160426833224,0.2790511962647239,0.22928467098649305,0.7840176523039776,0.37697280070415956,0.5846503364667296,0.06842156778016152,False,6.0
indolem__indobertweet-base-uncased__weighted_cross_entropy_lr3em05_len256_warm0.06_wd0.05_gna,indolem/indobertweet-base-uncased,32e28c05b47e33b6675d2670a1745c50a65e987a,frozen_encoder_linear_head_cpu,weighted_cross_entropy,3e-05,256,0.06,0.05,,3,0.4025,0.03858162343223347,0.38035645967773024,0.030089165579706853,0.42202311529074804,0.04050319138897641,0.39332405945309173,0.026648125601698488,0.10314699613718999,0.04843256571441806,0.34838709677419355,0.013937076770769585,0.21886245254829464,0.03681321064942289,0.26763259101438014,0.03022083124291975,0.09354918138434488,0.0318984999485733,0.6790722734703611,0.018233525840627113,0.49416922463725016,0.009476343079979983,False,7.0
indolem__indobertweet-base-uncased__focal_loss_lr3em05_len128_warm0.1_wd0.05_g2p0,indolem/indobertweet-base-uncased,32e28c05b47e33b6675d2670a1745c50a65e987a,frozen_encoder_linear_head_cpu,focal_loss,3e-05,128,0.1,0.05,2.0,3,0.39625,0.03751388631782459,0.3757974102277324,0.029882727653291384,0.415185126704837,0.04021314918870085,0.38999342287872757,0.02610092720124862,0.09546280752564118,0.04835527397149322,0.35698924731182796,0.01994326558171119,0.22068056113118337,0.03487203149801203,0.27164960182456954,0.029618762454348867,0.09499738037586213,0.03127560142699775,0.6798238630762166,0.018140677190690156,0.48958333082497124,0.008900667811697356,False,7.0
indolem__indobertweet-base-uncased__class_balanced_focal_loss_lr3em05_len192_warm0.06_wd0.05_g2p0,indolem/indobertweet-base-uncased,32e28c05b47e33b6675d2670a1745c50a65e987a,frozen_encoder_linear_head_cpu,class_balanced_focal_loss,3e-05,192,0.06,0.05,2.0,3,0.39625,0.0397780299495421,0.3754326187668285,0.03254723849483657,0.41533935081841333,0.042315643181770016,0.3888223286072748,0.029347176488165948,0.09387469211578377,0.05249654053005054,0.3526881720430108,0.021931266725130263,0.2195822559453636,0.038576355821618766,0.2696020282755523,0.0339654325581234,0.09606734541555245,0.03274183139239213,0.6802912733595975,0.01930536367431709,0.48964344849189123,0.00873072771491453,False,6.0
apriandito__indobert-sentiment-classifier__weighted_cross_entropy_lr1em05_len128_warm0.06_wd0.01_gna,apriandito/indobert-sentiment-classifier,ba24f8cea1c00090cc4fce2b63c61ed307943a78,frozen_encoder_linear_head_cpu,weighted_cross_entropy,1e-05,128,0.06,0.01,,3,0.38833333333333336,0.25106509226803225,0.3509722847864591,0.23352146138242966,0.40015275097005604,0.2521807036895804,0.35185809477924174,0.2355585078915279,0.06068603634308798,0.35491100348689336,0.253763440860215,0.18265649348461135,0.21705936893895453,0.19182395581048073,0.23206522470070146,0.18893423226284614,0.2971867824718356,0.22384064916520577,0.8540836945314755,0.3464708536731829,0.5625849928086003,0.08297179880441909,False,6.0
