model_id,model_family,text_mode,max_length,learning_rate,warmup_ratio,weight_decay,classifier_dropout,loss,label_smoothing,focal_gamma,trial_id,status
indobenchmark/indobert-large-p2,large,context_sep_comment,128,8e-06,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-large-p2__context_sep_comment__len128__lr8p0em06__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,PENDING
indobenchmark/indobert-large-p2,large,context_sep_comment,192,1e-05,0.1,0.05,0.2,weighted_cross_entropy,0.03,2.0,indobenchmark__indobert-large-p2__context_sep_comment__len192__lr1p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,PENDING
indobenchmark/indobert-large-p2,large,context_sep_comment,256,1.5e-05,0.06,0.05,0.3,focal_loss,0.05,2.0,indobenchmark__indobert-large-p2__context_sep_comment__len256__lr1p5em05__warm0p06__wd0p05__drop0p3__focal_loss__ls0p05,PENDING
indobenchmark/indobert-large-p2,large,comment_only,192,2e-05,0.1,0.01,0.1,weighted_cross_entropy,0.0,2.0,indobenchmark__indobert-large-p2__comment_only__len192__lr2p0em05__warm0p1__wd0p01__drop0p1__weighted_cross_entropy__ls0p0,PENDING
indobenchmark/indobert-large-p2,large,comment_only,128,1.5e-05,0.06,0.01,0.2,focal_loss,0.03,2.0,indobenchmark__indobert-large-p2__comment_only__len128__lr1p5em05__warm0p06__wd0p01__drop0p2__focal_loss__ls0p03,PENDING
indobenchmark/indobert-large-p2,large,context_sep_comment,256,8e-06,0.1,0.01,0.2,weighted_cross_entropy,0.0,2.0,indobenchmark__indobert-large-p2__context_sep_comment__len256__lr8p0em06__warm0p1__wd0p01__drop0p2__weighted_cross_entropy__ls0p0,PENDING
indobenchmark/indobert-large-p2,large,context_sep_comment,192,2e-05,0.06,0.05,0.3,cross_entropy,0.05,2.0,indobenchmark__indobert-large-p2__context_sep_comment__len192__lr2p0em05__warm0p06__wd0p05__drop0p3__cross_entropy__ls0p05,PENDING
indobenchmark/indobert-large-p2,large,comment_only,256,1e-05,0.1,0.05,0.1,focal_loss,0.05,2.0,indobenchmark__indobert-large-p2__comment_only__len256__lr1p0em05__warm0p1__wd0p05__drop0p1__focal_loss__ls0p05,PENDING
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,PENDING
indobenchmark/indobert-base-p2,base,context_sep_comment,192,2e-05,0.1,0.05,0.2,weighted_cross_entropy,0.03,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len192__lr2p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,PENDING
indobenchmark/indobert-base-p2,base,context_sep_comment,256,3e-05,0.06,0.05,0.3,focal_loss,0.05,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len256__lr3p0em05__warm0p06__wd0p05__drop0p3__focal_loss__ls0p05,PENDING
