large_trial_id,fold,large_macro_f1,base_macro_f1,large_selection_score,base_selection_score,large_accuracy,base_accuracy,large_min_class_recall,base_min_class_recall,large_wins_macro_f1,large_wins_selection_score
indobenchmark__indobert-large-p2__context_sep_comment__len128__lr8p0em06__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,1,0.8010594299411015,0.8530379399045569,0.7904608285220333,0.8476174428602509,0.8141592920353983,0.8613569321533924,0.6666666666666666,0.7701149425287356,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len128__lr8p0em06__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,2,0.8342058869498404,0.8695526695526695,0.8328751635580082,0.8649518428439935,0.8377581120943953,0.8761061946902655,0.7721518987341772,0.8045977011494253,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len128__lr8p0em06__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,3,0.8209333421221148,0.8799520167941219,0.8087154240145908,0.8785157483273301,0.8289085545722714,0.887905604719764,0.6818181818181818,0.8409090909090909,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len128__lr8p0em06__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,4,0.7917598501790941,0.8311964526043906,0.782633435372275,0.8269028163697646,0.8082595870206489,0.8436578171091446,0.6551724137931034,0.7471264367816092,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len128__lr8p0em06__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,5,0.8985233555458274,0.9350884298468376,0.8907150504424083,0.9363238829940168,0.9188034188034188,0.9487179487179488,0.776595744680851,0.9042553191489362,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len192__lr1p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,1,0.8034528446353075,0.8530379399045569,0.790987078758139,0.8476174428602509,0.8200589970501475,0.8613569321533924,0.632183908045977,0.7701149425287356,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len192__lr1p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,2,0.8032670761900208,0.8695526695526695,0.793541710734311,0.8649518428439935,0.8112094395280236,0.8761061946902655,0.6781609195402298,0.8045977011494253,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len192__lr1p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,3,0.8268245351508599,0.8799520167941219,0.8132003975775774,0.8785157483273301,0.8377581120943953,0.887905604719764,0.6590909090909091,0.8409090909090909,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len192__lr1p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,4,0.8004412536530263,0.8311964526043906,0.7916499526562332,0.8269028163697646,0.8141592920353983,0.8436578171091446,0.6666666666666666,0.7471264367816092,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len192__lr1p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,5,0.90418318377766,0.9350884298468376,0.8990381447152089,0.9363238829940168,0.9230769230769232,0.9487179487179488,0.8085106382978723,0.9042553191489362,False,False
