candidate_id,candidate_type,trial_id,seed,component_seeds,stage,n,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,min_class_recall,positive_recall,selection_score_raw,selection_score,selection_penalty,seed_instability_penalty,class_collapse,negative_prediction_share,negative_prediction_drift,probability_finite,probability_sum_valid,oof_complete,auto_disqualified,ece,brier_score,negative_precision,negative_recall,negative_f1,negative_support,predicted_negative,neutral_precision,neutral_recall,neutral_f1,neutral_support,predicted_neutral,positive_precision,positive_f1,positive_support,predicted_positive
top2_probability_blend__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__PLUS__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,top2_probability_blend,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0 + indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,"42,52,62","42,52,62",stage2,977,0.7911975435005117,0.7440157075228736,0.7931118492194997,0.7524049797537598,0.6423499379130049,0.6179775280898876,0.7956521739130434,0.7165592428895365,0.7165592428895365,0.0,0.0,False,0.18730808597748208,0.005117707267144306,True,True,True,False,0.05050748381537703,0.10356798937570723,0.6010928961748634,0.6179775280898876,0.6094182825484764,178,183,0.8872458410351202,0.843585237258348,0.8648648648648649,569,541,0.7233201581027668,0.7577639751552795,230,253
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,seed_majority_vote,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.7881269191402251,0.7408617843500753,0.790667896146604,0.751527647443828,0.6391830375581787,0.6067415730337079,0.8130434782608695,0.7157316867391181,0.7081480380676136,0.007583648671504491,0.007583648671504491,False,0.19242579324462641,0.01023541453428864,True,True,True,False,0.14329580348004095,0.1187308085977482,0.574468085106383,0.6067415730337079,0.5901639344262295,178,188,0.8895131086142322,0.8347978910369068,0.8612873980054397,569,534,0.7333333333333333,0.7711340206185567,230,255
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed52,single_seed,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,52,52,stage2,977,0.7676560900716479,0.7252996804116548,0.7736443229759298,0.74362164013864,0.6134625651950949,0.6573033707865169,0.7739130434782608,0.7058070278129597,0.7058070278129597,0.0,0.0,False,0.21903787103377687,0.03684749232343909,True,True,True,False,0.0846453751670912,0.12285302298081102,0.5467289719626168,0.6573033707865169,0.5969387755102041,178,214,0.8956692913385826,0.7996485061511424,0.8449396471680595,569,508,0.6980392156862745,0.734020618556701,230,255
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,seed_majority_vote,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.7809621289662231,0.7372874831590428,0.7866739255713179,0.7520841078246446,0.6321345523314388,0.6685393258426966,0.7652173913043478,0.7152772168413452,0.7057654491024694,0.009511767738875741,0.009511767738875741,False,0.22313203684749233,0.04094165813715456,True,True,True,False,0.13783691572842033,0.12070207361916674,0.5458715596330275,0.6685393258426966,0.601010101010101,178,218,0.8982725527831094,0.8224956063268892,0.8587155963302753,569,521,0.7394957983193278,0.7521367521367521,230,238
single__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025__seed42,single_seed,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,42,42,stage2,977,0.7830092118730808,0.7327013716441209,0.7860606863949695,0.7416575444826311,0.6293215934666644,0.6292134831460674,0.7521739130434782,0.7037297405229752,0.7037297405229752,0.0,0.0,False,0.195496417604913,0.013306038894575212,True,True,True,False,0.10825184393319527,0.11562920667500186,0.5863874345549738,0.6292134831460674,0.6070460704607046,178,191,0.8921933085501859,0.843585237258348,0.8672086720867209,569,538,0.6975806451612904,0.7238493723849372,230,248
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,seed_majority_vote,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.7840327533265097,0.7358743184489462,0.7877222171507371,0.7483042181837538,0.6344166546257536,0.6179775280898876,0.7956521739130434,0.7117588471409031,0.7035114825033212,0.008247364637581857,0.008247364637581857,False,0.1985670419651996,0.016376663254861812,True,True,True,False,0.13817809621289665,0.11880662648318739,0.5670103092783505,0.6179775280898876,0.5913978494623656,178,194,0.8975332068311196,0.8312829525483304,0.8631386861313869,569,527,0.71484375,0.7530864197530864,230,256
single__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed42,single_seed,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,42,42,stage2,977,0.7850562947799385,0.733411953296593,0.78767635175058,0.7406955869234673,0.6311575645165993,0.6123595505617978,0.7608695652173914,0.7029608007180369,0.7029608007180369,0.0,0.0,False,0.195496417604913,0.013306038894575212,True,True,True,False,0.15216590846939249,0.12218343642708772,0.5706806282722513,0.6123595505617978,0.5907859078590786,178,191,0.8878676470588235,0.8488576449912126,0.8679245283018868,569,544,0.7231404958677686,0.7415254237288136,230,242
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,seed_majority_vote,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.7686796315250768,0.7235641943704261,0.7746707631461058,0.7416504756843355,0.6153118472659658,0.6348314606741573,0.7869565217391304,0.7039856921209139,0.7023915603266174,0.0015941317942964961,0.0015941317942964961,False,0.21392016376663256,0.031729785056294785,True,True,True,False,0.17639031047424084,0.13139239546609047,0.5406698564593302,0.6348314606741573,0.5839793281653747,178,209,0.9013806706114399,0.8031634446397188,0.8494423791821561,569,507,0.6934865900383141,0.7372708757637475,230,261
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,seed_probability_average,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.789150460593654,0.7376082185611637,0.7902286654869398,0.7456792900522548,0.6384990819915269,0.5786516853932584,0.8130434782608695,0.7094495266268491,0.7018658779553446,0.007583648671504491,0.007583648671504491,False,0.1780962128966223,0.004094165813715467,True,True,True,False,0.05988004674166836,0.10489929415885,0.5919540229885057,0.5786516853932584,0.5852272727272727,178,174,0.8874538745387454,0.8453427065026362,0.8658865886588659,569,542,0.7164750957854407,0.7617107942973523,230,261
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed62,single_seed,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,62,62,stage2,977,0.7737973387922211,0.7276222962167141,0.7766562298313574,0.7390255475528363,0.6156392973191772,0.5955056179775281,0.8043478260869565,0.7015064265778651,0.7015064265778651,0.0,0.0,False,0.195496417604913,0.013306038894575212,True,True,True,False,0.10365506106779789,0.12090025144292611,0.5549738219895288,0.5955056179775281,0.5745257452574526,178,191,0.8757062146892656,0.8172231985940246,0.8454545454545455,569,531,0.7254901960784313,0.7628865979381443,230,255
