seed,fold,row_index,annotation_id,comment_id,final_human_label,cv_group_id
42,1,0,V5D0001,7378281168229483270,Neutral,7378281168229483270
42,1,1,V5D0002,7428465430732063494,Neutral,7428465430732063494
42,1,3,V5D0005,7431462545418732293,Neutral,7431462545418732293
42,1,12,V5D0014,7469753688882676487,Neutral,7469753688882676487
42,1,14,V5D0016,7371856064096404229,Neutral,7371856064096404229
42,1,21,V5D0023,7396971488672334598,Neutral,7396971488672334598
42,1,23,V5D0025,7341658925454639877,Positive,7341658925454639877
42,1,32,V5D0035,7363277976844141318,Neutral,7363277976844141318
42,1,33,V5D0036,7268087108450173701,Positive,7268087108450173701
42,1,35,V5D0038,7389280868278518534,Neutral,7389280868278518534
42,1,39,V5D0042,7422546942758273797,Neutral,7422546942758273797
42,1,50,V5D0053,7354309625463702278,Positive,7354309625463702278
42,1,51,V5D0054,7430708336749921030,Neutral,7430708336749921030
42,1,53,V5D0056,7428793818436403973,Neutral,7428793818436403973
42,1,57,V5D0060,7421232745344631558,Neutral,7421232745344631558
42,1,58,V5D0061,7422641132512019206,Negative,7422641132512019206
42,1,63,V5D0066,7291827364518291296A,Positive,7291827364518291296A
42,1,67,V5D0070,7388449877641118469,Positive,7388449877641118469
42,1,69,V5D0072,7597067551230657298,Negative,7597067551230657298
42,1,70,V5D0073,7286629712545628933,Positive,7286629712545628933
42,1,72,V5D0075,7226177713979540251,Neutral,7226177713979540251
42,1,74,V5D0077,7421913700023452421,Negative,7421913700023452421
42,1,78,V5D0081,7416355159028400901,Neutral,7416355159028400901
42,1,83,V5D0086,7421359329776141062,Positive,7421359329776141062
42,1,84,V5D0087,7428494080936723208,Neutral,7428494080936723208
42,1,87,V5D0090,7225442410770301723,Neutral,7225442410770301723
42,1,90,V5D0093,7313205855935775493,Neutral,7313205855935775493
42,1,96,V5D0099,7499435142189089554,Neutral,7499435142189089554
42,1,97,V5D0100,7312037181693952774,Neutral,7312037181693952774
42,1,98,V5D0101,7287822127722152710,Neutral,7287822127722152710
42,1,99,V5D0102,7282403867173126917,Neutral,7282403867173126917
42,1,104,V5D0107,7402212044461572870,Neutral,7402212044461572870
42,1,110,V5D0113,7262282647929701125,Positive,7262282647929701125
42,1,114,V5D0117,7429583930292650757,Positive,7429583930292650757
42,1,119,V5D0123,7134405182801068827,Neutral,7134405182801068827
42,1,120,V5D0124,7422276782764147461,Negative,7422276782764147461
42,1,129,V5D0133,7614004630998500116,Neutral,7614004630998500116
42,1,131,V5D0135,7456403019271668488,Positive,7456403019271668488
42,1,133,V5D0137,7426041386850337541,Neutral,7426041386850337541
42,1,134,V5D0138,7429237295297889032,Positive,7429237295297889032
42,1,135,V5D0139,7596484652115280661,Negative,7596484652115280661
42,1,136,V5D0141,7389488816266887942,Neutral,7389488816266887942
42,1,138,V5D0143,7182175934395532058,Positive,7182175934395532058
42,1,139,V5D0144,7253468669740024582,Positive,7253468669740024582
42,1,144,V5D0149,7428586108319171348,Neutral,7428586108319171348
42,1,146,V5D0151,7435202005210465079,Positive,7435202005210465079
42,1,151,V5D0156,7428692227004957448,Positive,7428692227004957448
42,1,154,V5D0159,7449888684188992263,Positive,7449888684188992263
42,1,156,V5D0161,7422487958329180934,Neutral,7422487958329180934
42,1,158,V5D0163,7422345438684529414,Neutral,7422345438684529414
42,1,159,V5D0164,7428925775191982854,Neutral,7428925775191982854
42,1,161,V5D0166,7462280135233471239,Neutral,7462280135233471239
42,1,165,V5D0170,7321544623800058630,Positive,7321544623800058630
42,1,168,V5D0174,7421487316415972101,Negative,7421487316415972101
42,1,169,V5D0175,7481651910073647877,Positive,7481651910073647877
42,1,171,V5D0177,7341256392731640582,Neutral,7341256392731640582
42,1,173,V5D0180,7422622090471555846,Negative,7422622090471555846
42,1,178,V5D0185,7188798174281106181,Neutral,7188798174281106181
