input_mode,max_length,learning_rate,classifier_dropout,loss,label_smoothing,warmup_ratio,weight_decay,model_id,trial_id,stage,seed,fold,best_epoch,max_epochs,early_stopping_patience,class_weights_source,class_weights_negative,class_weights_neutral,class_weights_positive,model_revision,training_seconds,n,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,min_class_recall,positive_recall,selection_score_raw,selection_score,class_collapse,auto_disqualified,negative_prediction_share,negative_prediction_drift,predicted_negative,predicted_neutral,predicted_positive,ece,brier_score,mean_confidence,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_f1,positive_support
comment_only,128,3e-05,0.1,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,stage1,42,ALL_OOF,3,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,15.02182388305664,977,0.7676560900716479,0.7209773567865442,0.7737573843955694,0.735833884957168,0.6100738337335004,0.6685393258426966,0.7217391304347827,0.696350455879974,0.696350455879974,False,False,0.2262026612077789,0.04401228249744113,221,520,236,0.14594230214429363,0.12920235518080986,0.9092632603803945,0.5384615384615384,0.6685393258426966,0.5964912280701754,178,0.8942307692307693,0.8172231985940246,0.8539944903581267,569,0.7033898305084746,0.7124463519313304,230
comment_only,128,1e-05,0.2,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,stage1,42,ALL_OOF,7,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,20.11317276954651,977,0.7615148413510747,0.7084236447847218,0.7664224295002398,0.7242579693546131,0.6017763203837435,0.5730337078651685,0.7913043478260869,0.6850392195650938,0.6850392195650938,False,False,0.1914022517911975,0.009211873080859773,187,510,280,0.07067628270405954,0.1206853774093823,0.8153085481669056,0.5454545454545454,0.5730337078651685,0.5589041095890411,178,0.9019607843137255,0.8084358523725835,0.8526413345690455,569,0.65,0.7137254901960784,230
context_sep_comment,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage1,42,ALL_OOF,4,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,16.197594165802002,977,0.7625383828045036,0.7087530854927738,0.7691613792952823,0.7221700123260382,0.6010331528544736,0.6292134831460674,0.7130434782608696,0.6812943677605614,0.6812943677605614,False,False,0.2210849539406346,0.038894575230296824,216,520,241,0.0604200883860964,0.11636125777997065,0.8119291129656433,0.5185185185185185,0.6292134831460674,0.5685279187817259,178,0.9019230769230769,0.8242530755711776,0.8613406795224977,569,0.6804979253112033,0.6963906581740976,230
context_sep_comment,128,3e-05,0.1,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,stage1,42,ALL_OOF,4,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,16.272813081741333,977,0.7461617195496417,0.698220255797524,0.7561753080197746,0.7188076396824593,0.5840729822911652,0.651685393258427,0.717391304347826,0.677800778962526,0.677800778962526,False,False,0.2436028659160696,0.061412487205731836,238,493,246,0.12192863283894322,0.13310126381679088,0.868090352388585,0.48739495798319327,0.651685393258427,0.5576923076923077,178,0.9087221095334685,0.7873462214411248,0.8436911487758946,569,0.6707317073170732,0.6932773109243697,230
context_sep_comment,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage1,42,ALL_OOF,6,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,20.745800256729126,977,0.7635619242579325,0.7046573315033013,0.7660187533322774,0.7090073375271054,0.5917815281915527,0.5842696629213483,0.6956521739130435,0.6664884777576123,0.6664884777576123,False,False,0.1985670419651996,0.016376663254861812,194,553,230,0.08906182353913848,0.11785511955076962,0.8493026686849467,0.5360824742268041,0.5842696629213483,0.5591397849462365,178,0.8716094032549728,0.8471001757469244,0.8591800356506238,569,0.6956521739130435,0.6956521739130435,230
comment_only,128,2e-05,0.3,weighted_cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p3__weighted_cross_entropy__ls0p025,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,16.849832773208618,977,0.7543500511770727,0.6958533179527654,0.7584239276164608,0.7076788613453783,0.5849778605594435,0.5449438202247191,0.7608695652173914,0.6660841842443259,0.6660841842443259,False,True,0.1883316274309109,0.0061412487205731725,184,523,270,0.05822223071066114,0.12252093631936135,0.8062145170072206,0.5271739130434783,0.5449438202247191,0.5359116022099447,178,0.8891013384321224,0.8172231985940246,0.8516483516483516,569,0.6481481481481481,0.7,230
comment_only,128,2e-05,0.1,focal_loss_gamma_1.0,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p1__focal_loss_gamma_1.0__ls0p0,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.40682053565979,977,0.7523029682702149,0.6983015583929881,0.7568567088954713,0.7064237919151836,0.577330011284754,0.601123595505618,0.6956521739130435,0.6634576640645445,0.6634576640645445,False,False,0.2139201637666325,0.031729785056294785,209,539,229,0.12493410794981427,0.12343823962683968,0.8763081425288073,0.5119617224880383,0.601123595505618,0.5529715762273901,178,0.8682745825602969,0.8224956063268892,0.8447653429602888,569,0.6986899563318777,0.6971677559912854,230
comment_only,128,2e-05,0.1,cross_entropy,0.05,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p1__cross_entropy__ls0p05,stage1,42,ALL_OOF,6,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,15.235439538955688,977,0.7533265097236438,0.6973596025880523,0.7568589039420112,0.7035724905265225,0.5765698938725764,0.5898876404494382,0.691304347826087,0.6602135012543439,0.6602135012543439,False,False,0.2067553735926305,0.024564994882292718,202,546,229,0.13357302958303974,0.1255628745003863,0.8867221495390183,0.5198019801980198,0.5898876404494382,0.5526315789473685,178,0.8644688644688645,0.8295254833040422,0.8466367713004485,569,0.6943231441048034,0.6928104575163399,230
comment_only,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.834676027297974,977,0.7584442169907881,0.6977461098291791,0.7582695424797994,0.7001341640745355,0.5798394682009114,0.5168539325842697,0.7434782608695653,0.6574032937799987,0.6574032937799987,False,True,0.1750255885363357,0.007164790174002067,171,561,245,0.11889418962668011,0.12296089616097376,0.8720037806607561,0.5380116959064327,0.5168539325842697,0.5272206303724928,178,0.8520499108734403,0.8400702987697716,0.8460176991150442,569,0.6979591836734694,0.72,230
context_sep_comment,128,1e-05,0.1,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr1em05__drop0p1__cross_entropy__ls0p0,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,18.67176580429077,977,0.759467758444217,0.6956584096543529,0.7603638998458176,0.6993997817544299,0.583951933892251,0.5337078651685393,0.717391304347826,0.65622320889259,0.65622320889259,False,True,0.1740020470829068,0.008188331627430906,170,553,254,0.06463948798155224,0.11445001189793047,0.8235754289548985,0.5588235294117647,0.5337078651685393,0.5459770114942529,178,0.8716094032549728,0.8471001757469244,0.8591800356506238,569,0.6496062992125984,0.6818181818181818,230
