model_id,family,feature_kind,classifier_kind,class_weight_policy,calibration_method,char_analyzer,char_ngram_min,char_ngram_max,char_min_df,char_max_features,word_ngram_min,word_ngram_max,word_min_df,word_max_features,c_value,temperature,random_seeds,run_status
char_wb_3_6_linearsvc_balanced,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,char_wb,3.0,6.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
word_1_2_linearsvc_balanced,TF-IDF word n-gram + LinearSVC,word,linearsvc,balanced,decision_softmax,char_wb,3.0,5.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
word_char_linearsvc_balanced,TF-IDF word-character FeatureUnion + LinearSVC,word_char,linearsvc,balanced,decision_softmax,char_wb,3.0,5.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
char_wb_3_6_linearsvc_inverse_frequency,TF-IDF character n-gram + LinearSVC,char,linearsvc,inverse_frequency,decision_softmax,char_wb,3.0,6.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
word_1_2_linearsvc_inverse_frequency,TF-IDF word n-gram + LinearSVC,word,linearsvc,inverse_frequency,decision_softmax,char_wb,3.0,5.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
word_char_linearsvc_inverse_frequency,TF-IDF word-character FeatureUnion + LinearSVC,word_char,linearsvc,inverse_frequency,decision_softmax,char_wb,3.0,5.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
char_wb_3_6_linearsvc_sqrt_inverse_frequency,TF-IDF character n-gram + LinearSVC,char,linearsvc,sqrt_inverse_frequency,decision_softmax,char_wb,3.0,6.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
word_1_2_linearsvc_sqrt_inverse_frequency,TF-IDF word n-gram + LinearSVC,word,linearsvc,sqrt_inverse_frequency,decision_softmax,char_wb,3.0,5.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
word_char_linearsvc_sqrt_inverse_frequency,TF-IDF word-character FeatureUnion + LinearSVC,word_char,linearsvc,sqrt_inverse_frequency,decision_softmax,char_wb,3.0,5.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
char_wb_3_6_linearsvc_manual_moderate_1,TF-IDF character n-gram + LinearSVC,char,linearsvc,manual_moderate_1,decision_softmax,char_wb,3.0,6.0,2.0,100000.0,1.0,2.0,2.0,50000.0,1.0,1.0,42;52;62;72;82,development_oof_run
