id,label,degree,weighted_degree,betweenness,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,dominant_sentiment,positive_ratio,neutral_ratio,negative_ratio,evaluable_coverage,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_validation_status,goal_method,effective_sample_size
reviewjujur_ip2228,reviewjujur_ip2228,31,19.25,0.0006467228084978822,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
skinlover_ip4667,skinlover_ip4667,31,19.125,0.0006624455876533436,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
glowhunter_ip9119,glowhunter_ip9119,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
skincare_ip7443,skincare_ip7443,31,19.0,0.0006624455876533436,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
skinbestie_ip1027,skinbestie_ip1027,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
skinclub_ip8942,skinclub_ip8942,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
kulitglowing_ip4767,kulitglowing_ip4767,31,19.0,0.000663773133921186,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
kulitglowing_ip9832,kulitglowing_ip9832,31,19.0,0.0006624455876533436,5,The Originote,The Originote,The Originote,High,Low,Neutral,0.34375,0.59375,0.0625,1.0,Neutral Engagement,Assigned,High,0.25,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,55.939064025878906
skinclub_ip8582,skinclub_ip8582,16,12.625,0.00017728531855955678,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
racun_ip2774,racun_ip2774,15,11.428571428571429,3.60832468260621e-05,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
skincare_ip2565,skincare_ip2565,15,11.035714285714286,3.60832468260621e-05,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
glowhunter_ip7849,glowhunter_ip7849,15,11.035714285714286,8.882029987953747e-05,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
reviewjujur_ip9284,reviewjujur_ip9284,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
glowhunter_ip4395,glowhunter_ip4395,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
skinlover_ip4018,skinlover_ip4018,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
glowhunter_ip2869,glowhunter_ip2869,14,10.5,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
beautyvibe_ct78952,beautyvibe_ct78952,5,9.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.3888888888888889,0.6111111111111112,0.0,1.0,Neutral Engagement,Assigned,High,0.22222222222222227,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,16.469295501708984
reviewjujur_ct97003,reviewjujur_ct97003,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.3888888888888889,0.6111111111111112,0.0,1.0,Neutral Engagement,Assigned,High,0.22222222222222227,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,16.469295501708984
kulitglowing_ip7028,kulitglowing_ip7028,14,8.875,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low,Positive,0.5,0.45,0.05,1.0,Mixed Goals,Assigned,Low,0.04999999999999999,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,34.40110778808594
kulitcerah_ct29113,kulitcerah_ct29113,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.3888888888888889,0.6111111111111112,0.0,1.0,Neutral Engagement,Assigned,High,0.22222222222222227,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,16.469295501708984
reviewjujur_ct39243,reviewjujur_ct39243,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.3888888888888889,0.6111111111111112,0.0,1.0,Neutral Engagement,Assigned,High,0.22222222222222227,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,16.469295501708984
reviewjujur_ct55350,reviewjujur_ct55350,5,8.875,0.0,50,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,Neutral,0.3888888888888889,0.6111111111111112,0.0,1.0,Neutral Engagement,Assigned,High,0.22222222222222227,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,16.469295501708984
cantik_ip9501,cantik_ip9501,8,8.660714285714286,0.0004357745962839807,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Neutral,0.4166666666666667,0.4583333333333333,0.125,1.0,Mixed Goals,Assigned,Low,0.04166666666666663,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,42.28269577026367
