Id,Label,actor_type_primary,network_position,is_hcc_member,community,individual_subtype,is_video_creator,degree,weighted_degree,betweenness,n_comments,target_brand_primary,target_brand_label,target_scope,dominant_sentiment_x,account_goal_orientation,account_goal_confidence,exposure_level,hcc_association_status,strong_association_score,contextual_association_score,brand_label_auto,is_lcn_member,is_verified_registry_actor,username_norm,dominant_sentiment_y,positive_ratio,neutral_ratio,negative_ratio,sentiment_v2_coverage,evaluable_comments,sentiment_v2_validation_status
reviewjujur_ip2228,reviewjujur_ip2228,Community Actor,HCC,True,5,,False,31,19.25,0.0005773209503339,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False,reviewjujur_ip2228,Neutral,0.14285714285714285,0.8571428571428571,0.0,0.875,7.0,FINAL_MODEL_VALIDATED
skinlover_ip4667,skinlover_ip4667,Community Actor,HCC,True,5,,False,31,19.125,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False,skinlover_ip4667,Neutral,0.0,0.7142857142857143,0.2857142857142857,0.875,7.0,FINAL_MODEL_VALIDATED
skinbestie_ip1027,skinbestie_ip1027,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False,skinbestie_ip1027,Neutral,0.2857142857142857,0.7142857142857143,0.0,0.875,7.0,FINAL_MODEL_VALIDATED
skinclub_ip8942,skinclub_ip8942,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False,skinclub_ip8942,Neutral,0.125,0.75,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
kulitglowing_ip9832,kulitglowing_ip9832,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False,kulitglowing_ip9832,Neutral,0.0,0.875,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
skincare_ip7443,skincare_ip7443,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,The Originote,True,False,skincare_ip7443,Neutral,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.875,7.0,FINAL_MODEL_VALIDATED
glowhunter_ip9119,glowhunter_ip9119,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,The Originote,True,False,glowhunter_ip9119,Neutral,0.0,0.875,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
kulitglowing_ip4767,kulitglowing_ip4767,Community Actor,HCC,True,5,,False,31,19.0,0.0005931718901972,8.0,The Originote,The Originote,HCC Brand Context,Positive,Mixed Goals,Low,,,,,The Originote,True,False,kulitglowing_ip4767,Neutral,0.125,0.625,0.25,1.0,8.0,FINAL_MODEL_VALIDATED
reviewjujur_ip204,reviewjujur_ip204,Mass Actor,LCN Non-HCC,False,5,,False,27,17.410714285714285,0.0007443222315595,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False,reviewjujur_ip204,Neutral,0.0,0.75,0.25,1.0,8.0,FINAL_MODEL_VALIDATED
glowhunter_ip6597,glowhunter_ip6597,Mass Actor,LCN Non-HCC,False,5,,False,27,17.410714285714285,0.0007470961460355,8.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Temporal Association,Unique Temporal Association,2.0,26.0,Non-HCC,True,False,glowhunter_ip6597,Neutral,0.25,0.625,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
beautyvibe_ip3082,beautyvibe_ip3082,Mass Actor,LCN Non-HCC,False,5,,False,27,17.410714285714285,0.0013157486136317,10.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,26.0,Non-HCC,True,False,beautyvibe_ip3082,Neutral,0.0,1.0,0.0,1.0,8.0,FINAL_MODEL_VALIDATED
racun_ip3473,racun_ip3473,Mass Actor,LCN Non-HCC,False,5,,False,25,16.94642857142857,0.0072539069599233,12.0,Azarine,Azarine,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,41.0,Non-HCC,True,False,racun_ip3473,Neutral,0.0,0.75,0.25,1.0,8.0,FINAL_MODEL_VALIDATED
reviewjujur_ip6999,reviewjujur_ip6999,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Mixed,Polarized / Contested,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False,reviewjujur_ip6999,Neutral,0.0,1.0,0.0,0.875,7.0,FINAL_MODEL_VALIDATED
skinlover_ip8042,skinlover_ip8042,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False,skinlover_ip8042,Neutral,0.25,0.625,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
kulitglowing_ip9395,kulitglowing_ip9395,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False,kulitglowing_ip9395,Neutral,0.0,0.875,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
beautyvibe_ip1727,beautyvibe_ip1727,Mass Actor,LCN Non-HCC,False,5,,False,26,16.875,0.0003226872311955,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False,beautyvibe_ip1727,Neutral,0.0,1.0,0.0,1.0,8.0,FINAL_MODEL_VALIDATED
cantik_ip3598,cantik_ip3598,Mass Actor,LCN Non-HCC,False,5,,False,21,14.5,0.0,8.0,The Originote,The Originote,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,29.0,Non-HCC,True,False,cantik_ip3598,Neutral,0.0,0.8333333333333334,0.16666666666666666,0.75,6.0,FINAL_MODEL_VALIDATED
skinbestie_ip5105,skinbestie_ip5105,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,Mixed_2_Brands,Mixed_2_Brands,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,29.0,Non-HCC,True,False,skinbestie_ip5105,Neutral,0.125,0.875,0.0,1.0,8.0,FINAL_MODEL_VALIDATED
racun_ip6205,racun_ip6205,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,,,Associated HCC Brand Context,Negative,Critical / Complaint,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False,racun_ip6205,Neutral,0.0,1.0,0.0,1.0,8.0,FINAL_MODEL_VALIDATED
glowup_ip5653,glowup_ip5653,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False,glowup_ip5653,Neutral,0.0,0.875,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
glowhunter_ip7986,glowhunter_ip7986,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False,glowhunter_ip7986,Neutral,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.875,7.0,FINAL_MODEL_VALIDATED
skinclub_ip4711,skinclub_ip4711,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,29.0,Non-HCC,True,False,skinclub_ip4711,Neutral,0.125,0.875,0.0,1.0,8.0,FINAL_MODEL_VALIDATED
skinclub_ip8582,skinclub_ip8582,Community Actor,HCC,True,54,,False,16,12.5,0.0001386957238039,12.0,Azarine,Azarine,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Azarine,True,False,skinclub_ip8582,Neutral,0.14285714285714285,0.8571428571428571,0.0,1.0,7.0,FINAL_MODEL_VALIDATED
skintok_ct62066,skintok_ct62066,Mass Actor,LCN Non-HCC,False,120,,False,17,12.375,0.0030028830253325,11.0,,,Associated HCC Brand Context,Negative,Critical / Complaint,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False,skintok_ct62066,Neutral,0.25,0.5,0.25,1.0,4.0,FINAL_MODEL_VALIDATED
racun_ip2774,racun_ip2774,Community Actor,HCC,True,54,,False,15,11.428571428571429,9.708700666275866e-05,7.0,Azarine,Azarine,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Azarine,True,False,racun_ip2774,Neutral,0.0,0.5714285714285714,0.42857142857142855,1.0,7.0,FINAL_MODEL_VALIDATED
skincare_ip2565,skincare_ip2565,Community Actor,HCC,True,54,,False,15,11.035714285714286,9.708700666275866e-05,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False,skincare_ip2565,Neutral,0.16666666666666666,0.8333333333333334,0.0,0.8571428571428571,6.0,FINAL_MODEL_VALIDATED
glowhunter_ip7849,glowhunter_ip7849,Community Actor,HCC,True,54,,False,15,11.035714285714285,9.986092113883748e-05,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False,glowhunter_ip7849,Neutral,0.2857142857142857,0.5714285714285714,0.14285714285714285,1.0,7.0,FINAL_MODEL_VALIDATED
reviewjujur_ip9284,reviewjujur_ip9284,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Azarine,True,False,reviewjujur_ip9284,Neutral,0.3333333333333333,0.6666666666666666,0.0,0.8571428571428571,6.0,FINAL_MODEL_VALIDATED
