group,label,count,percentage_of_total,ci_low,ci_high,denominator,table,total_comments,evaluable_comments,coverage,uncertain_count,no_text_count,negative_count,negative_ratio_evaluable,negative_ratio_total,negative_ci_low,negative_ci_high,neutral_count,neutral_ratio_evaluable,neutral_ratio_total,neutral_ci_low,neutral_ci_high,positive_count,positive_ratio_evaluable,positive_ratio_total,positive_ci_low,positive_ci_high,negative_hcc_minus_nonhcc,neutral_hcc_minus_nonhcc,positive_hcc_minus_nonhcc,brand_label_auto,n_comments,n_accounts,n_hccs,support_status,negative_ratio,neutral_ratio,positive_ratio,dominant_sentiment,goal_orientation,n_hcc
Observational,Positive,2718.0,8.220669630705018,0.07929419531796462,0.08521627307826708,33063.0,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observational,Neutral,23977.0,72.51913014547983,0.72035333838405,0.7299769405138292,33063.0,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observational,Negative,4771.0,14.43002752321326,0.14055386210304263,0.14812933647616489,33063.0,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observational,Uncertain,1593.0,4.818074584883404,0.04592443850898413,0.05054203502322041,33063.0,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observational,No Text,4.0,0.012098115718476847,4.7047422554647473e-05,0.00031106358614840324,33063.0,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observational,Evaluable coverage,31466.0,95.16982729939812,,,33063.0,distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC,,,,,,,hcc_vs_nonhcc_comment,945.0,917.0,0.9703703703703703,28.0,0.0,87.0,0.09487459105779716,0.09206349206349207,0.07756191228744493,0.11556750323852608,541.0,0.5899672846237731,0.5724867724867725,0.5578219617579645,0.6213619500027551,289.0,0.31515812431842966,0.3058201058201058,0.28591231747498436,0.3459461910893549,-0.058452850102306275,-0.1771936699082901,0.23564652001059633,,,,,,,,,,,
Non-HCC,,,,,,,hcc_vs_nonhcc_comment,32118.0,30549.0,0.951148888473753,1565.0,4.0,4684.0,0.15332744116010344,0.14583722523195716,0.14933064102182603,0.1574114199195693,23436.0,0.7671609545320632,0.7296842891836354,0.7623880831569213,0.7718666422693381,2429.0,0.07951160430783331,0.07562737405816053,0.07653043961882364,0.08259851027237075,-0.058452850102306275,-0.1771936699082901,0.23564652001059633,,,,,,,,,,,
,,,,,,,goal_orientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral Engagement,31.0
,,,,,,,goal_orientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promotional / Supportive,11.0
,,,,,,,brand,,99,0.9705882352941176,,,8,,,0.041513905489623,0.15141969336531508,50,,,0.4082299868548984,0.6014937047251627,41,,,0.32209342077368147,0.5126038223652817,,,,Azarine,102,18,3,AVAILABLE,0.08080808080808081,0.5050505050505051,0.41414141414141414,Neutral,,
,,,,,,,brand,,202,0.9805825242718447,,,16,,,0.04934066376873903,0.12478157391305128,111,,,0.48060428966299035,0.6165578000215051,75,,,0.30764153049246984,0.4397370363278426,,,,Daviena,206,40,11,AVAILABLE,0.07920792079207921,0.5495049504950495,0.3712871287128713,Neutral,,
,,,,,,,brand,,185,0.9438775510204082,,,21,,,0.0754531197918648,0.16729847731385766,85,,,0.3891997912000829,0.5313685581466712,79,,,0.35794509134751656,0.4990779374766409,,,,Maryame,196,46,8,AVAILABLE,0.11351351351351352,0.4594594594594595,0.42702702702702705,Neutral,,
,,,,,,,brand,,208,0.9765258215962441,,,17,,,0.05165244642559099,0.1269791349068763,114,,,0.4801795589370413,0.6142306041281925,77,,,0.3074805168196702,0.43761204290419903,,,,The Originote,213,49,8,AVAILABLE,0.08173076923076923,0.5480769230769231,0.3701923076923077,Neutral,,
,,,,,,,brand,,51,1.0,,,4,,,0.030921696126931505,0.1850019822486082,40,,,0.6537337712118703,0.8750618875581144,7,,,0.06811015331542726,0.25721952342631627,,,,Mixed_2_Brands,51,13,3,AVAILABLE,0.0784313725490196,0.7843137254901961,0.13725490196078433,Neutral,,
,,,,,,,brand,,172,0.9717514124293786,,,21,,,0.08125884992385682,0.1794394148781013,141,,,0.7555393738198233,0.8700236328862121,10,,,0.03188308865655954,0.10370257480419148,,,,Mixed_3plus_Brands,177,41,9,AVAILABLE,0.12209302325581395,0.8197674418604651,0.05813953488372093,Neutral,,
