username_norm,username,is_hcc_member,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no text_count,negative_ratio,neutral_ratio,positive_ratio,dominant_sentiment
.............za20,.............za20,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.....sulaeman,.....sulaeman,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
....me_cancer,....me_cancer,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
...lee77,...lee77,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.._000112,.._000112,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
..ftr8,..ftr8,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
..melamun,..melamun,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
..riska83,..riska83,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.5th6,.5th6,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
._kikyangel,._kikyangel,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.a.y323,.a.y323,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.abcdefghi58,.abcdefghi58,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.aicrl,.aicrl,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
.akuntidakditemukan028,.akuntidakditemukan028,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.anakewong09,.anakewong09,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.ang_el4_n,.ang_el4_n,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.anuraini,.anuraini,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.asics8,.asics8,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
.atheuy,.atheuy,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.ayamkucing,.ayamkucing,False,2,2,1.0,0,0,2,0,0,1.0,0.0,0.0,Negative
.ayng_,.ayng_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.bakoelgedhang02,.bakoelgedhang02,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.bintang15.3,.bintang15.3,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.black_orchid,.black_orchid,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
.cappucinosusu,.cappucinosusu,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.cloud_25,.cloud_25,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.desember112,.desember112,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
.dfw02,.dfw02,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.dicky_7,.dicky_7,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.elmamirza,.elmamirza,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.em.min,.em.min,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
.fav_02,.fav_02,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.fh.p3,.fh.p3,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.fitri_25,.fitri_25,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.ggg290,.ggg290,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.hahahihi1_,.hahahihi1_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.hana1771,.hana1771,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.icaaahh,.icaaahh,False,2,2,1.0,0,0,2,0,0,1.0,0.0,0.0,Negative
.ind27,.ind27,False,2,2,1.0,1,1,0,0,0,0.0,0.5,0.5,Neutral
.j.r18,.j.r18,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.jesuslovesyou72,.jesuslovesyou72,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.kholifahfurniture,.kholifahfurniture,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.kita89,.kita89,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.lala_85,.lala_85,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.libra137,.libra137,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.lucky_b,.lucky_b,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.m.apip,.m.apip,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.machalatte_1212,.machalatte_1212,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.mailandiah,.mailandiah,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.mamahrio,.mamahrio,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
.mbok_nom,.mbok_nom,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.miss18u,.miss18u,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
.mudahdatangmudahpergi,.mudahdatangmudahpergi,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.nakal147,.nakal147,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
.nareswari,.nareswari,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.ndrana06,.ndrana06,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.niissaaa,.niissaaa,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.niki.nink.thakari,.niki.nink.thakari,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.nisak27,.nisak27,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.nitata,.nitata,False,4,4,1.0,1,3,0,0,0,0.0,0.75,0.25,Neutral
.novitasari_14,.novitasari_14,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
.nurhati,.nurhati,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.nurul003,.nurul003,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.panggilsajahoney,.panggilsajahoney,False,3,3,1.0,0,2,1,0,0,0.3333333333333333,0.6666666666666666,0.0,Neutral
.pendosa4,.pendosa4,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.pirs_,.pirs_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.rey1507,.rey1507,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
.rezzz0a,.rezzz0a,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.ridoagss,.ridoagss,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.risna11,.risna11,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.rista.17,.rista.17,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.saaaaanty,.saaaaanty,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.sagitarius073,.sagitarius073,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.sapadulungana,.sapadulungana,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.sary1405,.sary1405,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.sayang995,.sayang995,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.siskafina,.siskafina,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.skydin,.skydin,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.sm_.._,.sm_.._,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
.sofi1510,.sofi1510,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.susana24,.susana24,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.t23707,.t23707,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.tika555,.tika555,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.tiktok_paylater,.tiktok_paylater,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.titishu,.titishu,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.toriq044,.toriq044,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.usercry_11,.usercry_11,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.v_0x,.v_0x,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
.vika123rahmawati,.vika123rahmawati,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.virgo441,.virgo441,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.xixio,.xixio,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.xylsangri,.xylsangri,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.xyzl__,.xyzl__,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.xyzraa_18,.xyzraa_18,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.yourbadgirl,.yourbadgirl,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
.zzahrah1,.zzahrah1,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
00.00_zero.oclock,00.00_zero.oclock,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
000h000_,000h000_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
00_1hhhi,00_1hhhi,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
00_nanana_00,00_nanana_00,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
00b74,00b74,False,2,2,1.0,0,1,1,0,0,0.5,0.5,0.0,Negative
00butwhoknows,00butwhoknows,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
00rainb0ws4lt,00rainb0ws4lt,False,2,2,1.0,1,1,0,0,0,0.0,0.5,0.5,Neutral
0101ayang0183296850675,0101ayang0183296850675,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
01akudewe,01akudewe,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
01februariulangtahunku,01februariulangtahunku,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
01whoare_you,01whoare_you,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
020326pashakobun,020326pashakobun,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
021117ha,021117ha,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
02nudia98,02nudia98,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
