hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high
1,3,3,21,21,1.0,8,12,1,0,0,0.38095238095238093,0.5714285714285714,0.047619047619047616,0.3596096413808515,0.5670521117063836,0.07333824691276492,19.05927848815918,Neutral,Neutral Engagement,Assigned,Medium,0.19047619047619047,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low,0.008455769471923294,0.22669816586235464,0.3654621629703245,0.7553030051347894,0.20750767797982508,0.5912170418449848
2,6,6,18,18,1.0,6,9,3,0,0,0.3333333333333333,0.5,0.16666666666666666,0.32310284508599174,0.5461328824361166,0.1307642724778917,15.037775993347168,Neutral,Neutral Engagement,Assigned,Medium,0.16666666666666669,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Maryame,Maryame,High,Low,0.058364704004657555,0.3922249963835924,0.2903070395897999,0.7096929604102001,0.16278554363662856,0.5625093065574964
3,5,5,15,15,1.0,3,12,0,0,0,0.2,0.8,0.0,0.1876285570266144,0.74791406706823,0.06445737590515557,13.8502779006958,Neutral,Neutral Engagement,Assigned,High,0.6000000000000001,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low,-2.2096511667503485e-17,0.20388926630434784,0.5481406466534955,0.9295257935638959,0.07047420643610411,0.4518593533465045
5,8,8,64,64,1.0,22,38,4,0,0,0.34375,0.59375,0.0625,0.3162087845237372,0.5918600051382185,0.09193121033804431,55.939064025878906,Neutral,Neutral Engagement,Assigned,High,0.25,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,The Originote,The Originote,The Originote,High,Low,0.024570803674792932,0.14997696642496885,0.4714498650454971,0.7054327556474111,0.2392297503546903,0.46596588182379606
14,3,3,15,15,1.0,8,7,0,0,0,0.5333333333333333,0.4666666666666667,0.0,0.4509312808883699,0.4701603758398841,0.07890834327174596,13.470198631286621,Positive,Mixed Goals,Assigned,Low,0.06666666666666665,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,-2.2096511667503485e-17,0.20388926630434784,0.24809225259746442,0.6988336984894922,0.3011663015105079,0.7519077474025356
15,6,6,18,18,1.0,6,9,3,0,0,0.3333333333333333,0.5,0.16666666666666666,0.2927581999037001,0.562170664469401,0.14507113562689888,15.587356567382812,Neutral,Neutral Engagement,Assigned,Medium,0.16666666666666669,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,The Originote,The Originote,The Originote,High,Low,0.058364704004657555,0.3922249963835924,0.2903070395897999,0.7096929604102001,0.16278554363662856,0.5625093065574964
16,5,5,15,15,1.0,4,10,1,0,0,0.26666666666666666,0.6666666666666666,0.06666666666666667,0.3021765828997526,0.5715689568348311,0.1262544602654163,12.611319541931152,Neutral,Neutral Engagement,Assigned,High,0.39999999999999997,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Daviena,Daviena,Daviena + The Originote,Medium,Low,0.011866588606194882,0.2981707755242399,0.4171312515121298,0.8482389930530875,0.10897276103182815,0.5195088965768675
17,11,11,37,37,1.0,12,23,2,0,0,0.32432432432432434,0.6216216216216216,0.05405405405405406,0.2718289659827909,0.6457116019863361,0.08245943203087301,32.57597351074219,Neutral,Neutral Engagement,Assigned,High,0.29729729729729726,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,0.014950662770539937,0.17704965063539913,0.4610014255281996,0.7593621253610897,0.1963307782081548,0.48536631495176064
18,6,6,18,18,1.0,9,9,0,0,0,0.5,0.5,0.0,0.4635212609582268,0.5006766766197702,0.03580206242200298,16.39473533630371,Neutral,Mixed Goals,Assigned,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,The Originote,The Originote,The Originote,High,Low,0.0,0.1758845505823749,0.2903070395897999,0.7096929604102001,0.2903070395897999,0.7096929604102001
20,3,3,24,24,1.0,9,9,6,0,0,0.375,0.375,0.25,0.4038668393320473,0.41910806458973754,0.17702509607821512,19.94406509399414,Neutral,Polarized / Contested,Assigned,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Daviena,Daviena,Daviena + Maryame,Medium,Low,0.11999203479342334,0.44899825312106445,0.21159133433631455,0.5729038096209293,0.21159133433631455,0.5729038096209293
