hcc_id,v2_goal_orientation,v5_goal_orientation,goal_changed
1,Neutral Engagement,Neutral Engagement,False
103,Neutral Engagement,,True
112,,Mixed Goals,True
113,Promotional / Supportive,Promotional / Supportive,False
114,Promotional / Supportive,,True
116,,Mixed Goals,True
117,Neutral Engagement,,True
130,,Mixed Goals,True
132,Neutral Engagement,,True
133,,Mixed Goals,True
134,Neutral Engagement,,True
14,Neutral Engagement,Mixed Goals,True
15,Neutral Engagement,Neutral Engagement,False
150,Neutral Engagement,Mixed Goals,True
16,Neutral Engagement,Neutral Engagement,False
168,Promotional / Supportive,,True
169,,Mixed Goals,True
17,Neutral Engagement,Neutral Engagement,False
18,Neutral Engagement,Mixed Goals,True
180,Promotional / Supportive,,True
181,Promotional / Supportive,Promotional / Supportive,False
182,Neutral Engagement,Neutral Engagement,False
183,Neutral Engagement,Mixed Goals,True
184,,Mixed Goals,True
191,Promotional / Supportive,,True
193,,Mixed Goals,True
2,Neutral Engagement,Neutral Engagement,False
20,Neutral Engagement,Polarized / Contested,True
204,Promotional / Supportive,Promotional / Supportive,False
205,Promotional / Supportive,Promotional / Supportive,False
206,Promotional / Supportive,Promotional / Supportive,False
3,Neutral Engagement,Neutral Engagement,False
34,Neutral Engagement,Promotional / Supportive,True
40,,Mixed Goals,True
42,Promotional / Supportive,,True
43,,Mixed Goals,True
44,,Mixed Goals,True
45,Neutral Engagement,,True
46,Neutral Engagement,Neutral Engagement,False
47,,Mixed Goals,True
48,Neutral Engagement,Neutral Engagement,False
49,Neutral Engagement,,True
5,Neutral Engagement,Neutral Engagement,False
50,Neutral Engagement,Neutral Engagement,False
52,Neutral Engagement,Mixed Goals,True
53,,Mixed Goals,True
54,Neutral Engagement,,True
58,,Mixed Goals,True
60,Neutral Engagement,,True
62,,Mixed Goals,True
63,Neutral Engagement,,True
73,,Mixed Goals,True
74,Neutral Engagement,Neutral Engagement,False
75,Neutral Engagement,,True
86,,Mixed Goals,True
87,Neutral Engagement,,True
90,Neutral Engagement,Neutral Engagement,False
99,Promotional / Supportive,Promotional / Supportive,False
