view,group,sentiment,rank,term,count,share
hcc_vs_nonhcc,HCC,All,1,retinol,170,0.03632478632478633
hcc_vs_nonhcc,HCC,All,2,niacinamide,104,0.022222222222222223
hcc_vs_nonhcc,HCC,All,3,cocok,83,0.017735042735042734
hcc_vs_nonhcc,HCC,All,4,kulit,81,0.01730769230769231
hcc_vs_nonhcc,HCC,All,5,serum,57,0.01217948717948718
hcc_vs_nonhcc,HCC,All,6,bagus,50,0.010683760683760684
hcc_vs_nonhcc,HCC,All,7,hasilnya,45,0.009615384615384616
hcc_vs_nonhcc,HCC,All,8,enak,43,0.009188034188034188
hcc_vs_nonhcc,HCC,All,9,jerawat,39,0.008333333333333333
hcc_vs_nonhcc,HCC,All,10,emang,37,0.007905982905982906
hcc_vs_nonhcc,HCC,All,11,hari,37,0.007905982905982906
hcc_vs_nonhcc,HCC,All,12,muka,34,0.007264957264957265
hcc_vs_nonhcc,HCC,All,13,dipakai,34,0.007264957264957265
hcc_vs_nonhcc,HCC,All,14,bikin,34,0.007264957264957265
hcc_vs_nonhcc,HCC,All,15,pemakaian,33,0.007051282051282051
hcc_vs_nonhcc,HCC,All,16,cream,32,0.006837606837606838
hcc_vs_nonhcc,HCC,All,17,worth,31,0.006623931623931624
hcc_vs_nonhcc,HCC,All,18,harga,31,0.006623931623931624
hcc_vs_nonhcc,HCC,All,19,skincare,29,0.006196581196581196
hcc_vs_nonhcc,HCC,All,20,tiap,29,0.006196581196581196
hcc_vs_nonhcc,HCC,All,21,sekali,27,0.0057692307692307696
hcc_vs_nonhcc,HCC,All,22,seneng,27,0.0057692307692307696
hcc_vs_nonhcc,HCC,All,23,moist,26,0.005555555555555556
hcc_vs_nonhcc,HCC,All,24,kulitku,24,0.005128205128205128
hcc_vs_nonhcc,HCC,All,25,nemu,24,0.005128205128205128
hcc_vs_nonhcc,HCC,All,26,satu,23,0.004914529914529914
hcc_vs_nonhcc,HCC,All,27,produk,22,0.004700854700854701
hcc_vs_nonhcc,HCC,All,28,lumayan,22,0.004700854700854701
hcc_vs_nonhcc,HCC,All,29,sensitif,21,0.004487179487179487
hcc_vs_nonhcc,HCC,All,30,isinya,21,0.004487179487179487
hcc_vs_nonhcc,HCC,All,31,segitu,21,0.004487179487179487
hcc_vs_nonhcc,HCC,All,32,puas,21,0.004487179487179487
hcc_vs_nonhcc,HCC,All,33,vit,20,0.004273504273504274
hcc_vs_nonhcc,HCC,All,34,salah,20,0.004273504273504274
hcc_vs_nonhcc,HCC,All,35,semoga,19,0.00405982905982906
hcc_vs_nonhcc,HCC,All,36,kombinasi,19,0.00405982905982906
hcc_vs_nonhcc,HCC,All,37,tetep,19,0.00405982905982906
hcc_vs_nonhcc,HCC,All,38,penting,19,0.00405982905982906
hcc_vs_nonhcc,HCC,All,39,pagi,19,0.00405982905982906
hcc_vs_nonhcc,HCC,All,40,wangi,19,0.00405982905982906
hcc_vs_nonhcc,HCC,All,41,cara,19,0.00405982905982906
hcc_vs_nonhcc,HCC,All,42,toner,18,0.0038461538461538464
hcc_vs_nonhcc,HCC,All,43,review,18,0.0038461538461538464
hcc_vs_nonhcc,HCC,All,44,masih,18,0.0038461538461538464
hcc_vs_nonhcc,HCC,All,45,packaging,18,0.0038461538461538464
hcc_vs_nonhcc,HCC,All,46,teksturnya,18,0.0038461538461538464
hcc_vs_nonhcc,HCC,All,47,nyari,18,0.0038461538461538464
