metric,expected,observed,passed,notes
final_locked_test_evaluated_once,FINAL_LOCKED_TEST_EVALUATED_ONCE,FINAL_LOCKED_TEST_EVALUATED_ONCE,True,
model_hash_unchanged,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,True,
threshold,0.42,0.42,True,
dataset_rows,33847,33847,True,
unique_comment_id,33847,33847,True,
observational_count,33063,33063,True,
injected_count,784,784,True,
observational_duplicate_comment_id,0,0,True,
missing_observational_comment_id,0,0,True,
probability_valid,True,True,True,
hcc_count,42,42,True,
hcc_members,218,218,True,
lcn_nodes,724,724,True,
lcn_edges,1357,1357,True,
community_mass_pairs,434823,434823,True,
individual_actor,43,43,True,
community_actor,218,218,True,
mass_actor,26166,26166,True,
comment_similarity_outputs_present,True,True,True,
