hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high
1,3,3,21,20,0.9523809523809523,1,15,4,1,0,0.05,0.75,0.2,0.16663281999979349,0.6016296688140552,0.23173751118615135,13.696743326410102,Neutral,Neutral Engagement,Assigned,High,0.55,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low,0.08065635327119998,0.4160217220257599,0.5312949900419365,0.888139947210597,0.008881219432873143,0.23613589351256678
2,6,6,18,18,1.0,2,11,5,0,0,0.1111111111111111,0.6111111111111112,0.2777777777777778,0.1886835004531882,0.5312729613725707,0.2800435381742411,11.866101158851176,Neutral,Neutral Engagement,Assigned,High,0.33333333333333337,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame,High,Low,0.12499569146355476,0.5087307754619452,0.3861866858065617,0.7969500807306884,0.031018868453582777,0.3280024486660421
3,5,5,15,15,1.0,1,11,3,0,0,0.06666666666666667,0.7333333333333333,0.2,0.16431305772835045,0.6516367255898938,0.18405021668175575,11.631750517268115,Neutral,Neutral Engagement,Assigned,High,0.5333333333333332,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low,0.07047420643610411,0.4518593533465045,0.48049110342313245,0.8910272389681717,0.011866588606194882,0.2981707755242399
5,8,8,64,60,0.9375,6,46,8,4,0,0.1,0.7666666666666667,0.13333333333333333,0.22539457988786057,0.5812841744008017,0.19332124571133774,41.882889175480074,Neutral,Neutral Engagement,Assigned,High,0.6333333333333334,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Low,0.06914026978309641,0.241653945900721,0.6456348865960799,0.8556056838156892,0.04664219945723587,0.20149694492511044
14,3,3,15,14,0.9333333333333333,0,13,1,1,0,0.0,0.9285714285714286,0.07142857142857142,0.16474163819994894,0.6088260463604611,0.22643231543958997,9.600337659661413,Neutral,Neutral Engagement,Assigned,Medium,0.8571428571428572,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,0.012721886112291648,0.3146926955395781,0.6853073044604219,0.9872781138877085,0.0,0.21531701192718142
15,6,6,18,17,0.9444444444444444,0,12,5,1,0,0.0,0.7058823529411765,0.29411764705882354,0.1671124500498194,0.5726075196248611,0.2602800303253196,12.142806668061791,Neutral,Neutral Engagement,Assigned,High,0.411764705882353,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Low,0.13279793865556402,0.5313353332621391,0.468664666737861,0.8672020613444361,0.0,0.18432366037156456
16,5,5,15,15,1.0,1,12,2,0,0,0.06666666666666667,0.8,0.13333333333333333,0.20215978594999254,0.573429711150848,0.2244105028991595,9.87144171290227,Neutral,Neutral Engagement,Assigned,High,0.6666666666666667,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena + The Originote,Medium,Low,0.037360469891359285,0.3788249920651624,0.5481406466534955,0.9295257935638959,0.011866588606194882,0.2981707755242399
17,11,11,37,37,1.0,5,27,5,0,0,0.13513513513513514,0.7297297297297297,0.13513513513513514,0.21253938987135904,0.5795048181673695,0.2079557919612713,24.369120635837852,Neutral,Neutral Engagement,Assigned,High,0.5945945945945945,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,0.059132072625076235,0.27977727470705577,0.5702152452607867,0.8460270175300932,0.059132072625076235,0.27977727470705577
18,6,6,18,18,1.0,0,17,1,0,0,0.0,0.9444444444444444,0.05555555555555555,0.15752231092270083,0.6709106950777177,0.17156699399958142,12.322603201883354,Neutral,Neutral Engagement,Assigned,High,0.8888888888888888,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Low,0.009874935830924522,0.2575779980200754,0.7424220019799247,0.9901250641690756,0.0,0.1758845505823749
20,3,3,24,24,1.0,2,19,3,0,0,0.08333333333333333,0.7916666666666666,0.125,0.19077762687491906,0.554015751984149,0.2552066211409319,15.845188602518085,Neutral,Neutral Engagement,Assigned,High,0.6666666666666666,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena + Maryame,Medium,Low,0.043442550393155845,0.3100428814785757,0.5952915551476453,0.9075531089521192,0.023158327842973517,0.2584921520145059
34,3,3,6,6,1.0,1,5,0,0,0,0.16666666666666666,0.8333333333333334,0.0,0.2156084204010118,0.5885167125916222,0.1958748670073661,3.954702623711865,Neutral,Neutral Engagement,Assigned,Low,0.6666666666666667,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,True,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,0.0,0.3903430336530645,0.4364905634363539,0.9699474141282696,0.030052585871730285,0.563509436563646
42,5,5,23,23,1.0,21,2,0,0,0,0.9130434782608695,0.08695652173913043,0.0,0.6392975577883493,0.16964540381076243,0.1910570384008884,15.955728733552398,Positive,Promotional / Supportive,Assigned,High,0.826086956521739,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena,High,Medium,0.0,0.14312112541726274,0.02417949540723341,0.2679640429809401,0.7320359570190598,0.9758205045927666
45,4,4,24,24,1.0,2,19,3,0,0,0.08333333333333333,0.7916666666666666,0.125,0.18411395412175122,0.6299451791783507,0.18594086669989798,16.501667652492944,Neutral,Neutral Engagement,Assigned,High,0.6666666666666666,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,0.043442550393155845,0.3100428814785757,0.5952915551476453,0.9075531089521192,0.023158327842973517,0.2584921520145059
46,7,7,21,21,1.0,2,17,2,0,0,0.09523809523809523,0.8095238095238095,0.09523809523809523,0.16075649531322783,0.6219446165921675,0.21729888809460476,14.001098998551806,Neutral,Neutral Engagement,Assigned,High,0.7142857142857143,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote + Daviena,Medium,Low,0.026518208796947225,0.2891458386074067,0.599990134607267,0.923325593848227,0.026518208796947225,0.2891458386074067
48,5,5,30,29,0.9666666666666667,2,24,3,1,0,0.06896551724137931,0.8275862068965517,0.10344827586206896,0.18904070138042275,0.604572606786017,0.2063866918335603,19.873408435701382,Neutral,Neutral Engagement,Assigned,High,0.7241379310344828,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,0.03581424038130106,0.26385447247069155,0.6545119942718489,0.9240225472852006,0.019120864097994437,0.21964947595851925
