hcc_id,legacy_goal_orientation,final_v2_goal_orientation,goal_changed
1,Mixed Goals,Neutral Engagement,True
103,Neutral Engagement,Neutral Engagement,False
113,Promotional / Supportive,Promotional / Supportive,False
114,Promotional / Supportive,Promotional / Supportive,False
117,Neutral Engagement,Neutral Engagement,False
132,Neutral Engagement,Neutral Engagement,False
134,Polarized / Contested,Neutral Engagement,True
14,Mixed Goals,Neutral Engagement,True
15,Neutral Engagement,Neutral Engagement,False
150,Neutral Engagement,Neutral Engagement,False
16,Mixed Goals,Neutral Engagement,True
168,Promotional / Supportive,Promotional / Supportive,False
17,Neutral Engagement,Neutral Engagement,False
18,Mixed Goals,Neutral Engagement,True
180,Promotional / Supportive,Promotional / Supportive,False
181,Promotional / Supportive,Promotional / Supportive,False
182,Mixed Goals,Neutral Engagement,True
183,Mixed Goals,Neutral Engagement,True
191,Promotional / Supportive,Promotional / Supportive,False
2,Neutral Engagement,Neutral Engagement,False
20,Critical / Complaint,Neutral Engagement,True
204,Promotional / Supportive,Promotional / Supportive,False
205,Promotional / Supportive,Promotional / Supportive,False
206,Promotional / Supportive,Promotional / Supportive,False
3,Neutral Engagement,Neutral Engagement,False
34,Polarized / Contested,Neutral Engagement,True
42,Promotional / Supportive,Promotional / Supportive,False
45,Mixed Goals,Neutral Engagement,True
46,Mixed Goals,Neutral Engagement,True
48,Mixed Goals,Neutral Engagement,True
49,Mixed Goals,Neutral Engagement,True
5,Neutral Engagement,Neutral Engagement,False
50,Mixed Goals,Neutral Engagement,True
52,Mixed Goals,Neutral Engagement,True
54,Mixed Goals,Neutral Engagement,True
60,Mixed Goals,Neutral Engagement,True
63,Mixed Goals,Neutral Engagement,True
74,Mixed Goals,Neutral Engagement,True
75,Mixed Goals,Neutral Engagement,True
87,Mixed Goals,Neutral Engagement,True
90,Neutral Engagement,Neutral Engagement,False
99,Promotional / Supportive,Promotional / Supportive,False
