source,target,weight,n_evidence,co_conv,co_reply,co_temporal,co_hashtag,co_similarity_char5
beauty_ct61338,beautyaddict_ct95316,1.75,2,7,0.0,7.0,31,0.078
beauty_ct61338,glowingid_ct92516,1.75,2,7,0.0,7.0,31,0.0353
beauty_ct7151,beauty_ct8829,0.75,2,3,0.0,3.0,6,0.0
beauty_ct7151,beautyaddict_ct8242,0.75,2,3,0.0,3.0,6,0.0573
beauty_ct7151,beautyvibe_ct2527,0.75,2,3,0.0,3.0,6,0.0
beauty_ct7151,skincare_ct7727,0.75,2,3,0.0,3.0,6,0.047
beauty_ct7151,skinclub_ct2318,0.75,2,3,0.0,3.0,6,0.0284
beauty_ct8829,beautyaddict_ct8242,0.75,2,3,0.0,3.0,6,0.0
beauty_ct8829,beautyvibe_ct2527,0.75,2,3,0.0,3.0,6,0.0045
beauty_ct8829,skincare_ct7727,0.75,2,3,0.0,3.0,6,0.0
beauty_ct8829,skinclub_ct2318,0.75,2,3,0.0,3.0,6,0.0217
beauty_ct89266,cantik_ct99107,0.75,2,3,0.0,3.0,12,0.0387
beauty_ct89266,glowhunter_ct64974,0.75,2,3,0.0,3.0,12,0.0412
beauty_ct89266,glowingid_ct74353,0.75,2,3,0.0,3.0,12,0.009
beauty_ct89266,skinlover_ct27853,0.75,2,3,0.0,3.0,12,0.0269
beautyaddict_ct10959,cantik_ct95823,1.25,2,5,0.0,5.0,16,0.0049
beautyaddict_ct10959,skinclub_ct6649,1.25,2,5,0.0,5.0,16,0.0214
beautyaddict_ct2062,beautyaddict_ct4776,0.75,2,3,0.0,3.0,4,0.0223
beautyaddict_ct2062,kulitsehat_ct8443,0.75,2,3,0.0,3.0,4,0.0332
beautyaddict_ct2062,racun_ct2295,0.75,2,3,0.0,3.0,4,0.0125
beautyaddict_ct2062,racun_ct8621,0.75,2,3,0.0,3.0,4,0.0286
beautyaddict_ct2062,skinbestie_ct9276,0.75,2,3,0.0,3.0,4,0.0146
beautyaddict_ct2423,dearskin_ct1358,0.75,2,3,0.0,3.0,9,0.0474
beautyaddict_ct2423,glowup_ct3809,0.75,2,3,0.0,3.0,9,0.0
beautyaddict_ct2423,reviewjujur_ct6118,0.75,2,3,0.0,3.0,9,0.0085
beautyaddict_ct2423,skinlover_ct8756,0.75,2,3,0.0,3.0,9,0.0053
beautyaddict_ct4776,kulitsehat_ct8443,0.75,2,3,0.0,3.0,4,0.0162
beautyaddict_ct4776,racun_ct2295,0.75,2,3,0.0,3.0,4,0.0147
beautyaddict_ct4776,racun_ct8621,0.75,2,3,0.0,3.0,4,0.0386
beautyaddict_ct4776,skinbestie_ct9276,0.75,2,3,0.0,3.0,4,0.0187
beautyaddict_ct75025,beautyvibe_ct9600,0.75,2,3,0.0,3.0,7,0.0265
beautyaddict_ct75025,glowingid_ct11995,0.75,2,3,0.0,3.0,7,0.0128
beautyaddict_ct75025,glowup_ct93477,0.75,2,3,0.0,3.0,7,0.0296
beautyaddict_ct75025,kulitglowing_ct49929,0.75,2,3,0.0,3.0,7,0.0264
beautyaddict_ct75025,racun_ct61657,0.75,2,3,0.0,3.0,7,0.0175
beautyaddict_ct75025,skincare_ct68797,0.75,2,3,0.0,3.0,7,0.0284
beautyaddict_ct7716,glowhunter_ct4367,0.75,2,3,0.0,3.0,6,0.0128
beautyaddict_ct7716,glowup_ct2135,0.75,2,3,0.0,3.0,6,0.0
beautyaddict_ct7716,kulitglowing_ct6396,0.75,2,3,0.0,3.0,6,0.0
beautyaddict_ct7716,skinclub_ct7669,0.75,2,3,0.0,3.0,6,0.0
beautyaddict_ct7716,skinclub_ct9386,0.75,2,3,0.0,3.0,6,0.0712
beautyaddict_ct8242,beautyvibe_ct2527,0.75,2,3,0.0,3.0,6,0.011
beautyaddict_ct8242,skincare_ct7727,0.75,2,3,0.0,3.0,6,0.0134
beautyaddict_ct8242,skinclub_ct2318,0.75,2,3,0.0,3.0,6,0.0007
beautyaddict_ct95316,glowingid_ct92516,1.75,2,7,0.0,7.0,31,0.0329
