fold,split,n_rows,n_Negative,n_Neutral,n_Positive
1,train,644,173,346,125
1,validation,162,43,87,32
2,train,645,173,346,126
2,validation,161,43,87,31
3,train,645,173,346,126
3,validation,161,43,87,31
4,train,645,172,347,126
4,validation,161,44,86,31
5,train,645,173,347,125
5,validation,161,43,86,32
6,train,644,173,346,125
6,validation,162,43,87,32
7,train,645,173,346,126
7,validation,161,43,87,31
8,train,645,173,346,126
8,validation,161,43,87,31
9,train,645,172,347,126
9,validation,161,44,86,31
10,train,645,173,347,125
10,validation,161,43,86,32
11,train,644,173,346,125
11,validation,162,43,87,32
12,train,645,173,346,126
12,validation,161,43,87,31
13,train,645,173,346,126
13,validation,161,43,87,31
14,train,645,172,347,126
14,validation,161,44,86,31
15,train,645,173,347,125
15,validation,161,43,86,32
