group_type,group_value,n_rows,coverage,macro_f1_covered,accuracy_covered,abstention_rate
hcc_segment,HCC,118,0.847457627118644,0.7970361078897751,0.86,0.15254237288135597
hcc_segment,Non-HCC,688,0.8212209302325582,0.7309888108435635,0.7964601769911505,0.17877906976744184
brand_or_video_context,Azarine,42,0.8333333333333334,0.688937728937729,0.8,0.16666666666666663
brand_or_video_context,Daviena,92,0.7282608695652174,0.8018012703282009,0.8208955223880597,0.2717391304347826
brand_or_video_context,Maryame,93,0.7634408602150538,0.7537647537647537,0.7746478873239436,0.23655913978494625
brand_or_video_context,The Originote,61,0.8524590163934426,0.5842475386779183,0.7692307692307693,0.14754098360655743
brand_or_video_context,azarine_retinol,98,0.8367346938775511,0.6115762273901809,0.8414634146341463,0.16326530612244894
brand_or_video_context,daviena_retinol,129,0.7984496124031008,0.7464598658075307,0.8349514563106796,0.20155038759689925
brand_or_video_context,davina_skincare,99,0.8383838383838383,0.5871544715447155,0.6144578313253012,0.16161616161616166
brand_or_video_context,maryame_niacinamide,151,0.9205298013245033,0.7227283871529013,0.8705035971223022,0.07947019867549665
brand_or_video_context,originote_niacinamide,41,0.8048780487804879,0.8834757834757835,0.9393939393939394,0.19512195121951215
question_segment,Non-question,306,0.7745098039215687,0.7416685637024619,0.7679324894514767,0.22549019607843135
question_segment,Question,500,0.856,0.729521719782907,0.8271028037383178,0.14400000000000002
sentiment_target,Creator / Seller,8,1.0,0.7111111111111111,0.75,0.0
sentiment_target,General discussion,5,0.4,0.0,0.0,0.6
sentiment_target,Not available,518,0.8494208494208494,0.7447408599099941,0.8136363636363636,0.1505791505791506
sentiment_target,Price / Purchase,14,0.6428571428571429,0.38888888888888884,0.5555555555555556,0.3571428571428571
sentiment_target,Product / Brand,140,0.7142857142857143,0.7040216275949168,0.73,0.2857142857142857
sentiment_target,Promotion / CTA,8,0.875,0.14814814814814814,0.2857142857142857,0.125
sentiment_target,Skin condition,6,0.5,0.4444444444444444,0.6666666666666666,0.5
sentiment_target,Usage question,107,0.897196261682243,0.3225806451612903,0.9375,0.10280373831775702
complaint_scope,Not available,518,0.8494208494208494,0.7447408599099941,0.8136363636363636,0.1505791505791506
complaint_scope,authenticity_concern,4,1.0,0.13333333333333333,0.25,0.0
complaint_scope,not_applicable,23,0.782608695652174,0.6412698412698412,0.7777777777777778,0.21739130434782605
complaint_scope,price_value,11,0.8181818181818182,0.7555555555555555,0.7777777777777778,0.18181818181818177
complaint_scope,product_effect,109,0.6972477064220184,0.48803827751196166,0.6447368421052632,0.3027522935779816
complaint_scope,safety_concern,55,0.8,0.745559038662487,0.8636363636363636,0.19999999999999996
complaint_scope,skin_condition,8,0.375,0.4444444444444444,0.6666666666666666,0.625
complaint_scope,usage_confusion,78,0.9102564102564102,0.32367149758454106,0.9436619718309859,0.08974358974358976
