hcc_id,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,goal_orientation,goal_orientation_status,brand_label_auto,sensitivity_status
1,21,21,1.0,4,16,1,0.19047619047619047,0.7619047619047619,0.047619047619047616,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
103,30,30,1.0,4,22,4,0.13333333333333333,0.7333333333333333,0.13333333333333333,Neutral,Neutral Engagement,Assigned,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
113,28,28,1.0,27,1,0,0.9642857142857143,0.03571428571428571,0.0,Positive,Promotional / Supportive,Assigned,Maryame,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
114,28,28,1.0,27,1,0,0.9642857142857143,0.03571428571428571,0.0,Positive,Promotional / Supportive,Assigned,Maryame,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
117,18,18,1.0,3,14,1,0.16666666666666666,0.7777777777777778,0.05555555555555555,Neutral,Neutral Engagement,Assigned,The Originote,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
132,12,12,1.0,3,9,0,0.25,0.75,0.0,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
134,6,6,1.0,2,3,1,0.3333333333333333,0.5,0.16666666666666666,Neutral,Neutral Engagement,Assigned,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
14,15,15,1.0,7,7,1,0.4666666666666667,0.4666666666666667,0.06666666666666667,Neutral,Mixed Goals,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
15,18,18,1.0,3,12,3,0.16666666666666666,0.6666666666666666,0.16666666666666666,Neutral,Neutral Engagement,Assigned,The Originote,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
150,48,48,1.0,16,24,8,0.3333333333333333,0.5,0.16666666666666666,Neutral,Neutral Engagement,Assigned,Maryame,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
16,15,15,1.0,4,8,3,0.26666666666666666,0.5333333333333333,0.2,Neutral,Neutral Engagement,Assigned,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
168,23,23,1.0,21,2,0,0.9130434782608695,0.08695652173913043,0.0,Positive,Promotional / Supportive,Assigned,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
17,37,37,1.0,7,28,2,0.1891891891891892,0.7567567567567568,0.05405405405405406,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
18,18,18,1.0,8,10,0,0.4444444444444444,0.5555555555555556,0.0,Neutral,Neutral Engagement,Assigned,The Originote,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
