hcc_id,v2_goal_orientation,v4_goal_orientation,goal_changed
1,Neutral Engagement,Neutral Engagement,False
103,Neutral Engagement,Neutral Engagement,False
113,Promotional / Supportive,Promotional / Supportive,False
114,Promotional / Supportive,Promotional / Supportive,False
117,Neutral Engagement,Neutral Engagement,False
132,Neutral Engagement,Neutral Engagement,False
134,Neutral Engagement,Neutral Engagement,False
14,Neutral Engagement,Mixed Goals,True
15,Neutral Engagement,Neutral Engagement,False
150,Neutral Engagement,Neutral Engagement,False
16,Neutral Engagement,Neutral Engagement,False
168,Promotional / Supportive,Promotional / Supportive,False
17,Neutral Engagement,Neutral Engagement,False
18,Neutral Engagement,Neutral Engagement,False
180,Promotional / Supportive,Promotional / Supportive,False
181,Promotional / Supportive,Promotional / Supportive,False
182,Neutral Engagement,Neutral Engagement,False
183,Neutral Engagement,Neutral Engagement,False
191,Promotional / Supportive,Promotional / Supportive,False
2,Neutral Engagement,Neutral Engagement,False
20,Neutral Engagement,Neutral Engagement,False
204,Promotional / Supportive,Promotional / Supportive,False
205,Promotional / Supportive,Promotional / Supportive,False
206,Promotional / Supportive,Promotional / Supportive,False
3,Neutral Engagement,Neutral Engagement,False
34,Neutral Engagement,Promotional / Supportive,True
42,Promotional / Supportive,Promotional / Supportive,False
45,Neutral Engagement,Neutral Engagement,False
46,Neutral Engagement,Neutral Engagement,False
48,Neutral Engagement,Neutral Engagement,False
49,Neutral Engagement,Neutral Engagement,False
5,Neutral Engagement,Neutral Engagement,False
50,Neutral Engagement,Neutral Engagement,False
52,Neutral Engagement,Neutral Engagement,False
54,Neutral Engagement,Neutral Engagement,False
60,Neutral Engagement,Neutral Engagement,False
63,Neutral Engagement,Neutral Engagement,False
74,Neutral Engagement,Neutral Engagement,False
75,Neutral Engagement,Neutral Engagement,False
87,Neutral Engagement,Mixed Goals,True
90,Neutral Engagement,Neutral Engagement,False
99,Promotional / Supportive,Promotional / Supportive,False
